rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,81.98355123655777,75.91069558940534,300648,星云股份,bottom_area,2022-04-25,25.09,2022-04-25,25.09,0.0,7.214029493822236,31.82065217391304,False,-19.9936,8.8681,4,4,4,100.0,17.53062144841583,26.78362573099414,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-19.99%; 状态bottom_area; 底部未确认
2,80.29037508319199,74.34293989184442,300387,富邦科技,confirmed_rebound,2022-04-25,6.64,2022-04-25,6.64,0.0,11.144578313253016,27.58996728462378,False,-11.3485,5.7947,3,3,3,100.0,35.98354780561516,50.883392226148395,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-11.35%; 状态confirmed_rebound; 底部未确认
3,79.89530114820606,75.19339817603388,300437,清水源,confirmed_rebound,2022-04-25,17.86,2022-04-25,17.71,0.846979107848665,11.801242236024843,28.183292781832925,False,-12.1495,9.0197,5,5,5,100.0,22.01349753725175,30.330330330330323,7.153020892151335,0.846979107848665,历史5/5次成功; 当前距低点0.85%; 最新日涨幅-12.15%; 状态confirmed_rebound; 底部未确认
4,79.67953125000001,73.77734375,603122,合富中国,confirmed_rebound,2022-04-25,12.42,2022-04-25,12.42,0.0,13.929146537842193,30.575740637227504,False,-10.0,20.923,2,2,2,100.0,49.609375,72.1590909090909,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态confirmed_rebound; 底部未确认
5,79.51455257483427,75.16126327114662,601137,博威合金,confirmed_rebound,2022-04-25,9.42,2022-04-25,9.32,1.072961373390554,9.120171673819739,29.447388342165027,False,-7.9179,3.9906,2,2,2,100.0,18.105458077833763,25.82417582417582,6.927038626609446,1.072961373390554,历史2/2次成功; 当前距低点1.07%; 最新日涨幅-7.92%; 状态confirmed_rebound; 底部未确认
6,79.33705400934772,75.12554735979393,300675,建科院,bottom_area,2022-04-25,14.77,2022-04-25,14.6,1.1643835616438352,7.876712328767126,29.502655721873495,False,-2.7009,4.8693,1,1,1,100.0,15.270655270655267,15.270655270655267,6.8356164383561655,1.1643835616438352,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-2.70%; 状态bottom_area; 底部未确认
7,79.09534911181025,73.72283483251746,300584,海辰药业,confirmed_rebound,2022-04-25,32.11,2022-04-25,32.0,0.3437499999999982,13.906250000000009,31.623931623931618,False,-11.2983,11.1401,2,2,2,100.0,41.271961465147655,54.23197492163009,7.656250000000002,0.3437499999999982,历史2/2次成功; 当前距低点0.34%; 最新日涨幅-11.30%; 状态confirmed_rebound; 底部未确认
8,78.89902219399086,75.15927168064073,300480,光力科技,confirmed_rebound,2022-04-25,18.57,2022-04-25,18.3,1.4754098360655714,13.060109289617488,27.952755905511808,False,-11.1908,2.95,1,1,1,100.0,39.69465648854962,39.69465648854962,6.5245901639344295,1.4754098360655714,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-11.19%; 状态confirmed_rebound; 底部未确认
9,78.65724012838659,73.1763588848318,603236,移远通信,bottom_area,2022-04-25,130.5,2022-04-25,130.18,0.24581348901520444,5.692118605008447,31.89997907512031,False,-6.5387,0.9541,2,2,2,100.0,26.918352902077746,39.389337383102855,7.754186510984795,0.24581348901520444,历史2/2次成功; 当前距低点0.25%; 最新日涨幅-6.54%; 状态bottom_area; 底部未确认
10,78.34089268234743,74.19952390618809,000695,滨海能源,confirmed_rebound,2022-04-25,7.74,2022-04-25,7.65,1.1764705882352922,8.627450980392158,27.556818181818183,False,-6.747,0.9106,2,2,2,100.0,14.203638964325545,20.174346201743475,6.823529411764707,1.1764705882352922,历史2/2次成功; 当前距低点1.18%; 最新日涨幅-6.75%; 状态confirmed_rebound; 底部未确认
11,78.2062194740811,73.86753173640383,688298,东方生物,confirmed_rebound,2022-04-25,215.2,2022-04-25,213.0,1.0328638497652527,9.859154929577464,31.73076923076923,False,-5.7793,4.5542,2,2,2,100.0,10.65839416058395,12.200000000000008,6.967136150234747,1.0328638497652527,历史2/2次成功; 当前距低点1.03%; 最新日涨幅-5.78%; 状态confirmed_rebound; 底部未确认
12,78.18936903264529,72.88581673330367,300511,雪榕生物,confirmed_rebound,2022-04-25,5.75,2022-04-25,5.73,0.3490401396160484,10.296684118673644,28.99628252788104,False,-11.1283,5.957,3,3,3,100.0,20.170044363592744,29.220779220779214,7.650959860383952,0.3490401396160484,历史3/3次成功; 当前距低点0.35%; 最新日涨幅-11.13%; 状态confirmed_rebound; 底部未确认
