rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.71189016014368,84.98218440939118,002761,浙江建投,bottom_area,2024-06-13,8.38,2024-06-06,8.25,1.5757575757575852,4.848484848484853,28.26086956521739,False,-2.8969,2.4916,6,6,6,100.0,23.305976785583134,43.73730534867976,8.424242424242415,1.5757575757575852,历史6/6次成功; 当前距低点1.58%; 最新日涨幅-2.90%; 状态bottom_area; 底部未确认
2,85.71475409836071,80.44000000000004,002687,乔治白,bottom_area,2024-06-13,4.27,2024-06-06,4.2,1.666666666666652,5.714285714285719,28.2051282051282,False,-2.0642,1.3505,1,1,1,100.0,64.00000000000001,64.00000000000001,8.333333333333348,1.666666666666652,历史1/1次成功; 当前距低点1.67%; 最新日涨幅-2.06%; 状态bottom_area; 底部未确认
3,83.7959785700905,78.18147554675721,300757,罗博特科,bottom_area,2024-06-13,85.68,2024-06-13,84.53,1.3604637406837876,4.388974328640711,32.75258552108194,False,-1.2448,4.2381,4,5,4,80.0,27.437273524280858,74.11052233156698,8.639536259316213,1.3604637406837876,历史4/5次成功; 当前距低点1.36%; 最新日涨幅-1.24%; 状态bottom_area; 底部未确认
4,81.9854231674208,75.41823529411765,000420,吉林化纤,bottom_area,2024-06-13,3.25,2024-06-06,3.23,0.6191950464396291,5.26315789473684,29.321663019693663,False,-2.6946,1.7887,1,1,1,100.0,53.9249146757679,53.9249146757679,9.380804953560371,0.6191950464396291,历史1/1次成功; 当前距低点0.62%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
5,81.21660088456433,75.52966165413532,600201,生物股份,bottom_area,2024-06-13,7.65,2024-06-13,7.56,1.1904761904762005,3.042328042328048,30.958904109589042,False,-1.671,1.6724,1,1,1,100.0,17.76315789473684,17.76315789473684,8.8095238095238,1.1904761904762005,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-1.67%; 状态bottom_area; 底部未确认
6,81.00138225539602,74.37794483236766,605198,安德利,bottom_area,2024-06-13,28.77,2024-06-11,28.62,0.5241090146750474,3.5290006988120126,29.123328380386333,False,-1.8759,0.4491,1,1,1,100.0,43.241469816272954,43.241469816272954,9.475890985324952,0.5241090146750474,历史1/1次成功; 当前距低点0.52%; 最新日涨幅-1.88%; 状态bottom_area; 底部未确认
7,80.95479227558306,78.772409137192,603326,我乐家居,bottom_area,2024-06-13,6.1,2024-06-06,5.89,3.5653650254668925,6.791171477079802,27.552275522755238,False,-1.6129,0.9688,4,4,4,100.0,14.30882470568014,20.141843971631218,6.4346349745331075,3.5653650254668925,历史4/4次成功; 当前距低点3.57%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
8,78.41928211437947,78.01129390500702,002837,英维克,bottom_area,2024-06-13,23.71,2024-06-11,22.64,4.726148409893994,6.581272084805646,31.97115384615385,False,2.8633,1.8189,3,3,3,100.0,18.639313330996423,24.517374517374524,5.273851590106006,4.726148409893994,历史3/3次成功; 当前距低点4.73%; 最新日涨幅2.86%; 状态bottom_area; 底部未确认
9,78.29398675485818,72.18970982142856,600162,香江控股,bottom_area,2024-06-13,1.36,2024-06-13,1.35,0.7407407407407414,5.925925925925914,29.687499999999993,False,-4.2254,1.024,2,2,2,100.0,27.68063822751323,28.90624999999999,9.25925925925926,0.7407407407407414,历史2/2次成功; 当前距低点0.74%; 最新日涨幅-4.23%; 状态bottom_area; 底部未确认
10,78.15868729545628,75.03233980363801,001322,箭牌家居,bottom_area,2024-06-13,8.28,2024-06-06,8.05,2.85714285714284,6.211180124223602,28.634751773049633,False,-0.6002,1.482,2,2,2,100.0,18.85282536518115,26.897069872276486,7.14285714285716,2.85714285714284,历史2/2次成功; 当前距低点2.86%; 最新日涨幅-0.60%; 状态bottom_area; 底部未确认
11,77.84548849524934,73.53955407879367,600322,津投城开,bottom_area,2024-06-13,1.52,2024-06-06,1.49,2.0134228187919483,7.382550335570476,28.01932367149758,False,-1.9355,1.1564,3,4,3,75.0,21.318054331394194,35.828877005347586,7.986577181208052,2.0134228187919483,历史3/4次成功; 当前距低点2.01%; 最新日涨幅-1.94%; 状态bottom_area; 底部未确认
12,77.61725636672323,73.26842105263157,000592,平潭发展,bottom_area,2024-06-13,1.55,2024-06-07,1.52,1.9736842105263175,8.552631578947361,28.971962616822434,True,-4.321,2.6094,1,1,1,100.0,16.228070175438603,16.228070175438603,8.026315789473683,1.9736842105263175,历史1/1次成功; 当前距低点1.97%; 最新日涨幅-4.32%; 状态bottom_area; 底部已确认
13,77.10654542531891,75.74549358741996,002631,德尔未来,confirmed_rebound,2024-06-13,3.84,2024-06-06,3.69,4.065040650406502,10.569105691056913,27.075098814229243,True,-2.0408,0.6515,2,2,2,100.0,38.51497994810097,47.77070063694268,5.934959349593498,4.065040650406502,历史2/2次成功; 当前距低点4.07%; 最新日涨幅-2.04%; 状态confirmed_rebound; 底部已确认
14,76.783989228992,75.20338706718177,000663,永安林业,confirmed_rebound,2024-06-13,4.52,2024-06-06,4.35,3.9080459770114926,11.034482758620701,27.86069651741294,True,-2.5862,2.1008,2,2,2,100.0,33.67597792885999,50.39215686274511,6.091954022988507,3.9080459770114926,历史2/2次成功; 当前距低点3.91%; 最新日涨幅-2.59%; 状态confirmed_rebound; 底部已确认
15,76.21122097378277,74.90666666666667,002491,通鼎互联,bottom_area,2024-06-13,3.56,2024-06-06,3.42,4.093567251461992,8.479532163742691,29.48453608247422,False,-1.6575,0.5756,1,1,1,100.0,52.39520958083833,52.39520958083833,5.906432748538009,4.093567251461992,历史1/1次成功; 当前距低点4.09%; 最新日涨幅-1.66%; 状态bottom_area; 底部未确认
