rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
21,76.94228028765798,74.0136813839755,601162,天风证券,bottom_area,2025-12-23,4.17,2025-12-17,4.05,2.962962962962966,5.925925925925932,27.678571428571423,False,-0.9501,1.3377,2,2,2,100.0,14.673316879199232,18.939393939393938,7.0370370370370345,2.962962962962966,历史2/2次成功; 当前距低点2.96%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
22,76.68858203028046,74.19960784313726,600708,光明地产,bottom_area,2025-12-23,3.16,2025-12-17,3.06,3.2679738562091534,6.209150326797384,27.65957446808511,False,-2.1672,0.8939,1,1,1,100.0,36.07843137254903,36.07843137254903,6.732026143790848,3.2679738562091534,历史1/1次成功; 当前距低点3.27%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
23,76.28049094549876,73.67549225913177,300681,英搏尔,bottom_area,2025-12-23,24.04,2025-12-17,23.3,3.1759656652360446,5.36480686695279,28.593319031566043,False,-1.3946,2.8944,5,6,5,83.33333333333334,18.24387442223989,27.487589035182385,6.824034334763956,3.1759656652360446,历史5/6次成功; 当前距低点3.18%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
24,75.93476880893654,73.98282346655328,000665,湖北广电,bottom_area,2025-12-23,5.42,2025-12-17,5.23,3.632887189292533,5.927342256214141,27.46185852981969,False,-1.0949,1.2447,6,7,6,85.71428571428571,20.33843610367265,43.606557377049185,6.367112810707468,3.632887189292533,历史6/7次成功; 当前距低点3.63%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
25,75.3081584269123,74.8468527091364,002317,众生药业,bottom_area,2025-12-23,19.47,2025-12-23,18.6,4.677419354838695,6.236559139784947,31.617647058823522,False,2.3121,10.59,4,5,4,80.0,27.695531388003374,58.31999999999999,5.322580645161306,4.677419354838695,历史4/5次成功; 当前距低点4.68%; 最新日涨幅2.31%; 状态bottom_area; 底部未确认
26,75.2268327212075,72.9914689835852,002459,晶澳科技,bottom_area,2025-12-23,11.2,2025-12-16,10.83,3.4164358264081187,4.801477377654659,29.215686274509807,False,-0.2671,1.0965,5,6,5,83.33333333333334,17.51402867990521,26.683937823834192,6.583564173591883,3.4164358264081187,历史5/6次成功; 当前距低点3.42%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
27,74.80932442668164,73.91080096398225,003038,鑫铂股份,bottom_area,2025-12-23,15.3,2025-12-17,14.66,4.365620736698503,5.866302864938604,32.098193608151924,False,0.0,1.5418,1,1,1,100.0,25.507614213197975,25.507614213197975,5.634379263301498,4.365620736698503,历史1/1次成功; 当前距低点4.37%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
28,74.79815302120306,73.18298174442188,000593,德龙汇能,bottom_area,2025-12-23,10.24,2025-12-16,9.86,3.853955375253558,8.519269776876266,31.14525139664805,False,0.7874,4.9216,1,1,1,100.0,15.322580645161285,15.322580645161285,6.146044624746443,3.853955375253558,历史1/1次成功; 当前距低点3.85%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
29,74.37817920380309,72.607803742188,301177,迪阿股份,bottom_area,2025-12-23,29.16,2025-12-17,28.11,3.735325506937036,6.438989683386703,31.88756966319361,False,0.2751,0.309,1,1,1,100.0,10.776053215077603,10.776053215077603,6.264674493062965,3.735325506937036,历史1/1次成功; 当前距低点3.74%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
30,74.28496998491548,68.38734567868063,605368,蓝天燃气,bottom_area,2025-12-23,7.63,2025-12-18,7.58,0.659630606860156,2.6385224274406354,31.65013525698828,False,-1.1658,1.0071,1,1,1,100.0,12.695179904955879,12.695179904955879,9.340369393139843,0.659630606860156,历史1/1次成功; 当前距低点0.66%; 最新日涨幅-1.17%; 状态bottom_area; 底部未确认
31,73.99827202253721,70.86543249868463,000998,隆平高科,bottom_area,2025-12-23,9.41,2025-12-17,9.16,2.7292576419213974,4.039301310043659,29.484218629715166,False,-0.6336,0.8313,1,1,1,100.0,11.549139367018313,11.549139367018313,7.270742358078603,2.7292576419213974,历史1/1次成功; 当前距低点2.73%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
32,72.66743221669789,69.79230495288749,300768,迪普科技,bottom_area,2025-12-23,18.57,2025-12-17,18.05,2.880886426592795,4.653739612188365,29.43706020328381,False,-0.2685,1.2828,2,3,2,66.66666666666666,46.52720074651822,47.28781110402041,7.119113573407206,2.880886426592795,历史2/3次成功; 当前距低点2.88%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
33,72.4343368868672,71.10076235301774,688050,爱博医疗,bottom_area,2025-12-23,61.26,2025-12-10,58.89,4.024452368823225,6.8602479198505675,29.750685911964688,False,-0.697,0.6791,2,2,2,100.0,12.024267494272554,12.90770757525636,5.9755476311767755,4.024452368823225,历史2/2次成功; 当前距低点4.02%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
34,72.05620922734741,69.37844469525004,002589,瑞康医药,bottom_area,2025-12-23,3.42,2025-12-17,3.32,3.012048192771087,7.831325301204826,29.211087420042652,True,-3.1161,7.3247,5,7,5,71.42857142857143,19.947313382009828,37.073170731707336,6.987951807228914,3.012048192771087,历史5/7次成功; 当前距低点3.01%; 最新日涨幅-3.12%; 状态bottom_area; 底部已确认
35,71.63197255781792,71.44705077933023,300890,翔丰华,bottom_area,2025-12-23,29.75,2025-12-17,28.37,4.864293267536126,6.274233345082825,28.122624778312638,False,0.7791,4.9626,1,1,1,100.0,18.37440553393861,18.37440553393861,5.135706732463874,4.864293267536126,历史1/1次成功; 当前距低点4.86%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
36,71.03370450372385,70.06852221101582,300736,百邦科技,bottom_area,2025-12-23,15.1,2025-12-23,14.48,4.2817679558011,6.353591160220994,28.63479546574667,False,-5.0314,20.9844,1,1,1,100.0,36.51050080775442,36.51050080775442,5.718232044198901,4.2817679558011,历史1/1次成功; 当前距低点4.28%; 最新日涨幅-5.03%; 状态bottom_area; 底部未确认
37,71.02915415533182,70.83868400953958,301024,霍普股份,bottom_area,2025-12-23,34.96,2025-12-17,33.34,4.8590281943611195,6.178764247150554,27.913513513513504,False,-0.1428,1.0893,1,1,1,100.0,37.51219512195122,37.51219512195122,5.140971805638881,4.8590281943611195,历史1/1次成功; 当前距低点4.86%; 最新日涨幅-0.14%; 状态bottom_area; 底部未确认
38,70.87322959734867,68.13613691774687,000692,惠天热电,bottom_area,2025-12-23,3.51,2025-12-17,3.41,2.9325513196480832,5.571847507331377,28.511530398322844,False,-1.4045,2.8717,3,5,3,60.0,36.0341608954005,59.042553191489375,7.067448680351918,2.9325513196480832,历史3/5次成功; 当前距低点2.93%; 最新日涨幅-1.40%; 状态bottom_area; 底部未确认
39,68.55244893247095,65.45549543949252,688337,普源精电,bottom_area,2025-12-23,36.67,2025-12-04,35.75,2.573426573426578,6.545454545454556,28.499999999999996,False,-0.704,0.6799,3,6,3,50.0,38.886602295188766,54.46153846153845,7.426573426573422,2.573426573426578,历史3/6次成功; 当前距低点2.57%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
40,64.80783585001728,59.653325223876486,600383,金地集团,bottom_area,2025-12-23,3.09,2025-12-15,3.07,0.6514657980456032,4.234527687296428,32.675438596491226,False,-2.2152,1.9522,2,4,2,50.0,23.971329265701364,32.594936708860764,9.348534201954397,0.6514657980456032,历史2/4次成功; 当前距低点0.65%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
41,64.01538620653456,58.40227834351861,000890,法尔胜,bottom_area,2025-12-23,5.4,2025-12-23,5.39,0.18552875695734092,5.751391465677189,31.074168797953973,False,-7.5342,16.2125,2,4,2,50.0,21.748838222480394,32.954545454545446,9.814471243042659,0.18552875695734092,历史2/4次成功; 当前距低点0.19%; 最新日涨幅-7.53%; 状态bottom_area; 底部未确认
42,62.55856472057306,60.1635201294332,002184,海得控制,bottom_area,2025-12-23,12.56,2025-12-17,12.2,2.9508196721311575,4.918032786885258,29.357266936884773,False,-1.6445,1.9952,2,5,2,40.0,36.72789775210886,50.27203482045704,7.049180327868843,2.9508196721311575,历史2/5次成功; 当前距低点2.95%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
43,58.64546164760429,56.42644417985711,002453,华软科技,bottom_area,2025-12-23,6.23,2025-12-17,6.05,2.975206611570258,6.115702479338845,28.31753554502369,False,-1.2678,2.6747,1,2,1,50.0,28.60169491525425,28.60169491525425,7.024793388429742,2.975206611570258,历史1/2次成功; 当前距低点2.98%; 最新日涨幅-1.27%; 状态bottom_area; 底部未确认
44,56.331309359288035,53.88682953420471,002402,和而泰,bottom_area,2025-12-23,38.82,2025-12-17,37.81,2.6712509918011054,6.241734990743188,29.221265443654058,False,-1.2967,4.4545,1,2,1,50.0,11.221945137157112,11.221945137157112,7.328749008198895,2.6712509918011054,历史1/2次成功; 当前距低点2.67%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
45,55.77365044076189,54.37698139800493,300056,中创环保,bottom_area,2025-12-23,8.76,2025-12-17,8.45,3.6686390532544437,8.284023668639067,29.34782608695653,True,-3.3113,5.4121,1,2,1,50.0,27.10472279260781,27.10472279260781,6.331360946745557,3.6686390532544437,历史1/2次成功; 当前距低点3.67%; 最新日涨幅-3.31%; 状态bottom_area; 底部已确认
46,55.627163198254934,53.887112547654546,002017,东信和平,confirmed_rebound,2025-12-23,20.78,2025-12-16,20.11,3.33167578319245,10.691198408751875,30.342916522341532,True,-3.2138,3.2163,1,3,1,33.33333333333333,50.390015600624025,50.390015600624025,6.66832421680755,3.33167578319245,历史1/3次成功; 当前距低点3.33%; 最新日涨幅-3.21%; 状态confirmed_rebound; 底部已确认
47,55.49799924734029,51.224140442238465,002670,国盛证券,bottom_area,2025-12-23,16.48,2025-12-17,16.35,0.7951070336391376,3.1804281345565717,29.6774193548387,False,-1.1398,0.9278,1,2,1,50.0,13.747228381374727,13.747228381374727,9.204892966360863,0.7951070336391376,历史1/2次成功; 当前距低点0.80%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
48,54.217272161307946,52.85637835602579,001282,三联锻造,bottom_area,2025-12-23,20.08,2025-12-17,19.37,3.6654620547237857,5.214248838409902,27.992565055762075,False,-1.035,2.1559,1,3,1,33.33333333333333,37.31343283582089,37.31343283582089,6.334537945276214,3.6654620547237857,历史1/3次成功; 当前距低点3.67%; 最新日涨幅-1.03%; 状态bottom_area; 底部未确认
49,53.169074389751316,50.965722041811134,688348,昱能科技,bottom_area,2025-12-23,50.68,2025-12-17,49.31,2.778341107280465,5.049685662137486,31.77919203099059,False,-0.3343,0.6886,1,3,1,33.33333333333333,16.27422813482398,16.27422813482398,7.221658892719534,2.778341107280465,历史1/3次成功; 当前距低点2.78%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
50,52.745857910205736,51.380501915254904,603767,中马传动,bottom_area,2025-12-23,22.88,2025-11-21,22.08,3.623188405797105,9.601449275362324,27.725040916530286,True,-3.7442,2.7584,1,3,1,33.33333333333333,29.881925522252505,29.881925522252505,6.376811594202896,3.623188405797105,历史1/3次成功; 当前距低点3.62%; 最新日涨幅-3.74%; 状态bottom_area; 底部已确认
51,51.30683607000375,51.28894041738079,002468,申通快递,bottom_area,2025-12-23,14.33,2025-11-21,13.65,4.981684981684979,9.010989010989015,31.988041853512705,True,-0.4861,0.7413,1,2,1,50.0,16.382699868938413,16.382699868938413,5.018315018315021,4.981684981684979,历史1/2次成功; 当前距低点4.98%; 最新日涨幅-0.49%; 状态bottom_area; 底部已确认
