rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.47480687694069,84.69498452086444,000065,北方国际,bottom_area,2024-08-12,9.34,2024-07-25,9.19,1.632208922742115,8.7051142546246,30.641509433962266,True,-1.3728,0.4338,3,3,3,100.0,29.926993896325044,41.48061104582843,13.367791077257884,1.632208922742115,历史3/3次成功; 当前距低点1.63%; 最新日涨幅-1.37%; 状态bottom_area; 底部已确认
2,87.23795923869424,78.33535435379983,001203,大中矿业,bottom_area,2024-08-12,8.28,2024-08-05,8.14,1.719901719901705,3.4398034398034314,30.00859845227859,False,-0.4808,0.3403,2,2,2,100.0,22.670592877288865,29.46341463414634,13.280098280098295,1.719901719901705,历史2/2次成功; 当前距低点1.72%; 最新日涨幅-0.48%; 状态bottom_area; 底部未确认
3,87.14781161520261,78.65645964132777,301606,绿联科技,bottom_area,2024-08-12,30.17,2024-08-08,29.58,1.9945909398242172,4.462474645030428,28.705712219812014,False,1.072,16.3124,1,1,1,100.0,21.957671957671955,21.957671957671955,13.005409060175783,1.9945909398242172,历史1/1次成功; 当前距低点1.99%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
4,86.26930986126345,82.04647149299866,000811,冰轮环境,bottom_area,2024-08-12,8.51,2024-07-24,8.12,4.802955665024638,11.083743842364537,31.64983164983166,True,0.0,0.637,3,3,3,100.0,32.0817763938432,47.451868629671566,10.197044334975361,4.802955665024638,历史3/3次成功; 当前距低点4.80%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
5,84.97927344871894,77.85832061068703,002687,乔治白,bottom_area,2024-08-12,4.04,2024-07-25,3.93,2.7989821882951618,5.852417302798981,32.82051282051282,False,-0.2469,0.6433,1,1,1,100.0,64.00000000000001,64.00000000000001,12.201017811704839,2.7989821882951618,历史1/1次成功; 当前距低点2.80%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
6,84.61486333241817,73.57814202818972,000901,航天科技,bottom_area,2024-08-12,11.19,2024-08-12,11.19,0.0,0.0,27.19583604424203,False,-9.9759,1.4884,2,2,2,100.0,38.32334423757916,42.402315484804625,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.98%; 状态bottom_area; 底部未确认
7,84.05045955443727,78.102078992766,002563,森马服饰,bottom_area,2024-08-12,4.95,2024-07-30,4.78,3.5564853556485336,7.531380753138063,29.080118694362017,True,0.8147,0.4457,1,1,1,100.0,28.929384965831446,28.929384965831446,11.443514644351465,3.5564853556485336,历史1/1次成功; 当前距低点3.56%; 最新日涨幅0.81%; 状态bottom_area; 底部已确认
8,84.0478407253184,77.99901036757774,002552,宝鼎科技,bottom_area,2024-08-12,10.98,2024-07-25,10.61,3.487276154571169,10.084825636192276,30.197368421052634,True,-1.0811,0.5945,1,1,1,100.0,52.23596574690771,52.23596574690771,11.51272384542883,3.487276154571169,历史1/1次成功; 当前距低点3.49%; 最新日涨幅-1.08%; 状态bottom_area; 底部已确认
9,83.05497861750369,77.8046573569215,001218,丽臣实业,bottom_area,2024-08-12,14.33,2024-07-25,13.78,3.991291727140789,6.603773584905662,30.404040404040412,False,0.4205,1.0632,2,2,2,100.0,25.18711018711019,29.999999999999993,11.008708272859211,3.991291727140789,历史2/2次成功; 当前距低点3.99%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
10,80.82913073539633,76.7266060835804,600210,紫江企业,bottom_area,2024-08-12,4.9,2024-07-25,4.68,4.700854700854714,9.61538461538462,27.329192546583858,True,0.2045,0.5899,2,2,2,100.0,18.895455922199744,19.867549668874158,10.299145299145284,4.700854700854714,历史2/2次成功; 当前距低点4.70%; 最新日涨幅0.20%; 状态bottom_area; 底部已确认
11,80.79174873897297,75.80907753394548,300349,金卡智能,bottom_area,2024-08-12,10.46,2024-07-25,10.05,4.079601990049753,9.55223880597014,32.59557344064386,True,-1.5992,1.0804,1,1,1,100.0,45.48693586698337,45.48693586698337,10.920398009950247,4.079601990049753,历史1/1次成功; 当前距低点4.08%; 最新日涨幅-1.60%; 状态bottom_area; 底部已确认
12,80.774219785185,73.1749294479457,600343,航天动力,bottom_area,2024-08-12,7.92,2024-08-12,7.75,2.1935483870967736,6.064516129032267,30.803571428571423,False,-5.9382,6.3847,3,4,3,75.0,31.78075145444273,55.72413793103447,12.806451612903224,2.1935483870967736,历史3/4次成功; 当前距低点2.19%; 最新日涨幅-5.94%; 状态bottom_area; 底部未确认
13,76.93279080846557,68.0494167247184,002355,兴民智通,bottom_area,2024-08-12,4.42,2024-08-12,4.38,0.9132420091324209,6.164383561643846,28.8961038961039,False,-6.9474,7.1064,4,5,4,80.0,17.535529599679155,21.138211382113823,14.086757990867579,0.9132420091324209,历史4/5次成功; 当前距低点0.91%; 最新日涨幅-6.95%; 状态bottom_area; 底部未确认
14,76.3845143415906,66.42131681877444,301348,蓝箭电子,confirmed_rebound,2024-08-12,22.98,2024-08-12,22.98,0.0,15.317667536988683,32.90510948905109,False,-20.0139,8.8332,1,1,1,100.0,26.727509778357234,26.727509778357234,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-20.01%; 状态confirmed_rebound; 底部未确认
15,72.43321666540642,68.87010171384897,600027,华电国际,bottom_area,2024-08-12,5.47,2024-08-06,5.22,4.789272030651341,9.770114942528748,27.298050139275766,True,-0.5455,0.5789,1,1,1,100.0,16.87979539641944,16.87979539641944,10.210727969348659,4.789272030651341,历史1/1次成功; 当前距低点4.79%; 最新日涨幅-0.55%; 状态bottom_area; 底部已确认
16,70.6617394120418,61.444990793079825,002651,利君股份,bottom_area,2024-08-12,5.29,2024-08-12,5.29,0.0,4.914933837429108,27.134986225895315,False,-10.034,9.9093,2,3,2,66.66666666666666,28.646903905447076,41.96642685851319,15.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-10.03%; 状态bottom_area; 底部未确认
