rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,85.29113882699946,80.56660132139118,603229,奥翔药业,bottom_area,2022-09-16,25.32,2022-09-16,25.06,1.0375099760574684,4.748603351955313,28.297567954220327,False,-2.8396,1.2728,2,2,2,100.0,26.30174229463547,41.48479427549196,6.962490023942531,1.0375099760574684,历史2/2次成功; 当前距低点1.04%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
2,83.64379240852895,77.60679220708514,600367,红星发展,bottom_area,2022-09-16,18.82,2022-09-16,18.8,0.10638297872340198,3.7234042553191453,27.328952454580595,False,-3.7832,2.7508,4,4,4,100.0,15.695405368679975,24.161490683229793,7.893617021276598,0.10638297872340198,历史4/4次成功; 当前距低点0.11%; 最新日涨幅-3.78%; 状态bottom_area; 底部未确认
3,82.95750367104971,76.81250339912009,300437,清水源,bottom_area,2022-09-16,17.64,2022-09-16,17.64,0.0,4.535147392290254,28.380024360535927,False,-4.1825,2.5038,6,6,6,100.0,22.379050532903687,30.330330330330323,8.0,0.0,历史6/6次成功; 当前距低点0.00%; 最新日涨幅-4.18%; 状态bottom_area; 底部未确认
4,82.14300102785866,77.55389460302831,688049,炬芯科技,bottom_area,2022-09-16,30.96,2022-09-16,30.65,1.0114192495921772,4.926590538336046,27.472787505915758,False,-2.4882,1.4968,2,2,2,100.0,9.784572538163834,11.287895076327672,6.988580750407823,1.0114192495921772,历史2/2次成功; 当前距低点1.01%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
5,81.54762304647286,79.43765836576942,002115,三维通信,bottom_area,2022-09-16,5.06,2022-09-15,4.93,2.636916835699795,5.476673427991896,30.07092198581561,False,1.2,10.3815,2,2,2,100.0,17.364670705187947,20.720720720720706,5.363083164300205,2.636916835699795,历史2/2次成功; 当前距低点2.64%; 最新日涨幅1.20%; 状态bottom_area; 底部未确认
6,81.0908041252402,75.35856491769471,300508,维宏股份,bottom_area,2022-09-16,21.15,2022-09-16,21.11,0.18948365703457673,3.2685930838465245,29.137294394091978,False,-2.4896,1.0029,2,2,2,100.0,27.74509492329859,42.06627680311891,7.810516342965423,0.18948365703457673,历史2/2次成功; 当前距低点0.19%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
7,80.3314624575536,74.38098375699407,603033,三维股份,bottom_area,2022-09-16,16.8,2022-09-16,16.8,0.0,3.273809523809528,28.8135593220339,False,-2.7215,0.215,3,3,3,100.0,15.757977188140112,24.922480620155024,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-2.72%; 状态bottom_area; 底部未确认
8,79.50604754316734,74.25739168490153,603315,福鞍股份,bottom_area,2022-09-16,20.09,2022-09-16,20.0,0.4499999999999993,2.3499999999999943,27.771758757674252,False,-1.4713,0.4444,1,1,1,100.0,41.68490153172865,41.68490153172865,7.550000000000001,0.4499999999999993,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
9,78.76218166641519,73.15409263846483,601686,友发集团,bottom_area,2022-09-16,6.23,2022-09-16,6.22,0.16077170418007516,3.2154340836012896,27.080890973036343,False,-2.5039,0.8782,2,2,2,100.0,15.541140451588205,22.923076923076927,7.839228295819925,0.16077170418007516,历史2/2次成功; 当前距低点0.16%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
10,78.61046014217857,72.89114325899152,605319,无锡振华,bottom_area,2022-09-16,13.54,2022-09-16,13.53,0.0739098300073894,3.0303030303030316,27.878464818763337,False,-2.2383,0.8546,2,2,2,100.0,13.062675652733196,17.248790972595383,7.926090169992611,0.0739098300073894,历史2/2次成功; 当前距低点0.07%; 最新日涨幅-2.24%; 状态bottom_area; 底部未确认
11,78.57146900247828,72.75136018747989,300572,安车检测,bottom_area,2022-09-16,11.98,2022-09-16,11.98,0.0,6.427378964941566,29.36320754716981,False,-5.9655,3.6172,3,3,3,100.0,17.211613911182226,31.306715063520883,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-5.97%; 状态bottom_area; 底部未确认
