rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.3281015266684,81.9049720857875,603368,柳药集团,bottom_area,2024-07-02,17.78,2024-06-28,17.39,2.242668200115012,4.945370902817707,27.842323651452283,False,-1.3866,1.6783,3,3,3,100.0,31.603524634675978,42.85714285714285,12.757331799884989,2.242668200115012,历史3/3次成功; 当前距低点2.24%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
2,87.96047785034398,79.13828695819574,301332,德尔玛,bottom_area,2024-07-02,8.93,2024-06-24,8.77,1.824401368301028,4.332953249714946,30.507131537242472,False,-0.4459,0.8757,1,1,1,100.0,44.935064935064936,44.935064935064936,13.175598631698971,1.824401368301028,历史1/1次成功; 当前距低点1.82%; 最新日涨幅-0.45%; 状态bottom_area; 底部未确认
3,87.7850505976205,81.17850227423833,002219,新里程,bottom_area,2024-07-02,1.88,2024-07-01,1.82,3.296703296703287,4.945054945054937,30.26819923371647,False,1.0753,0.6292,2,2,2,100.0,34.81175156302061,45.685279187817265,11.703296703296711,3.296703296703287,历史2/2次成功; 当前距低点3.30%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
4,86.83899458310732,80.17827055095592,601908,京运通,bottom_area,2024-07-02,2.57,2024-06-24,2.49,3.2128514056224744,6.827309236947787,28.857142857142854,False,0.3906,0.6848,2,2,2,100.0,28.406299762231964,40.33898305084744,11.787148594377525,3.2128514056224744,历史2/2次成功; 当前距低点3.21%; 最新日涨幅0.39%; 状态bottom_area; 底部未确认
5,86.698255185045,78.21599127769319,002779,中坚科技,bottom_area,2024-07-02,27.94,2024-07-02,27.4,1.9708029197080392,3.1021897810219032,28.720083246618106,False,-0.4986,0.7586,2,2,2,100.0,25.1044190033737,29.818594104308378,13.02919708029196,1.9708029197080392,历史2/2次成功; 当前距低点1.97%; 最新日涨幅-0.50%; 状态bottom_area; 底部未确认
6,86.01376929698705,80.07853658536584,002687,乔治白,bottom_area,2024-07-02,4.25,2024-06-24,4.1,3.6585365853658622,4.390243902439039,29.914529914529915,False,0.0,0.7346,1,1,1,100.0,64.00000000000001,64.00000000000001,11.341463414634138,3.6585365853658622,历史1/1次成功; 当前距低点3.66%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
7,85.47632426926877,76.7984913020106,300393,中来股份,bottom_area,2024-07-02,5.81,2024-06-26,5.71,1.7513134851138292,5.078809106830123,29.766297662976637,False,-0.5137,0.9258,4,5,4,80.0,24.792935742312604,36.516853932584276,13.24868651488617,1.7513134851138292,历史4/5次成功; 当前距低点1.75%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
8,84.85255202301664,79.00402113016519,600268,国电南自,bottom_area,2024-07-02,5.66,2024-06-28,5.46,3.663003663003666,8.424908424908423,30.08962868117797,True,-2.4138,1.7786,3,3,3,100.0,24.22402947211577,34.43298969072165,11.336996336996332,3.663003663003666,历史3/3次成功; 当前距低点3.66%; 最新日涨幅-2.41%; 状态bottom_area; 底部已确认
9,84.03857525739743,77.11026750621161,300755,华致酒行,bottom_area,2024-07-02,13.94,2024-07-01,13.55,2.8782287822878136,4.059040590405896,28.26892535733192,False,0.4323,0.3843,1,1,1,100.0,24.47650069799908,24.47650069799908,12.121771217712185,2.8782287822878136,历史1/1次成功; 当前距低点2.88%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
10,83.89242964184265,80.00153607586985,002481,双塔食品,bottom_area,2024-07-02,4.03,2024-06-28,3.84,4.947916666666677,6.770833333333329,27.819548872180455,False,0.4988,1.0652,3,3,3,100.0,32.057989655214385,54.6583850931677,10.052083333333323,4.947916666666677,历史3/3次成功; 当前距低点4.95%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
11,83.11802608000853,77.0482805808351,002345,潮宏基,bottom_area,2024-07-02,4.83,2024-07-01,4.67,3.426124197002144,4.49678800856531,28.919330289193308,False,0.2075,0.6192,1,1,1,100.0,30.859375,30.859375,11.573875802997854,3.426124197002144,历史1/1次成功; 当前距低点3.43%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
12,82.93184115179737,74.72468990004762,605089,味知香,bottom_area,2024-07-02,21.41,2024-07-01,21.01,1.9038553069966613,3.61732508329366,28.170940170940167,False,-0.4186,0.1864,1,1,1,100.0,22.180000000000007,22.180000000000007,13.096144693003339,1.9038553069966613,历史1/1次成功; 当前距低点1.90%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
13,82.73353305475017,73.63070537305832,002572,索菲亚,bottom_area,2024-07-02,15.49,2024-06-28,15.3,1.2418300653594738,5.163398692810452,28.96935933147632,False,-3.0663,1.7947,1,1,1,100.0,18.398268398268392,18.398268398268392,13.758169934640527,1.2418300653594738,历史1/1次成功; 当前距低点1.24%; 最新日涨幅-3.07%; 状态bottom_area; 底部未确认
14,82.32279839934267,73.9850688773152,002557,洽洽食品,bottom_area,2024-07-02,28.24,2024-07-01,27.75,1.7657657657657602,2.990990990990985,27.82834850455137,False,-0.6334,0.6361,1,1,1,100.0,16.510832383124292,16.510832383124292,13.234234234234238,1.7657657657657602,历史1/1次成功; 当前距低点1.77%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
15,82.23702845282214,76.66631089833854,002163,海南发展,bottom_area,2024-07-02,5.56,2024-07-01,5.36,3.731343283582076,5.037313432835813,29.100529100529094,False,0.5425,0.7157,1,1,1,100.0,32.54716981132074,32.54716981132074,11.268656716417924,3.731343283582076,历史1/1次成功; 当前距低点3.73%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
16,81.81076906560355,76.78094373397772,688206,概伦电子,bottom_area,2024-07-02,14.25,2024-07-01,13.69,4.0905770635500405,8.61943024105186,27.18085106382979,False,-0.8351,2.4431,3,3,3,100.0,26.70677117673022,39.570720968629594,10.909422936449959,4.0905770635500405,历史3/3次成功; 当前距低点4.09%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
17,81.44250848607682,71.35225017546738,600345,长江通信,bottom_area,2024-07-02,17.53,2024-07-01,17.46,0.4009163802978252,3.8946162657502845,28.995526636844243,False,-2.9884,4.8291,1,1,1,100.0,25.46419098143237,25.46419098143237,14.599083619702174,0.4009163802978252,历史1/1次成功; 当前距低点0.40%; 最新日涨幅-2.99%; 状态bottom_area; 底部未确认
18,81.07492666024717,74.84236425743013,001212,中旗新材,bottom_area,2024-07-02,20.3,2024-06-25,19.67,3.2028469750889625,6.659888154550068,31.103327495621713,False,-1.3126,0.9526,3,4,3,75.0,42.90244817544601,82.06521739130437,11.797153024911037,3.2028469750889625,历史3/4次成功; 当前距低点3.20%; 最新日涨幅-1.31%; 状态bottom_area; 底部未确认
19,80.70038596622189,74.89233335471867,600295,鄂尔多斯,bottom_area,2024-07-02,10.09,2024-06-27,9.75,3.4871794871794854,3.7948717948717867,27.61692650334076,False,0.1986,0.3324,1,1,1,100.0,20.016680567139286,20.016680567139286,11.512820512820515,3.4871794871794854,历史1/1次成功; 当前距低点3.49%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
20,80.64434277668323,75.39135834411388,002015,协鑫能科,bottom_area,2024-07-02,8.03,2024-06-25,7.73,3.8809831824061956,4.915912031047853,27.349624060150372,False,-0.1244,0.4093,1,1,1,100.0,65.95380667236954,65.95380667236954,11.119016817593804,3.8809831824061956,历史1/1次成功; 当前距低点3.88%; 最新日涨幅-0.12%; 状态bottom_area; 底部未确认
21,80.60393194317156,74.0002169321603,002838,道恩股份,bottom_area,2024-07-02,9.2,2024-06-26,8.94,2.908277404921698,5.369127516778528,28.934817170111295,False,-1.0753,0.5313,4,5,4,80.0,23.930588254740684,38.59649122807017,12.0917225950783,2.908277404921698,历史4/5次成功; 当前距低点2.91%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
22,79.8409335181558,70.77292722696889,600416,湘电股份,bottom_area,2024-07-02,9.83,2024-06-26,9.73,1.0277492291880745,4.933196300102779,27.496274217585686,False,-0.5061,0.813,2,3,2,66.66666666666666,29.083488187371074,34.41084462982274,13.972250770811925,1.0277492291880745,历史2/3次成功; 当前距低点1.03%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
23,79.75542323836599,73.65580212489787,000862,银星能源,bottom_area,2024-07-02,4.8,2024-06-26,4.65,3.2258064516128915,4.731182795698919,27.34375,False,-0.4149,1.0496,1,1,1,100.0,32.63785394932937,32.63785394932937,11.774193548387107,3.2258064516128915,历史1/1次成功; 当前距低点3.23%; 最新日涨幅-0.41%; 状态bottom_area; 底部未确认
24,79.6969195395716,69.86818833647568,300450,先导智能,bottom_area,2024-07-02,16.14,2024-07-01,16.07,0.4355942750466726,2.8002489110143083,30.00871080139373,False,-2.1818,1.0972,1,1,1,100.0,17.91044776119403,17.91044776119403,14.564405724953328,0.4355942750466726,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-2.18%; 状态bottom_area; 底部未确认
25,79.65037451767648,74.24047447206628,601388,怡球资源,bottom_area,2024-07-02,2.23,2024-06-26,2.15,3.720930232558143,4.651162790697678,27.609427609427616,False,0.0,0.6701,3,4,3,75.0,23.544061302681985,35.632183908045974,11.279069767441857,3.720930232558143,历史3/4次成功; 当前距低点3.72%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
26,78.38637099375609,69.16543154997008,603305,旭升集团,bottom_area,2024-07-02,10.31,2024-07-01,10.23,0.7820136852394923,3.910068426197462,30.170648464163826,False,-1.9962,1.1212,3,4,3,75.0,22.545283614602845,32.41061130334487,14.217986314760505,0.7820136852394923,历史3/4次成功; 当前距低点0.78%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
27,77.77559897323066,73.66919499342987,000516,国际医学,bottom_area,2024-07-02,4.79,2024-06-25,4.58,4.5851528384279465,6.55021834061135,28.100470957613815,False,1.2685,0.8496,1,1,1,100.0,26.89969604863221,26.89969604863221,10.414847161572052,4.5851528384279465,历史1/1次成功; 当前距低点4.59%; 最新日涨幅1.27%; 状态bottom_area; 底部未确认
28,76.3187066419285,71.73814699634212,688212,澳华内镜,bottom_area,2024-07-02,40.43,2024-07-01,38.81,4.174181911878375,11.672249420252514,27.566256065696148,True,-5.1162,1.9939,2,2,2,100.0,18.30796642701517,18.639380530973458,10.825818088121625,4.174181911878375,历史2/2次成功; 当前距低点4.17%; 最新日涨幅-5.12%; 状态bottom_area; 底部已确认
29,76.1144097179424,68.42080402515724,002317,众生药业,bottom_area,2024-07-02,11.45,2024-06-25,11.25,1.7777777777777715,6.222222222222216,27.745664739884397,False,-1.2931,1.3507,2,4,2,50.0,45.076007303712714,58.31999999999999,13.222222222222227,1.7777777777777715,历史2/4次成功; 当前距低点1.78%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
30,75.65691659482594,66.70501273312853,688017,绿的谐波,bottom_area,2024-07-02,77.57,2024-07-02,77.0,0.7402597402597314,7.012987012987021,31.755738721971106,False,-3.6876,1.7599,3,4,3,75.0,19.02045667161674,22.08643815201191,14.259740259740267,0.7402597402597314,历史3/4次成功; 当前距低点0.74%; 最新日涨幅-3.69%; 状态bottom_area; 底部未确认
31,74.59031510894508,70.2313740026459,603233,大参林,bottom_area,2024-07-02,14.67,2024-07-01,14.07,4.264392324093814,6.7519545131485375,30.859950859950864,False,-0.4749,1.0727,4,5,4,80.0,20.29133602999884,27.64192139737992,10.735607675906186,4.264392324093814,历史4/5次成功; 当前距低点4.26%; 最新日涨幅-0.47%; 状态bottom_area; 底部未确认
32,73.97769469253824,69.89524803065788,001308,康冠科技,bottom_area,2024-07-02,22.3,2024-06-24,21.35,4.449648711943791,6.557377049180321,28.66688940862011,False,-0.8007,1.3923,1,1,1,100.0,27.421758569299566,27.421758569299566,10.55035128805621,4.449648711943791,历史1/1次成功; 当前距低点4.45%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
33,72.70504947429357,67.7812386516461,002761,浙江建投,bottom_area,2024-07-02,8.06,2024-07-01,7.77,3.7323037323037447,8.622908622908621,32.434782608695656,False,-1.2255,1.9084,4,6,4,66.66666666666666,29.485077928128906,43.73730534867976,11.267696267696255,3.7323037323037447,历史4/6次成功; 当前距低点3.73%; 最新日涨幅-1.23%; 状态bottom_area; 底部未确认
34,71.30905448028675,67.5942,600976,健民集团,bottom_area,2024-07-02,50.22,2024-07-02,48.0,4.624999999999998,5.52083333333333,28.143712574850294,False,-0.849,2.0626,1,1,1,100.0,17.200000000000006,17.200000000000006,10.375,4.624999999999998,历史1/1次成功; 当前距低点4.62%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
35,70.6751701537648,66.98899001039031,603037,凯众股份,bottom_area,2024-07-02,13.13,2024-06-28,12.55,4.621513944223108,11.474103585657366,32.526881720430104,True,-2.7407,5.3516,2,3,2,66.66666666666666,43.59879105673294,47.48743718592965,10.378486055776893,4.621513944223108,历史2/3次成功; 当前距低点4.62%; 最新日涨幅-2.74%; 状态bottom_area; 底部已确认
36,70.56758923691729,65.13356741422798,002129,TCL中环,bottom_area,2024-07-02,8.72,2024-06-25,8.45,3.1952662721893654,5.68047337278107,29.110738255033564,False,-0.9091,1.182,2,3,2,66.66666666666666,25.33391316211329,31.12759643916912,11.804733727810635,3.1952662721893654,历史2/3次成功; 当前距低点3.20%; 最新日涨幅-0.91%; 状态bottom_area; 底部未确认
37,70.17798181455792,65.01457667227731,002326,永太科技,bottom_area,2024-07-02,7.92,2024-06-26,7.66,3.394255874673626,6.2663185378590125,27.393364928909957,False,-0.2519,0.6881,2,3,2,66.66666666666666,27.133405375626396,29.837587006960554,11.605744125326373,3.394255874673626,历史2/3次成功; 当前距低点3.39%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
38,69.94884783473451,64.23687565308256,600223,福瑞达,bottom_area,2024-07-02,7.04,2024-07-01,6.84,2.9239766081871372,4.093567251461992,27.15654952076678,False,0.1422,0.6592,1,2,1,50.0,47.49216300940439,47.49216300940439,12.076023391812862,2.9239766081871372,历史1/2次成功; 当前距低点2.92%; 最新日涨幅0.14%; 状态bottom_area; 底部未确认
39,69.93705725512734,66.2188180660984,002172,澳洋健康,bottom_area,2024-07-02,2.52,2024-06-24,2.41,4.56431535269709,5.809128630705381,27.627627627627625,False,0.8,1.1763,3,5,3,60.0,23.255145538966428,29.824561403508774,10.435684647302908,4.56431535269709,历史3/5次成功; 当前距低点4.56%; 最新日涨幅0.80%; 状态bottom_area; 底部未确认
40,69.80950268779901,61.54118838426159,001201,东瑞股份,bottom_area,2024-07-02,16.49,2024-07-02,16.37,0.7330482590103692,8.063530849114235,30.48832271762208,False,-7.2553,6.7744,2,3,2,66.66666666666666,25.891783592142804,33.37921541637991,14.266951740989631,0.7330482590103692,历史2/3次成功; 当前距低点0.73%; 最新日涨幅-7.26%; 状态bottom_area; 底部未确认
41,69.50433499508551,64.31744432381046,000002,万科A,bottom_area,2024-07-02,7.13,2024-07-01,6.9,3.3333333333333264,6.521739130434772,30.44354838709677,False,-2.1948,1.8833,2,3,2,66.66666666666666,22.638589554536463,28.255902513328245,11.666666666666673,3.3333333333333264,历史2/3次成功; 当前距低点3.33%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
42,69.4034147322225,64.54046962505677,002218,拓日新能,bottom_area,2024-07-02,2.88,2024-06-25,2.78,3.5971223021582768,6.474820143884898,32.850241545893724,False,-0.346,1.3038,2,3,2,66.66666666666666,27.07119251242463,39.04109589041095,11.402877697841724,3.5971223021582768,历史2/3次成功; 当前距低点3.60%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
43,68.75061094220713,60.660421778809635,600933,爱柯迪,bottom_area,2024-07-02,14.22,2024-07-02,14.11,0.779588944011348,5.457122608079386,29.66101694915254,False,-3.5278,0.8812,2,3,2,66.66666666666666,21.726977981122847,24.722838137472287,14.220411055988652,0.779588944011348,历史2/3次成功; 当前距低点0.78%; 最新日涨幅-3.53%; 状态bottom_area; 底部未确认
44,68.04053067978708,59.812997518901945,002068,黑猫股份,bottom_area,2024-07-02,6.91,2024-07-02,6.87,0.5822416302765653,3.7845705967976677,29.89795918367347,False,-2.8129,1.9479,2,4,2,50.0,23.9812281501748,32.77777777777777,14.417758369723435,0.5822416302765653,历史2/4次成功; 当前距低点0.58%; 最新日涨幅-2.81%; 状态bottom_area; 底部未确认
45,67.55396322755962,63.384933575868466,000723,美锦能源,bottom_area,2024-07-02,4.85,2024-06-24,4.66,4.07725321888411,6.223175965665237,27.187500000000004,False,-0.2058,0.3414,2,3,2,66.66666666666666,26.74410886159975,30.434782608695667,10.92274678111589,4.07725321888411,历史2/3次成功; 当前距低点4.08%; 最新日涨幅-0.21%; 状态bottom_area; 底部未确认
46,67.3586023200217,59.11178713871767,603197,保隆科技,bottom_area,2024-07-02,30.75,2024-07-02,30.6,0.49019607843136787,3.8888888888888813,28.55475134251692,False,-2.6899,1.5609,2,4,2,50.0,19.08297955667312,20.16154085119603,14.509803921568631,0.49019607843136787,历史2/4次成功; 当前距低点0.49%; 最新日涨幅-2.69%; 状态bottom_area; 底部未确认
47,66.30253580426587,59.04499555836915,002568,百润股份,bottom_area,2024-07-02,16.67,2024-06-28,16.46,1.275820170109361,5.589307411907644,31.416666666666664,False,-2.4576,1.4964,1,2,1,50.0,21.848739495798313,21.848739495798313,13.724179829890637,1.275820170109361,历史1/2次成功; 当前距低点1.28%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
