rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
12,68.0929705681365,60.25962703962706,002123,梦网科技,bottom_area,2025-03-31,14.77,2025-03-31,14.3,3.2867132867132782,3.6363636363636336,30.141670737664867,False,0.2716,5.0009,1,3,1,33.33333333333333,54.50450450450449,54.50450450450449,16.713286713286724,3.2867132867132782,历史1/3次成功; 当前距低点3.29%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
13,67.35689631091795,59.55145726473125,002406,远东传动,bottom_area,2025-03-31,7.66,2025-03-31,7.42,3.234501347708898,5.929919137466313,31.801470588235297,False,-3.4048,15.0201,2,5,2,40.0,47.12967923391146,67.88321167883211,16.765498652291104,3.234501347708898,历史2/5次成功; 当前距低点3.23%; 最新日涨幅-3.40%; 状态bottom_area; 底部未确认
14,64.77696928978213,57.81834624895828,300530,领湃科技,bottom_area,2025-03-31,22.65,2025-03-31,21.83,3.7562986715529108,5.222171323866242,28.660130718954257,False,-1.436,2.608,3,7,3,42.857142857142854,27.802573379948058,34.07510431154381,16.24370132844709,3.7562986715529108,历史3/7次成功; 当前距低点3.76%; 最新日涨幅-1.44%; 状态bottom_area; 底部未确认
15,64.70001885631136,55.01457854127918,300721,怡达股份,bottom_area,2025-03-31,13.78,2025-03-31,13.63,1.1005135730007232,9.170946441672779,31.5075376884422,False,-9.8168,19.5216,2,7,2,28.57142857142857,21.34120308298442,22.270742358078603,18.899486426999278,1.1005135730007232,历史2/7次成功; 当前距低点1.10%; 最新日涨幅-9.82%; 状态bottom_area; 底部未确认
16,64.22666500010871,55.845193153682125,300746,汉嘉数智,bottom_area,2025-03-31,11.9,2025-03-31,11.63,2.321582115219257,2.923473774720549,27.584059775840586,False,-1.0806,1.7359,1,3,1,33.33333333333333,36.90896259703598,36.90896259703598,17.678417884780746,2.321582115219257,历史1/3次成功; 当前距低点2.32%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
17,63.607978685846,55.804840328764115,300676,华大基因,bottom_area,2025-03-31,52.65,2025-03-31,51.21,2.8119507908611556,3.964069517672332,27.155049786628734,False,-0.7727,1.1522,1,2,1,50.0,23.258538343696497,23.258538343696497,17.188049209138846,2.8119507908611556,历史1/2次成功; 当前距低点2.81%; 最新日涨幅-0.77%; 状态bottom_area; 底部未确认
18,63.48592646613489,55.09391254315305,000890,法尔胜,bottom_area,2025-03-31,3.23,2025-03-31,3.16,2.2151898734177164,3.797468354430369,27.853881278538807,False,-2.4169,4.8477,1,4,1,25.0,32.954545454545446,32.954545454545446,17.784810126582286,2.2151898734177164,历史1/4次成功; 当前距低点2.22%; 最新日涨幅-2.42%; 状态bottom_area; 底部未确认
19,63.30581341516112,55.84039181796874,600203,福日电子,bottom_area,2025-03-31,9.29,2025-03-31,9.01,3.1076581576026565,3.329633740288576,32.50936329588015,False,0.0,4.6864,1,3,1,33.33333333333333,24.045801526717554,24.045801526717554,16.892341842397347,3.1076581576026565,历史1/3次成功; 当前距低点3.11%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
20,63.172965831828456,56.30095316340336,301366,一博科技,bottom_area,2025-03-31,53.63,2025-03-31,51.73,3.672917069398813,3.7115793543398454,31.483443708609276,False,-0.5747,6.6421,1,2,1,50.0,36.479591836734706,36.479591836734706,16.32708293060119,3.672917069398813,历史1/2次成功; 当前距低点3.67%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
21,62.07,51.725,600960,渤海汽车,bottom_area,2025-03-31,3.38,2025-03-31,3.38,0.0,4.733727810650891,30.737704918032787,False,-10.1064,5.5565,1,4,1,25.0,69.9604743083004,69.9604743083004,20.0,0.0,历史1/4次成功; 当前距低点0.00%; 最新日涨幅-10.11%; 状态bottom_area; 底部未确认
22,61.90674389887388,54.79890496765163,300386,飞天诚信,bottom_area,2025-03-31,14.71,2025-03-31,14.24,3.3005617977528137,4.494382022471914,30.536585365853657,False,-2.1941,4.9801,3,9,3,33.33333333333333,26.61748673760595,31.195335276967924,16.699438202247187,3.3005617977528137,历史3/9次成功; 当前距低点3.30%; 最新日涨幅-2.19%; 状态bottom_area; 底部未确认
23,61.5441673086116,55.55941186902835,000555,神州信息,bottom_area,2025-03-31,11.92,2025-03-31,11.42,4.378283712784588,4.903677758318743,28.580362726704188,False,-1.1609,5.4043,1,2,1,50.0,41.139240506329116,41.139240506329116,15.621716287215412,4.378283712784588,历史1/2次成功; 当前距低点4.38%; 最新日涨幅-1.16%; 状态bottom_area; 底部未确认
