rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.39276969345742,73.73355328158081,002479,富春环保,bottom_area,2022-05-17,4.53,2022-04-28,4.36,3.8990825688073376,9.86238532110091,28.990228013029306,True,-0.6579,0.3949,1,1,1,100.0,32.11538461538461,32.11538461538461,16.100917431192663,3.8990825688073376,历史1/1次成功; 当前距低点3.90%; 最新日涨幅-0.66%; 状态bottom_area; 底部已确认
2,80.28672750420489,72.93037695556576,603078,江化微,bottom_area,2022-05-17,24.19,2022-05-17,23.1,4.718614718614718,5.411255411255411,29.357798165137616,False,0.7497,5.112,1,1,1,100.0,24.563540397888758,24.563540397888758,15.281385281385285,4.718614718614718,历史1/1次成功; 当前距低点4.72%; 最新日涨幅0.75%; 状态bottom_area; 底部未确认
3,65.30153809445461,54.99154893747005,603229,奥翔药业,bottom_area,2022-05-17,66.79,2022-05-17,66.41,0.5722029814787075,11.112784219244105,29.260758414997866,False,-9.4864,7.5145,1,2,1,50.0,41.48479427549196,41.48479427549196,19.427797018521293,0.5722029814787075,历史1/2次成功; 当前距低点0.57%; 最新日涨幅-9.49%; 状态bottom_area; 底部未确认
4,62.98542560544256,55.42596501909563,002690,美亚光电,bottom_area,2022-05-17,18.33,2022-05-16,17.8,2.9775280898876266,5.05617977528089,28.856914468425256,False,-0.4345,0.8041,1,2,1,50.0,23.25123152709359,23.25123152709359,17.022471910112376,2.9775280898876266,历史1/2次成功; 当前距低点2.98%; 最新日涨幅-0.43%; 状态bottom_area; 底部未确认
