rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,77.75141374355638,77.69588363018163,601155,新城控股,bottom_area,2022-10-14,16.79,2022-10-12,16.15,3.962848297213626,6.253869969040259,29.321663019693666,False,1.2055,0.9876,2,2,2,100.0,24.2536438055306,24.642857142857142,4.037151702786375,3.962848297213626,历史2/2次成功; 当前距低点3.96%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
2,75.50442800393101,74.00016240745165,000560,我爱我家,bottom_area,2022-10-14,2.44,2022-10-12,2.37,2.9535864978902886,5.485232067510544,30.498533724340177,False,1.2448,3.5887,1,1,1,100.0,8.679245283018867,8.679245283018867,5.046413502109711,2.9535864978902886,历史1/1次成功; 当前距低点2.95%; 最新日涨幅1.24%; 状态bottom_area; 底部未确认
3,75.15623167920144,76.15649610566389,601919,中远海控,bottom_area,2022-10-14,11.39,2022-10-10,10.88,4.687499999999998,5.1470588235294,28.13738441215323,False,1.7873,0.8099,2,2,2,100.0,24.8601941164725,40.45881126173098,3.312500000000002,4.687499999999998,历史2/2次成功; 当前距低点4.69%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
4,70.45689463797694,71.6481101614435,600126,杭钢股份,bottom_area,2022-10-14,4.09,2022-10-11,3.9,4.8717948717948705,5.641025641025646,31.698774080560423,False,0.4914,0.2357,1,1,1,100.0,19.54732510288064,19.54732510288064,3.1282051282051295,4.8717948717948705,历史1/1次成功; 当前距低点4.87%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
