rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,96.56991628011251,82.35339014338508,605133,嵘泰股份,bottom_area,2024-01-03,25.72,2024-01-03,25.4,1.2598425196850405,6.9685039370078865,29.070092153029886,False,-5.7875,7.3809,2,2,2,100.0,48.8485542379945,60.01483679525222,18.740157480314963,1.2598425196850405,历史2/2次成功; 当前距低点1.26%; 最新日涨幅-5.79%; 状态bottom_area; 底部未确认
2,93.92958712299438,82.72456647831284,300480,光力科技,bottom_area,2024-01-03,20.79,2023-12-28,20.18,3.022794846382554,6.045589692765108,29.85749044143205,False,-1.0942,1.6799,4,4,4,100.0,28.906122193898153,39.69465648854962,16.977205153617447,3.022794846382554,历史4/4次成功; 当前距低点3.02%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
3,89.62436734693881,77.59000000000002,001239,永达股份,bottom_area,2024-01-03,22.05,2024-01-03,21.6,2.08333333333333,9.72222222222221,27.999999999999996,False,-8.125,47.5474,1,1,1,100.0,62.04678362573098,62.04678362573098,17.91666666666667,2.08333333333333,历史1/1次成功; 当前距低点2.08%; 最新日涨幅-8.12%; 状态bottom_area; 底部未确认
4,89.50051198381544,79.18425359315758,688182,灿勤科技,bottom_area,2024-01-03,17.04,2023-12-26,16.5,3.2727272727272676,8.727272727272736,29.001721170395868,True,-2.4055,2.4487,2,2,2,100.0,37.0756547041707,49.999999999999986,16.727272727272734,3.2727272727272676,历史2/2次成功; 当前距低点3.27%; 最新日涨幅-2.41%; 状态bottom_area; 底部已确认
5,88.01141315530565,76.6198176968893,301499,维科精密,bottom_area,2024-01-03,28.72,2023-12-27,28.05,2.3885918003564997,5.347593582887701,32.73381294964029,False,-0.6916,4.0441,2,2,2,100.0,21.64412366506522,21.950454687989964,17.611408199643503,2.3885918003564997,历史2/2次成功; 当前距低点2.39%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
6,87.54738026805681,77.1969957601454,603013,亚普股份,bottom_area,2024-01-03,17.02,2023-12-28,16.51,3.0890369473046517,5.330102967898237,27.428571428571423,False,-0.9313,0.6461,1,1,1,100.0,53.30739299610896,53.30739299610896,16.91096305269535,3.0890369473046517,历史1/1次成功; 当前距低点3.09%; 最新日涨幅-0.93%; 状态bottom_area; 底部未确认
7,83.59066881176852,74.88475047163021,601628,中国人寿,bottom_area,2024-01-03,28.11,2023-12-27,27.04,3.9571005917159776,6.656804733727814,29.47313510693793,False,0.4287,0.0643,1,1,1,100.0,25.736235595390532,25.736235595390532,16.042899408284022,3.9571005917159776,历史1/1次成功; 当前距低点3.96%; 最新日涨幅0.43%; 状态bottom_area; 底部未确认
8,83.24801715115578,74.66744848542716,600199,金种子酒,bottom_area,2024-01-03,18.1,2023-12-21,17.4,4.022988505747143,8.10344827586207,27.1356783919598,True,-0.1104,0.9179,2,2,2,100.0,21.988506873820672,23.70304114490161,15.977011494252856,4.022988505747143,历史2/2次成功; 当前距低点4.02%; 最新日涨幅-0.11%; 状态bottom_area; 底部已确认
9,77.81331601489232,70.30605888022431,600130,波导股份,bottom_area,2024-01-03,4.72,2023-12-26,4.52,4.424778761061951,7.300884955752214,27.564102564102573,True,-1.2552,1.8819,1,1,1,100.0,20.13201320132014,20.13201320132014,15.57522123893805,4.424778761061951,历史1/1次成功; 当前距低点4.42%; 最新日涨幅-1.26%; 状态bottom_area; 底部已确认
10,71.89047455297336,63.46625425697964,300363,博腾股份,bottom_area,2024-01-03,24.53,2023-12-26,23.78,3.153910849453322,7.232968881412948,27.18922229026331,True,0.4505,1.0137,1,2,1,50.0,36.97403760071621,36.97403760071621,16.84608915054668,3.153910849453322,历史1/2次成功; 当前距低点3.15%; 最新日涨幅0.45%; 状态bottom_area; 底部已确认
11,71.87295220778508,63.92123805765726,000980,众泰汽车,bottom_area,2024-01-03,2.91,2023-12-27,2.81,3.5587188612099676,8.540925266903907,28.31632653061224,True,-1.0204,1.4658,2,4,2,50.0,33.52213473772031,43.49775784753364,16.441281138790035,3.5587188612099676,历史2/4次成功; 当前距低点3.56%; 最新日涨幅-1.02%; 状态bottom_area; 底部已确认
12,68.40583965382926,60.26265521796568,000070,特发信息,bottom_area,2024-01-03,7.8,2023-12-26,7.57,3.0383091149273387,5.680317040951119,27.00096432015428,False,-1.1407,1.2718,1,2,1,50.0,50.60532687651331,50.60532687651331,16.96169088507266,3.0383091149273387,历史1/2次成功; 当前距低点3.04%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
13,66.72000000000001,55.60000000000001,002021,中捷资源,bottom_area,2024-01-03,2.4,2024-01-03,2.4,0.0,0.0,32.01133144475921,False,-5.1383,0.0152,1,2,1,50.0,50.76923076923077,50.76923076923077,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-5.14%; 状态bottom_area; 底部未确认
14,65.89604784963015,57.85663121730082,000829,天音控股,bottom_area,2024-01-03,9.37,2023-12-27,9.11,2.8540065861690427,5.2689352360043955,29.105058365758758,False,-1.056,2.3372,1,2,1,50.0,34.80519480519481,34.80519480519481,17.145993413830958,2.8540065861690427,历史1/2次成功; 当前距低点2.85%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
15,60.85798380539014,54.77065977973192,000058,深赛格,bottom_area,2024-01-03,7.18,2023-12-27,6.89,4.2089985486211905,5.370101596516692,27.320675105485236,False,-0.2778,0.6337,1,2,1,50.0,34.82352941176472,34.82352941176472,15.791001451378811,4.2089985486211905,历史1/2次成功; 当前距低点4.21%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
16,58.76729835541323,52.981393766328466,002406,远东传动,bottom_area,2024-01-03,6.3,2023-12-26,6.04,4.304635761589401,6.95364238410596,27.66467065868263,False,-1.0989,2.2034,1,2,1,50.0,26.376146788990813,26.376146788990813,15.6953642384106,4.304635761589401,历史1/2次成功; 当前距低点4.30%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
17,56.23812947549789,51.33497279787365,301371,敷尔佳,bottom_area,2024-01-03,38.11,2023-12-26,36.3,4.986225895316811,6.859504132231412,27.544910179640723,False,-0.6776,2.8456,1,2,1,50.0,25.879396984924636,25.879396984924636,15.01377410468319,4.986225895316811,历史1/2次成功; 当前距低点4.99%; 最新日涨幅-0.68%; 状态bottom_area; 底部未确认
