rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.93484866631685,80.93816012558388,603178,圣龙股份,bottom_area,2025-12-11,17.88,2025-12-05,17.66,1.2457531143827794,4.0203850509626315,28.182187881252542,False,-2.0274,0.8393,1,1,1,100.0,47.51869476546566,47.51869476546566,18.75424688561722,1.2457531143827794,历史1/1次成功; 当前距低点1.25%; 最新日涨幅-2.03%; 状态bottom_area; 底部未确认
2,90.64548072550627,76.67714619200471,002759,天际股份,bottom_area,2025-12-11,34.55,2025-12-08,34.27,0.817041143857584,7.090749927049897,27.33248515691263,True,-0.8039,12.9858,1,1,1,100.0,72.99787384833452,72.99787384833452,19.182958856142417,0.817041143857584,历史1/1次成功; 当前距低点0.82%; 最新日涨幅-0.80%; 状态bottom_area; 底部已确认
3,89.87674269390367,75.78940267772332,000619,海螺新材,bottom_area,2025-12-11,6.23,2025-11-21,6.19,0.6462035541195482,7.108239095315015,27.85547785547785,True,-2.6563,2.3735,1,1,1,100.0,43.133047210300425,43.133047210300425,19.35379644588045,0.6462035541195482,历史1/1次成功; 当前距低点0.65%; 最新日涨幅-2.66%; 状态bottom_area; 底部已确认
4,89.33355732027437,74.6265058236273,301001,凯淳股份,bottom_area,2025-12-11,30.09,2025-12-11,30.05,0.1331114808652218,5.457570715474212,27.485521235521233,False,-4.5065,7.9769,1,1,1,100.0,58.89483065953654,58.89483065953654,19.86688851913478,0.1331114808652218,历史1/1次成功; 当前距低点0.13%; 最新日涨幅-4.51%; 状态bottom_area; 底部未确认
5,87.78347632039564,75.33597307655586,002176,江特电机,bottom_area,2025-12-11,9.49,2025-12-05,9.34,1.6059957173447574,4.817987152034254,27.428127428127425,False,-0.4197,3.6912,1,1,1,100.0,21.81528662420382,21.81528662420382,18.394004282655242,1.6059957173447574,历史1/1次成功; 当前距低点1.61%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
6,87.47437818791822,73.30057567753379,688365,光云科技,bottom_area,2025-12-11,16.58,2025-12-11,16.53,0.3024803387779622,3.750756200846929,28.099173553718998,False,-2.0673,3.9222,1,1,1,100.0,34.732423924449115,34.732423924449115,19.69751966122204,0.3024803387779622,历史1/1次成功; 当前距低点0.30%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
7,86.72362954310508,75.17681650054735,300035,中科电气,bottom_area,2025-12-11,20.86,2025-12-05,20.42,2.154750244857971,5.729676787463261,29.097222222222218,False,-1.6965,3.335,1,1,1,100.0,27.686274509803933,27.686274509803933,17.845249755142028,2.154750244857971,历史1/1次成功; 当前距低点2.15%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
8,85.35142066738267,74.95997367320075,600550,保变电气,bottom_area,2025-12-11,9.32,2025-12-04,9.06,2.8697571743929338,6.401766004415012,30.307692307692303,False,-0.8511,3.4167,1,1,1,100.0,35.285053929121716,35.285053929121716,17.130242825607066,2.8697571743929338,历史1/1次成功; 当前距低点2.87%; 最新日涨幅-0.85%; 状态bottom_area; 底部未确认
9,83.9932994923858,69.99441624365484,003038,鑫铂股份,bottom_area,2025-12-11,15.31,2025-12-11,15.31,0.0,3.0698889614630884,29.08754052802223,False,-2.2974,2.1812,1,1,1,100.0,25.507614213197975,25.507614213197975,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
10,82.07038016528925,68.39198347107438,002291,遥望科技,bottom_area,2025-12-11,6.48,2025-12-11,6.48,0.0,4.3209876543209775,30.172413793103438,False,-4.142,6.322,1,1,1,100.0,27.107438016528935,27.107438016528935,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-4.14%; 状态bottom_area; 底部未确认
11,68.45662921348314,57.04719101123595,605228,神通科技,bottom_area,2025-12-11,14.11,2025-12-11,14.11,0.0,1.913536498936934,27.2680412371134,False,-1.4665,0.5027,1,2,1,50.0,47.56554307116105,47.56554307116105,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
