rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.11830345927952,81.34953746967773,000928,中钢国际,bottom_area,2023-11-27,6.09,2023-10-23,5.97,2.010050251256283,7.705192629815745,31.06235565819862,True,-0.4902,1.4502,3,3,3,100.0,16.57232280936585,18.798449612403097,7.989949748743717,2.010050251256283,历史3/3次成功; 当前距低点2.01%; 最新日涨幅-0.49%; 状态bottom_area; 底部已确认
2,85.87328619536288,80.9020887342619,605086,龙高股份,bottom_area,2023-11-27,27.78,2023-11-27,27.27,1.870187018701876,2.2368903557022346,31.534019583228723,False,0.6887,10.3696,2,2,2,100.0,15.839328693022429,17.79249448123621,8.129812981298125,1.870187018701876,历史2/2次成功; 当前距低点1.87%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
3,84.19980377472152,79.46538574240587,600048,保利发展,bottom_area,2023-11-27,10.91,2023-10-30,10.7,1.9626168224299148,6.448598130841134,28.139691067830768,False,-2.5022,0.5655,2,2,2,100.0,31.721247836269217,31.987577639751546,8.037383177570085,1.9626168224299148,历史2/2次成功; 当前距低点1.96%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
4,80.51250553014596,74.83213149505303,601022,宁波远洋,bottom_area,2023-11-27,10.46,2023-11-27,10.34,1.1605415860735107,2.8046421663443026,28.738800827015854,False,-0.5703,11.0284,1,1,1,100.0,13.646055437100205,13.646055437100205,8.83945841392649,1.1605415860735107,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
5,80.25669723650361,76.71596059371669,603326,我乐家居,bottom_area,2023-11-27,10.14,2023-11-02,9.88,2.631578947368419,9.00809716599189,30.909090909090907,True,-0.6856,2.8435,2,2,2,100.0,15.946024697401477,20.141843971631218,7.368421052631581,2.631578947368419,历史2/2次成功; 当前距低点2.63%; 最新日涨幅-0.69%; 状态bottom_area; 底部已确认
6,79.73837130096584,75.82828040057382,002786,银宝山新,bottom_area,2023-11-27,12.14,2023-11-24,11.86,2.3608768971332306,6.9139966273187206,31.40543666859456,False,0.0824,17.4736,3,4,3,75.0,15.409030785148293,18.75000000000001,7.63912310286677,2.3608768971332306,历史3/4次成功; 当前距低点2.36%; 最新日涨幅0.08%; 状态bottom_area; 底部未确认
7,78.6177397364655,72.71794461144239,300683,海特生物,bottom_area,2023-11-27,36.73,2023-11-27,36.4,0.906593406593402,2.4450549450549466,29.51200619674671,False,0.109,1.3362,1,1,1,100.0,16.532137518684582,16.532137518684582,9.093406593406598,0.906593406593402,历史1/1次成功; 当前距低点0.91%; 最新日涨幅0.11%; 状态bottom_area; 底部未确认
8,75.51761171029737,73.17562713089029,600325,华发股份,bottom_area,2023-11-27,8.03,2023-11-16,7.77,3.3462033462033434,9.78120978120978,29.746835443037984,True,-3.717,1.1566,1,1,1,100.0,32.553606237816766,32.553606237816766,6.653796653796657,3.3462033462033434,历史1/1次成功; 当前距低点3.35%; 最新日涨幅-3.72%; 状态bottom_area; 底部已确认
9,74.17316969160991,71.07511597938144,301448,开创电气,bottom_area,2023-11-27,39.46,2023-11-27,38.4,2.7604166666666727,3.854166666666677,29.138217383281045,False,-0.3535,17.3287,1,1,1,100.0,13.058419243986243,13.058419243986243,7.239583333333327,2.7604166666666727,历史1/1次成功; 当前距低点2.76%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
10,74.00078125,67.2734375,002855,捷荣技术,bottom_area,2023-11-27,30.74,2023-11-27,30.74,0.0,0.0,29.088811995386394,False,-9.9854,3.7528,1,1,1,100.0,21.093749999999993,21.093749999999993,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.99%; 状态bottom_area; 底部未确认
11,72.64241388191046,70.3281025209959,001322,箭牌家居,confirmed_rebound,2023-11-27,12.52,2023-10-23,12.12,3.3003300330033034,10.808580858085813,30.74285714285715,True,-3.3951,3.5323,1,1,1,100.0,26.897069872276486,26.897069872276486,6.699669966996696,3.3003300330033034,历史1/1次成功; 当前距低点3.30%; 最新日涨幅-3.40%; 状态confirmed_rebound; 底部已确认
12,71.81019511136913,66.03292847283036,001278,一彬科技,confirmed_rebound,2023-11-27,26.86,2023-11-27,26.7,0.5992509363295886,10.599250936329595,27.406199021207183,False,-9.1032,39.8329,1,1,1,100.0,19.72699251431088,19.72699251431088,9.400749063670412,0.5992509363295886,历史1/1次成功; 当前距低点0.60%; 最新日涨幅-9.10%; 状态confirmed_rebound; 底部未确认
13,70.25817091325492,69.10318844351903,000631,顺发恒能,bottom_area,2023-11-27,3.53,2023-11-03,3.39,4.129793510324474,9.439528023598815,31.515151515151512,True,-1.3966,1.3994,1,1,1,100.0,10.04901960784314,10.04901960784314,5.870206489675527,4.129793510324474,历史1/1次成功; 当前距低点4.13%; 最新日涨幅-1.40%; 状态bottom_area; 底部已确认
14,69.67796961482061,66.87322776785132,002080,中材科技,bottom_area,2023-11-27,17.0,2023-10-26,16.53,2.8433151845129996,9.074410163339381,27.244718309859145,True,-0.6429,0.3923,2,3,2,66.66666666666666,21.179138289646758,28.579356270810223,7.156684815487001,2.8433151845129996,历史2/3次成功; 当前距低点2.84%; 最新日涨幅-0.64%; 状态bottom_area; 底部已确认
