rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.68727025496865,80.48138711264141,000917,电广传媒,bottom_area,2024-03-27,6.49,2024-03-27,6.42,1.0903426791277304,4.984423676012466,29.98909487459106,False,-1.2177,9.2078,1,1,1,100.0,43.157894736842124,43.157894736842124,13.909657320872268,1.0903426791277304,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
2,90.10784823313477,79.82564685705768,002553,南方精工,bottom_area,2024-03-27,11.16,2024-03-27,11.05,0.9954751131221666,14.932126696832565,29.841269841269835,False,-8.749,17.485,4,4,4,100.0,38.5232801880441,83.5926449787836,14.004524886877833,0.9954751131221666,历史4/4次成功; 当前距低点1.00%; 最新日涨幅-8.75%; 状态bottom_area; 底部未确认
3,88.35866575018835,79.0822837920692,603011,合锻智能,bottom_area,2024-03-27,7.89,2024-03-26,7.77,1.5444015444015458,5.662805662805679,30.251346499102343,False,-0.3788,7.6589,1,1,1,100.0,41.201716738197426,41.201716738197426,13.455598455598453,1.5444015444015458,历史1/1次成功; 当前距低点1.54%; 最新日涨幅-0.38%; 状态bottom_area; 底部未确认
4,84.4688186034945,75.76418533502627,603356,华菱精工,bottom_area,2024-03-27,12.86,2024-03-27,12.65,1.6600790513833916,9.090909090909093,31.95266272189349,False,-5.0923,10.184,3,4,3,75.0,39.16218049559353,53.658536585365866,13.339920948616607,1.6600790513833916,历史3/4次成功; 当前距低点1.66%; 最新日涨幅-5.09%; 状态bottom_area; 底部未确认
5,81.07990094673451,72.20220806794056,300536,农尚环境,bottom_area,2024-03-27,15.9,2024-03-27,15.7,1.2738853503184782,10.063694267515935,28.636363636363637,False,-5.1878,5.8413,2,3,2,66.66666666666666,53.97590503889715,60.27027027027027,13.72611464968152,1.2738853503184782,历史2/3次成功; 当前距低点1.27%; 最新日涨幅-5.19%; 状态bottom_area; 底部未确认
6,77.85383333333333,67.69898550724638,002862,实丰文化,bottom_area,2024-03-27,13.17,2024-03-27,13.17,0.0,5.5429005315110125,27.277747101049144,False,-5.2518,13.3457,1,1,1,100.0,23.381642512077295,23.381642512077295,15.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-5.25%; 状态bottom_area; 底部未确认
7,76.90352438399216,67.72381707759246,002857,三晖电气,bottom_area,2024-03-27,11.9,2024-03-27,11.82,0.6768189509306266,4.90693739424704,29.72651605231867,False,-3.4874,2.4971,1,1,1,100.0,19.55357142857144,19.55357142857144,14.323181049069373,0.6768189509306266,历史1/1次成功; 当前距低点0.68%; 最新日涨幅-3.49%; 状态bottom_area; 底部未确认
8,69.91433599390497,60.79507477730868,688095,福昕软件,bottom_area,2024-03-27,64.47,2024-03-27,64.47,0.0,7.46083449666512,28.91951488423374,False,-6.0204,3.867,2,3,2,66.66666666666666,25.152731777645194,31.679509356817103,15.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-6.02%; 状态bottom_area; 底部未确认
9,67.21374355254267,58.643731414373846,300454,深信服,bottom_area,2024-03-27,61.22,2024-03-27,61.11,0.18000327278677702,7.871052200949112,28.35033415406262,False,-7.1017,4.5663,2,4,2,50.0,22.979241270579003,29.49391262831224,14.819996727213223,0.18000327278677702,历史2/4次成功; 当前距低点0.18%; 最新日涨幅-7.10%; 状态bottom_area; 底部未确认
10,65.6610350661496,57.6808140781678,300727,润禾材料,bottom_area,2024-03-27,25.84,2024-03-27,25.7,0.5447470817120645,4.669260700389103,28.57142857142857,False,-4.4379,5.3134,2,4,2,50.0,22.273319486404827,26.812499999999993,14.455252918287934,0.5447470817120645,历史2/4次成功; 当前距低点0.54%; 最新日涨幅-4.44%; 状态bottom_area; 底部未确认
11,62.793574772479616,57.37555680805162,603095,越剑智能,bottom_area,2024-03-27,16.25,2024-03-26,15.83,2.6531901452937454,6.696146557169934,28.981606101390756,False,-2.4024,2.5916,1,3,1,33.33333333333333,49.20159680638723,49.20159680638723,12.346809854706253,2.6531901452937454,历史1/3次成功; 当前距低点2.65%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
12,58.85742599168439,51.718540282878834,002298,中电鑫龙,bottom_area,2024-03-27,5.39,2024-03-27,5.36,0.5597014925373014,9.514925373134323,27.956989247311824,False,-9.2593,13.6397,1,2,1,50.0,23.734729493891784,23.734729493891784,14.440298507462698,0.5597014925373014,历史1/2次成功; 当前距低点0.56%; 最新日涨幅-9.26%; 状态bottom_area; 底部未确认
13,57.153477898875664,50.311448645031774,000710,贝瑞基因,bottom_area,2024-03-27,9.21,2024-03-27,9.15,0.6557377049180382,8.306010928961745,30.47112462006079,False,-6.3072,11.4116,1,2,1,50.0,17.3469387755102,17.3469387755102,14.344262295081961,0.6557377049180382,历史1/2次成功; 当前距低点0.66%; 最新日涨幅-6.31%; 状态bottom_area; 底部未确认
14,53.16403761526461,46.73894609421697,688229,博睿数据,bottom_area,2024-03-27,30.88,2024-03-27,30.7,0.5863192182410415,10.42345276872964,27.28564661297963,False,-7.2673,3.3232,1,4,1,25.0,18.12233285917498,18.12233285917498,14.41368078175896,0.5863192182410415,历史1/4次成功; 当前距低点0.59%; 最新日涨幅-7.27%; 状态bottom_area; 底部未确认
15,48.35331585664918,46.0628983113069,688070,纵横股份,bottom_area,2024-03-27,45.24,2024-03-27,43.13,4.892186413169486,13.262230466032921,29.41080196399345,False,-8.7351,3.721,1,3,1,33.33333333333333,26.04166666666665,26.04166666666665,10.107813586830513,4.892186413169486,历史1/3次成功; 当前距低点4.89%; 最新日涨幅-8.74%; 状态bottom_area; 底部未确认
