rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
35,74.22006190166991,69.72061967994553,002519,银河电子,bottom_area,2023-08-21,5.38,2023-08-17,5.34,0.7490636704119857,4.494382022471914,28.03234501347709,False,-0.3704,0.9487,1,1,1,100.0,20.959595959595962,20.959595959595962,7.250936329588015,0.7490636704119857,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
36,74.16296345367675,68.91611568688351,603301,振德医疗,bottom_area,2023-08-21,26.9,2023-08-21,26.85,0.18621973929235439,1.6387337057728033,27.56946317777178,False,-0.628,0.4537,1,1,1,100.0,9.734928454140272,9.734928454140272,7.813780260707645,0.18621973929235439,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
37,73.98157805485094,74.46431660287467,300614,百川畅银,bottom_area,2023-08-21,23.57,2023-08-17,22.59,4.338202744577249,5.444887118193893,27.596153846153843,False,1.072,1.4409,2,2,2,100.0,11.480746561886047,11.8614931237721,3.661797255422752,4.338202744577249,历史2/2次成功; 当前距低点4.34%; 最新日涨幅1.07%; 状态bottom_area; 底部未确认
38,73.913273557862,68.97604113945864,603255,鼎际得,bottom_area,2023-08-21,37.05,2023-08-21,36.9,0.40650406504064657,3.3604336043360488,29.4185156847743,False,-1.0417,1.424,1,1,1,100.0,12.757367783609205,12.757367783609205,7.593495934959353,0.40650406504064657,历史1/1次成功; 当前距低点0.41%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
39,73.89819922264206,74.82940965389047,300635,中达安,bottom_area,2023-08-21,13.95,2023-08-14,13.33,4.6511627906976685,6.826706676669168,27.475516866158866,False,1.6023,4.2112,2,2,2,100.0,17.279896863877134,23.97914856646394,3.3488372093023315,4.6511627906976685,历史2/2次成功; 当前距低点4.65%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
40,73.36129094469449,69.17862407683188,002819,东方中科,bottom_area,2023-08-21,25.55,2023-08-17,25.31,0.9482418016594311,5.175819834057694,27.68571428571429,False,-0.6223,0.3952,1,1,1,100.0,20.487179487179493,20.487179487179493,7.051758198340568,0.9482418016594311,历史1/1次成功; 当前距低点0.95%; 最新日涨幅-0.62%; 状态bottom_area; 底部未确认
41,72.5957164599689,71.67995730955032,688287,退市观典,bottom_area,2023-08-21,10.52,2023-08-16,10.18,3.3398821218074644,7.662082514734786,31.951871657754015,True,-1.9571,0.5422,1,1,1,100.0,14.219830899308223,14.219830899308223,4.660117878192536,3.3398821218074644,历史1/1次成功; 当前距低点3.34%; 最新日涨幅-1.96%; 状态bottom_area; 底部已确认
42,72.31177599615067,68.67014373826412,688117,圣诺生物,bottom_area,2023-08-21,24.68,2023-08-21,24.36,1.3136288998357974,4.967159277504109,30.538922155688624,False,-1.5164,9.5821,2,3,2,66.66666666666666,21.282532060339015,24.6076585059636,6.6863711001642026,1.3136288998357974,历史2/3次成功; 当前距低点1.31%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
43,70.98210271903324,65.72416918429003,000534,万泽股份,bottom_area,2023-08-21,12.36,2023-08-21,12.36,0.0,3.074433656957935,27.294117647058826,False,-3.0588,0.9189,1,1,1,100.0,12.764350453172202,12.764350453172202,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.06%; 状态bottom_area; 底部未确认
44,70.67256415405764,71.26954119104485,002765,蓝黛科技,confirmed_rebound,2023-08-21,6.59,2023-08-21,6.31,4.437400950871637,8.874801901743274,29.339305711086226,False,-4.631,6.3399,3,3,3,100.0,21.75707182275358,28.213879408418663,3.5625990491283637,4.437400950871637,历史3/3次成功; 当前距低点4.44%; 最新日涨幅-4.63%; 状态confirmed_rebound; 底部未确认
45,70.65985959365025,70.40150544522741,603015,弘讯科技,confirmed_rebound,2023-08-21,8.72,2023-08-17,8.4,3.809523809523813,8.095238095238091,29.883138564273786,True,-1.9123,1.0426,1,1,1,100.0,23.318385650224208,23.318385650224208,4.190476190476187,3.809523809523813,历史1/1次成功; 当前距低点3.81%; 最新日涨幅-1.91%; 状态confirmed_rebound; 底部已确认
