rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.50713615149179,81.93018271981694,002837,英维克,bottom_area,2024-05-30,24.13,2024-05-27,23.85,1.1740041928721072,4.402515723270428,28.335336538461537,False,-1.066,0.7751,3,3,3,100.0,18.639313330996423,24.517374517374524,6.825995807127894,1.1740041928721072,历史3/3次成功; 当前距低点1.17%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
2,85.64428110502485,81.52891202328189,605303,园林股份,confirmed_rebound,2024-05-30,7.75,2024-05-28,7.64,1.4397905759162346,8.376963350785337,29.19369786839666,False,-1.7744,5.8881,4,4,4,100.0,13.28835772242428,23.681489141675293,6.560209424083766,1.4397905759162346,历史4/4次成功; 当前距低点1.44%; 最新日涨幅-1.77%; 状态confirmed_rebound; 底部未确认
3,82.80670354057284,82.02408838533661,300598,诚迈科技,bottom_area,2024-05-30,28.34,2024-05-29,27.38,3.5062089116143205,5.441928414901395,31.240582621798097,False,0.3541,2.0842,3,3,3,100.0,25.25938012804982,43.96339317141851,4.49379108838568,3.5062089116143205,历史3/3次成功; 当前距低点3.51%; 最新日涨幅0.35%; 状态bottom_area; 底部未确认
4,82.6422350869792,81.86117434097359,300542,新晨科技,bottom_area,2024-05-30,14.17,2024-05-30,13.69,3.5062089116143205,7.085463842220604,27.489406779661014,False,-0.0705,11.136,4,4,4,100.0,30.189949782012032,61.233480176211465,4.49379108838568,3.5062089116143205,历史4/4次成功; 当前距低点3.51%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
5,79.47577085896079,74.45776851992123,600227,赤天化,bottom_area,2024-05-30,1.65,2024-05-30,1.64,0.6097560975609762,3.658536585365857,29.613733905579405,False,-1.1976,1.4878,1,1,1,100.0,44.72049689440993,44.72049689440993,7.390243902439024,0.6097560975609762,历史1/1次成功; 当前距低点0.61%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
6,78.40626396622035,72.82776440037632,605108,同庆楼,bottom_area,2024-05-30,24.46,2024-05-30,24.42,0.1638001638001603,1.7608517608517595,29.523809523809515,False,-1.2914,0.494,2,2,2,100.0,13.82381061204675,17.52165223184544,7.836199836199839,0.1638001638001603,历史2/2次成功; 当前距低点0.16%; 最新日涨幅-1.29%; 状态bottom_area; 底部未确认
7,77.78212296318898,76.81186779109099,002031,巨轮智能,confirmed_rebound,2024-05-30,2.47,2024-05-29,2.39,3.347280334728036,10.041841004184091,31.71428571428571,True,0.8163,5.7647,2,2,2,100.0,12.976704055220017,15.789473684210522,4.652719665271964,3.347280334728036,历史2/2次成功; 当前距低点3.35%; 最新日涨幅0.82%; 状态confirmed_rebound; 底部已确认
8,76.71814218412247,72.28386727674206,000518,四环生物,bottom_area,2024-05-30,2.23,2024-05-30,2.21,0.9049773755656116,4.072398190045242,28.246753246753247,False,-3.4632,2.0602,3,3,3,100.0,13.53341770447127,17.834394904458602,7.095022624434389,0.9049773755656116,历史3/3次成功; 当前距低点0.90%; 最新日涨幅-3.46%; 状态bottom_area; 底部未确认
9,76.18892294604005,74.20998988250653,688238,和元生物,bottom_area,2024-05-30,5.46,2024-05-27,5.32,2.631578947368415,4.887218045112777,27.421555252387446,False,-1.087,1.0414,2,2,2,100.0,11.666612271540478,11.958224543080954,5.368421052631585,2.631578947368415,历史2/2次成功; 当前距低点2.63%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
10,75.52872150571127,75.24067363361134,688331,荣昌生物,confirmed_rebound,2024-05-30,44.51,2024-05-27,42.88,3.801305970149243,10.774253731343277,27.00034048348655,True,0.6331,1.1112,1,1,1,100.0,26.761565836298917,26.761565836298917,4.198694029850757,3.801305970149243,历史1/1次成功; 当前距低点3.80%; 最新日涨幅0.63%; 状态confirmed_rebound; 底部已确认
11,75.24510340822425,70.92243697478993,300641,正丹股份,confirmed_rebound,2024-05-30,24.02,2024-05-30,23.8,0.9243697478991548,8.991596638655466,30.6930693069307,False,-6.7908,13.1025,1,1,1,100.0,50.22522522522521,50.22522522522521,7.075630252100845,0.9243697478991548,历史1/1次成功; 当前距低点0.92%; 最新日涨幅-6.79%; 状态confirmed_rebound; 底部未确认
