rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
31,64.61096202783774,55.80184840800223,605218,伟时电子,bottom_area,2024-04-15,17.23,2024-04-15,16.9,1.952662721893502,10.355029585798817,27.467811158798295,False,-7.6139,3.6176,1,3,1,33.33333333333333,42.36874236874236,42.36874236874236,18.047337278106497,1.952662721893502,历史1/3次成功; 当前距低点1.95%; 最新日涨幅-7.61%; 状态bottom_area; 底部未确认
32,64.47094422687721,55.17926362752894,000890,法尔胜,bottom_area,2024-04-15,3.48,2024-04-15,3.43,1.4577259475218607,13.119533527696783,28.54166666666666,False,-8.6614,7.1759,1,3,1,33.33333333333333,32.954545454545446,32.954545454545446,18.54227405247814,1.4577259475218607,历史1/3次成功; 当前距低点1.46%; 最新日涨幅-8.66%; 状态bottom_area; 底部未确认
33,64.43315664191088,55.80938142439462,002173,创新医疗,bottom_area,2024-04-15,7.74,2024-04-15,7.58,2.110817941952509,11.081794195250657,27.740705433746427,False,-8.076,5.8737,1,2,1,50.0,24.903474903474905,24.903474903474905,17.889182058047492,2.110817941952509,历史1/2次成功; 当前距低点2.11%; 最新日涨幅-8.08%; 状态bottom_area; 底部未确认
34,64.38854724135743,55.6377547471461,002712,思美传媒,bottom_area,2024-04-15,4.12,2024-04-15,4.04,1.980198019801982,9.15841584158416,30.940170940170937,False,-6.7873,5.4481,1,2,1,50.0,22.379603399433442,22.379603399433442,18.019801980198018,1.980198019801982,历史1/2次成功; 当前距低点1.98%; 最新日涨幅-6.79%; 状态bottom_area; 底部未确认
35,64.10922877123181,55.95087463697358,000980,众泰汽车,bottom_area,2024-04-15,2.03,2024-04-15,1.98,2.525252525252516,6.060606060606066,30.28169014084507,False,-4.2453,2.2142,2,6,2,33.33333333333333,33.52213473772031,43.49775784753364,17.474747474747485,2.525252525252516,历史2/6次成功; 当前距低点2.53%; 最新日涨幅-4.25%; 状态bottom_area; 底部未确认
36,62.33385669884188,53.572782822841305,002309,中利集团,bottom_area,2024-04-15,1.81,2024-04-11,1.78,1.6853932584269677,7.303370786516848,28.799999999999997,True,-5.2356,0.2046,1,5,1,20.0,30.136986301369873,30.136986301369873,18.314606741573034,1.6853932584269677,历史1/5次成功; 当前距低点1.69%; 最新日涨幅-5.24%; 状态bottom_area; 底部已确认
37,62.18192769735852,55.51238198516614,600198,大唐电信,bottom_area,2024-04-15,5.51,2024-04-15,5.31,3.766478342749533,7.344632768361594,29.010695187165787,False,-3.6713,1.8456,1,2,1,50.0,43.60189573459716,43.60189573459716,16.233521657250467,3.766478342749533,历史1/2次成功; 当前距低点3.77%; 最新日涨幅-3.67%; 状态bottom_area; 底部未确认
38,61.75862074868267,53.96537088178878,605398,新炬网络,bottom_area,2024-04-15,20.58,2024-04-15,20.06,2.592223330009968,9.47158524426721,31.277834874957183,False,-5.6829,1.5517,1,2,1,50.0,20.890538033395174,20.890538033395174,17.40777666999003,2.592223330009968,历史1/2次成功; 当前距低点2.59%; 最新日涨幅-5.68%; 状态bottom_area; 底部未确认
39,61.492351359440875,53.93697713097715,300423,昇辉科技,bottom_area,2024-04-15,5.14,2024-04-15,5.0,2.7999999999999936,13.000000000000005,29.971988795518207,False,-8.2143,5.6489,1,2,1,50.0,23.28482328482329,23.28482328482329,17.200000000000006,2.7999999999999936,历史1/2次成功; 当前距低点2.80%; 最新日涨幅-8.21%; 状态bottom_area; 底部未确认
40,61.048493549768295,52.46116165214529,002735,王子新材,bottom_area,2024-04-15,10.3,2024-04-15,10.13,1.6781836130306014,7.699901283316874,28.10503903477643,False,-4.6296,7.3242,1,3,1,33.33333333333333,21.043478260869563,21.043478260869563,18.3218163869694,1.6781836130306014,历史1/3次成功; 当前距低点1.68%; 最新日涨幅-4.63%; 状态bottom_area; 底部未确认
