rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.8325938669158,84.38380882646163,000928,中钢国际,bottom_area,2023-12-01,6.12,2023-10-23,5.97,2.5125628140703578,7.705192629815745,31.06235565819862,True,1.3245,1.6605,3,3,3,100.0,16.57232280936585,18.798449612403097,5.487437185929642,2.5125628140703578,历史3/3次成功; 当前距低点2.51%; 最新日涨幅1.32%; 状态bottom_area; 底部已确认
2,83.79498458181565,83.74928238133472,002137,实益达,bottom_area,2023-12-01,7.33,2023-11-30,7.05,3.9716312056737624,4.539007092198586,27.31958762886598,False,2.2315,14.3112,3,3,3,100.0,40.23979317349941,89.3034825870647,4.028368794326238,3.9716312056737624,历史3/3次成功; 当前距低点3.97%; 最新日涨幅2.23%; 状态bottom_area; 底部未确认
3,83.1252253084836,78.55671531386066,688303,大全能源,bottom_area,2023-12-01,30.47,2023-12-01,30.15,1.0613598673300175,2.05638474295191,28.92503536067893,False,-1.0393,1.0991,1,1,1,100.0,32.45492371705965,32.45492371705965,6.938640132669982,1.0613598673300175,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-1.04%; 状态bottom_area; 底部未确认
4,79.81024241567637,77.14508445128241,002331,皖通科技,bottom_area,2023-12-01,9.61,2023-12-01,9.4,2.2340425531914794,6.063829787234045,30.111524163568763,False,-3.0272,25.4076,3,3,3,100.0,16.12205092773645,21.247892074199,5.765957446808521,2.2340425531914794,历史3/3次成功; 当前距低点2.23%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
5,79.11048886836272,74.510467058176,600048,保利发展,bottom_area,2023-12-01,10.25,2023-12-01,10.16,0.885826771653542,1.4763779527559089,31.766286098052387,False,-0.0975,0.4742,2,2,2,100.0,31.721247836269217,31.987577639751546,7.114173228346458,0.885826771653542,历史2/2次成功; 当前距低点0.89%; 最新日涨幅-0.10%; 状态bottom_area; 底部未确认
6,78.89571068517772,78.2128371828704,600328,中盐化工,confirmed_rebound,2023-12-01,7.88,2023-10-26,7.61,3.547963206307484,8.147174770039422,28.207547169811313,True,0.5102,0.6061,2,2,2,100.0,22.968781146513187,37.26315789473683,4.452036793692516,3.547963206307484,历史2/2次成功; 当前距低点3.55%; 最新日涨幅0.51%; 状态confirmed_rebound; 底部已确认
7,75.73701710318775,74.4541851283176,301448,开创电气,bottom_area,2023-12-01,38.77,2023-12-01,37.6,3.111702127659579,3.5638297872340323,30.614504521129355,False,0.9635,12.7938,1,1,1,100.0,13.058419243986243,13.058419243986243,4.888297872340421,3.111702127659579,历史1/1次成功; 当前距低点3.11%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
8,74.97950838607217,69.93919194448914,688282,理工导航,bottom_area,2023-12-01,39.33,2023-12-01,39.18,0.3828483920367498,2.194997447677385,29.379956741167984,False,-2.2614,7.418,1,1,1,100.0,17.645625152327572,17.645625152327572,7.61715160796325,0.3828483920367498,历史1/1次成功; 当前距低点0.38%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
9,74.70019160314715,75.17131134243614,300637,扬帆新材,bottom_area,2023-12-01,10.85,2023-11-30,10.4,4.3269230769230695,5.288461538461528,27.221833449965004,False,2.4551,7.3254,1,1,1,100.0,31.810193321616865,31.810193321616865,3.6730769230769305,4.3269230769230695,历史1/1次成功; 当前距低点4.33%; 最新日涨幅2.46%; 状态bottom_area; 底部未确认
10,74.6205002808018,72.08729192376254,002508,老板电器,bottom_area,2023-12-01,22.72,2023-12-01,22.23,2.2042285200179865,4.27350427350427,28.174474959612272,False,-2.1954,1.6748,1,1,1,100.0,11.682435211846977,11.682435211846977,5.7957714799820135,2.2042285200179865,历史1/1次成功; 当前距低点2.20%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
11,74.09078289063075,74.84512748258119,605086,龙高股份,bottom_area,2023-12-01,27.94,2023-11-30,26.73,4.526748971193419,5.2375607931163435,32.889781571679634,False,2.0453,9.387,2,2,2,100.0,15.839328693022429,17.79249448123621,3.4732510288065814,4.526748971193419,历史2/2次成功; 当前距低点4.53%; 最新日涨幅2.05%; 状态bottom_area; 底部未确认
12,70.3331545664305,71.35871384221157,300683,海特生物,bottom_area,2023-12-01,38.13,2023-11-27,36.4,4.752747252747263,5.41208791208791,29.51200619674671,False,0.8197,1.6983,1,1,1,100.0,16.532137518684582,16.532137518684582,3.2472527472527366,4.752747252747263,历史1/1次成功; 当前距低点4.75%; 最新日涨幅0.82%; 状态bottom_area; 底部未确认
13,67.34570274040098,68.1381463811331,000966,长源电力,confirmed_rebound,2023-12-01,4.54,2023-10-24,4.34,4.60829493087558,9.907834101382482,27.424749163879607,True,-0.2198,0.608,1,1,1,100.0,20.94117647058823,20.94117647058823,3.39170506912442,4.60829493087558,历史1/1次成功; 当前距低点4.61%; 最新日涨幅-0.22%; 状态confirmed_rebound; 底部已确认
14,66.9306306078308,64.2104022287318,300337,银邦股份,bottom_area,2023-12-01,8.29,2023-11-30,8.14,1.842751842751825,3.8083538083537927,32.11009174311926,False,0.3632,2.9234,1,2,1,50.0,34.09610983981694,34.09610983981694,6.157248157248175,1.842751842751825,历史1/2次成功; 当前距低点1.84%; 最新日涨幅0.36%; 状态bottom_area; 底部未确认
