rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.07045624255962,84.06066863492573,301421,波长光电,bottom_area,2024-08-29,31.05,2024-08-28,29.74,4.40484196368528,5.2790854068594495,31.045675863667988,False,2.9851,11.2332,3,3,3,100.0,47.22423823724819,56.02000000000002,15.595158036314722,4.40484196368528,历史3/3次成功; 当前距低点4.40%; 最新日涨幅2.99%; 状态bottom_area; 底部未确认
2,91.69193845838215,80.46316680707014,001218,丽臣实业,bottom_area,2024-08-29,13.83,2024-08-26,13.45,2.825278810408928,3.2713754646840245,32.07070707070708,False,0.5818,0.7504,2,2,2,100.0,25.18711018711019,29.999999999999993,17.174721189591075,2.825278810408928,历史2/2次成功; 当前距低点2.83%; 最新日涨幅0.58%; 状态bottom_area; 底部未确认
3,90.8598108222201,80.61073203492278,603004,鼎龙科技,bottom_area,2024-08-29,15.4,2024-08-28,14.89,3.425117528542645,3.6265950302216194,27.1882640586797,False,2.122,2.7147,1,1,1,100.0,55.7168784029038,55.7168784029038,16.574882471457357,3.425117528542645,历史1/1次成功; 当前距低点3.43%; 最新日涨幅2.12%; 状态bottom_area; 底部未确认
4,90.35074712675669,79.4794236605443,002219,新里程,bottom_area,2024-08-29,1.74,2024-08-23,1.69,2.9585798816568074,7.6923076923077,29.288702928870297,True,-0.5714,0.775,2,2,2,100.0,34.81175156302061,45.685279187817265,17.041420118343193,2.9585798816568074,历史2/2次成功; 当前距低点2.96%; 最新日涨幅-0.57%; 状态bottom_area; 底部已确认
5,89.76939073460106,76.42291115040865,600011,华能国际,bottom_area,2024-08-29,6.94,2024-08-27,6.86,1.1661807580174937,3.6443148688046643,30.707070707070706,False,-1.4205,0.505,1,1,1,100.0,22.267759562841515,22.267759562841515,18.833819241982507,1.1661807580174937,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-1.42%; 状态bottom_area; 底部未确认
6,86.25781621621617,76.77746799431007,002674,兴业科技,bottom_area,2024-08-29,8.05,2024-08-21,7.77,3.6036036036036183,6.30630630630631,31.72231985940247,False,0.2491,0.3966,1,1,1,100.0,31.578947368421055,31.578947368421055,16.396396396396383,3.6036036036036183,历史1/1次成功; 当前距低点3.60%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
7,85.87529923242143,77.87433255269318,000628,高新发展,bottom_area,2024-08-29,35.74,2024-08-28,34.16,4.625292740046855,5.591334894613595,27.31914893617022,False,0.875,5.3552,1,1,1,100.0,99.77973568281939,99.77973568281939,15.374707259953146,4.625292740046855,历史1/1次成功; 当前距低点4.63%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
8,83.69115853959468,74.6970267475435,603079,圣达生物,bottom_area,2024-08-29,10.78,2024-08-26,10.39,3.7536092396535015,4.523580365736274,28.83561643835616,False,1.1257,1.4153,1,1,1,100.0,22.232558139534888,22.232558139534888,16.2463907603465,3.7536092396535015,历史1/1次成功; 当前距低点3.75%; 最新日涨幅1.13%; 状态bottom_area; 底部未确认
9,79.98030351990691,69.07630449601488,002357,富临运业,bottom_area,2024-08-29,5.22,2024-08-29,5.12,1.9531249999999931,2.343750000000002,28.08988764044944,False,0.3846,2.4511,2,4,2,50.0,28.276502666746573,31.941031941031934,18.046875000000007,1.9531249999999931,历史2/4次成功; 当前距低点1.95%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
10,79.15058905890595,70.05636363636367,000957,中通客车,bottom_area,2024-08-29,9.09,2024-08-29,8.8,3.2954545454545356,3.8636363636363615,31.25,False,2.1348,3.7621,2,4,2,50.0,190.25905745148648,354.54545454545456,16.704545454545467,3.2954545454545356,历史2/4次成功; 当前距低点3.30%; 最新日涨幅2.13%; 状态bottom_area; 底部未确认
11,70.76481754055014,63.53572153754274,000983,山西焦煤,bottom_area,2024-08-29,7.91,2024-08-26,7.6,4.078947368421059,5.000000000000011,29.95391705069125,False,1.671,0.4981,2,4,2,50.0,24.546889986789015,27.212389380530986,15.921052631578942,4.078947368421059,历史2/4次成功; 当前距低点4.08%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
12,70.74230102641788,61.60144190502681,002682,龙洲股份,bottom_area,2024-08-29,3.41,2024-08-28,3.33,2.4024024024024047,3.3033033033032995,30.76923076923076,False,0.59,1.9134,1,2,1,50.0,26.929674099485425,26.929674099485425,17.5975975975976,2.4024024024024047,历史1/2次成功; 当前距低点2.40%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
13,69.98154992995795,59.549239543726216,002110,三钢闽光,bottom_area,2024-08-29,2.66,2024-08-29,2.63,1.1406844106463974,1.5209125475285186,30.0531914893617,False,-0.3745,0.2551,1,2,1,50.0,22.90322580645161,22.90322580645161,18.859315589353603,1.1406844106463974,历史1/2次成功; 当前距低点1.14%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
14,69.88000034112393,60.88212756575063,603069,海汽集团,bottom_area,2024-08-29,15.17,2024-08-29,14.81,2.4307900067521904,2.5658338960161986,27.966926070038905,False,-0.5898,1.2634,2,6,2,33.33333333333333,48.661265848453205,76.0375880971026,17.56920999324781,2.4307900067521904,历史2/6次成功; 当前距低点2.43%; 最新日涨幅-0.59%; 状态bottom_area; 底部未确认
15,69.83926588165258,61.506372616324256,600183,生益科技,bottom_area,2024-08-29,17.39,2024-08-29,16.88,3.0213270142180186,4.146919431279617,29.519832985386223,False,-1.7514,1.1146,2,4,2,50.0,23.14515165989969,25.158227848101262,16.978672985781984,3.0213270142180186,历史2/4次成功; 当前距低点3.02%; 最新日涨幅-1.75%; 状态bottom_area; 底部未确认
16,69.29909544589138,61.226358713247194,603282,亚光股份,bottom_area,2024-08-29,12.59,2024-08-26,12.2,3.1967213114754145,3.4426229508196715,27.164179104477615,False,1.9433,1.8617,1,2,1,50.0,34.64991023339317,34.64991023339317,16.803278688524586,3.1967213114754145,历史1/2次成功; 当前距低点3.20%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
17,68.77586127688231,59.96411352980709,000037,深南电A,bottom_area,2024-08-29,7.05,2024-08-28,6.88,2.470930232558138,2.6162790697674376,28.92561983471074,False,0.7143,1.1056,2,8,2,25.0,39.8001852690304,45.16765285996055,17.52906976744186,2.470930232558138,历史2/8次成功; 当前距低点2.47%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
