rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.56243336305582,83.90808903401081,688347,华虹公司,bottom_area,2025-09-10,68.3,2025-09-10,67.19,1.6520315523143319,3.4380116088703714,28.46039182282794,False,1.4859,4.7422,1,1,1,100.0,45.99312351229833,45.99312351229833,13.347968447685668,1.6520315523143319,历史1/1次成功; 当前距低点1.65%; 最新日涨幅1.49%; 状态bottom_area; 底部未确认
2,90.77536552704852,82.74293590321349,002212,天融信,bottom_area,2025-09-10,9.75,2025-09-04,9.51,2.5236593059936934,8.201892744479489,30.17621145374449,True,0.2055,5.1724,2,2,2,100.0,24.553113553113555,30.95238095238096,12.476340694006307,2.5236593059936934,历史2/2次成功; 当前距低点2.52%; 最新日涨幅0.21%; 状态bottom_area; 底部已确认
3,90.37531854797625,81.05528131530444,300645,正元智慧,bottom_area,2025-09-10,18.42,2025-09-05,18.12,1.6556291390728517,4.74613686534216,27.3164861612515,False,0.8762,3.7147,1,1,1,100.0,30.699547055863096,30.699547055863096,13.34437086092715,1.6556291390728517,历史1/1次成功; 当前距低点1.66%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
4,88.88884837023112,79.29985376827284,302132,中航成飞,bottom_area,2025-09-10,80.59,2025-09-09,79.5,1.3710691823899415,3.3459119496855303,27.595628415300546,False,1.3711,2.3726,3,4,3,75.0,21.94027690388128,28.81165919282512,13.628930817610058,1.3710691823899415,历史3/4次成功; 当前距低点1.37%; 最新日涨幅1.37%; 状态bottom_area; 底部未确认
5,88.29495692766743,77.99205258282862,002041,登海种业,bottom_area,2025-09-10,9.61,2025-06-23,9.53,0.8394543546694656,7.345225603357829,29.719764011799416,True,0.0,0.735,2,2,2,100.0,18.2043468358871,21.395106715252467,14.160545645330533,0.8394543546694656,历史2/2次成功; 当前距低点0.84%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
6,88.0867663975328,82.5678289205319,603221,爱丽家居,bottom_area,2025-09-10,12.41,2025-09-02,11.93,4.023470243084664,5.616093880972338,32.2159090909091,False,0.2423,1.4928,4,4,4,100.0,17.856672444972688,20.699708454810505,10.976529756915335,4.023470243084664,历史4/4次成功; 当前距低点4.02%; 最新日涨幅0.24%; 状态bottom_area; 底部未确认
7,86.97134458996047,78.96537313432835,301009,可靠股份,bottom_area,2025-09-10,13.71,2025-09-05,13.4,2.3134328358208993,5.522388059701494,27.762803234501348,False,-1.3669,3.4276,1,1,1,100.0,53.96648044692738,53.96648044692738,12.686567164179099,2.3134328358208993,历史1/1次成功; 当前距低点2.31%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
8,86.62357054161808,78.70573272943733,300192,科德教育,bottom_area,2025-09-10,19.15,2025-09-09,18.71,2.3516835916622005,5.184393372528054,32.649388048956084,False,2.1878,7.3446,1,1,1,100.0,26.599845797995382,26.599845797995382,12.648316408337799,2.3516835916622005,历史1/1次成功; 当前距低点2.35%; 最新日涨幅2.19%; 状态bottom_area; 底部未确认
9,85.45753203030125,77.65487770183945,688552,航天南湖,bottom_area,2025-09-10,33.43,2025-09-04,32.66,2.3576240048989687,9.920391916717705,28.860814637333913,False,1.4568,4.3248,1,1,1,100.0,21.02290555381236,21.02290555381236,12.64237599510103,2.3576240048989687,历史1/1次成功; 当前距低点2.36%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
10,85.3663484171645,80.50868172899112,688448,磁谷科技,bottom_area,2025-09-10,45.08,2025-09-09,43.2,4.3518518518518405,8.611111111111109,32.35202004384591,False,3.537,6.4618,2,2,2,100.0,44.14464489899632,63.23529411764706,10.64814814814816,4.3518518518518405,历史2/2次成功; 当前距低点4.35%; 最新日涨幅3.54%; 状态bottom_area; 底部未确认
11,82.3865332776571,73.31426590875787,688221,前沿生物,bottom_area,2025-09-10,14.74,2025-09-09,14.56,1.2362637362637343,6.593406593406587,28.90625,False,0.2721,3.1443,4,7,4,57.14285714285714,26.797719348751457,34.87394957983194,13.763736263736265,1.2362637362637343,历史4/7次成功; 当前距低点1.24%; 最新日涨幅0.27%; 状态bottom_area; 底部未确认
12,81.11531308030027,75.04045055747194,000561,烽火电子,bottom_area,2025-09-10,11.21,2025-09-04,10.85,3.317972350230426,6.267281105990781,32.60869565217392,False,1.448,2.2981,3,4,3,75.0,22.905524279555433,31.050955414012744,11.682027649769573,3.317972350230426,历史3/4次成功; 当前距低点3.32%; 最新日涨幅1.45%; 状态bottom_area; 底部未确认
13,78.89008182522805,73.75481656006468,603109,神驰机电,bottom_area,2025-09-10,31.03,2025-09-04,29.87,3.8834951456310685,8.77134248409776,27.79792119893642,True,-1.3355,2.3299,4,5,4,80.0,25.37196501130927,33.71428571428571,11.11650485436893,3.8834951456310685,历史4/5次成功; 当前距低点3.88%; 最新日涨幅-1.34%; 状态bottom_area; 底部已确认
14,78.8140955361526,72.6976317691427,300510,金冠股份,bottom_area,2025-09-10,4.57,2025-09-03,4.43,3.160270880361187,6.997742663656896,30.01579778830964,False,-0.8677,3.8915,3,4,3,75.0,30.849727829925854,40.000000000000014,11.839729119638811,3.160270880361187,历史3/4次成功; 当前距低点3.16%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
15,77.41700859378729,73.27879745878082,600967,内蒙一机,bottom_area,2025-09-10,18.85,2025-09-05,18.03,4.547975596228509,13.033832501386566,31.39269406392694,True,0.0531,2.4256,1,1,1,100.0,15.151515151515143,15.151515151515143,10.45202440377149,4.547975596228509,历史1/1次成功; 当前距低点4.55%; 最新日涨幅0.05%; 状态bottom_area; 底部已确认
16,76.79371736925825,69.30051221989427,002265,建设工业,bottom_area,2025-09-10,29.78,2025-09-09,29.2,1.98630136986302,4.17808219178083,28.780487804878053,False,1.2925,4.523,3,6,3,50.0,29.888598619257817,41.46981627296587,13.01369863013698,1.98630136986302,历史3/6次成功; 当前距低点1.99%; 最新日涨幅1.29%; 状态bottom_area; 底部未确认
17,74.78589568385527,66.35565736395117,002256,兆新股份,bottom_area,2025-09-10,2.81,2025-09-10,2.78,1.079136690647491,2.517985611510802,30.32581453634086,False,-0.3546,6.6587,4,8,4,50.0,25.4090807453089,31.775700934579426,13.920863309352507,1.079136690647491,历史4/8次成功; 当前距低点1.08%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
18,72.36081686094788,66.18995881812101,605169,洪通燃气,bottom_area,2025-09-10,14.77,2025-09-05,14.38,2.71210013908205,4.033379694019472,31.064237775647165,False,0.6131,1.3206,2,4,2,50.0,22.06208137219406,26.09375,12.28789986091795,2.71210013908205,历史2/4次成功; 当前距低点2.71%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
19,70.86942281574335,64.14498052917632,002298,中电鑫龙,bottom_area,2025-09-10,9.52,2025-09-05,9.32,2.145922746781108,6.330472103004291,27.187500000000004,False,1.169,6.4727,3,7,3,42.857142857142854,19.60352591617565,23.734729493891784,12.85407725321889,2.145922746781108,历史3/7次成功; 当前距低点2.15%; 最新日涨幅1.17%; 状态bottom_area; 底部未确认
20,69.61600078993875,65.60602615951932,002148,北纬科技,bottom_area,2025-09-10,10.16,2025-09-05,9.74,4.312114989733059,6.468172484599578,32.31410701876303,False,1.6,5.4695,2,3,2,66.66666666666666,19.09129929808615,19.756097560975626,10.687885010266939,4.312114989733059,历史2/3次成功; 当前距低点4.31%; 最新日涨幅1.60%; 状态bottom_area; 底部未确认
21,69.38952032934695,63.21421446384041,001339,智微智能,bottom_area,2025-09-10,57.54,2025-09-04,56.14,2.49376558603491,8.407552547203418,27.373868046571793,True,-0.2427,3.7197,1,2,1,50.0,58.06629834254142,58.06629834254142,12.506234413965089,2.49376558603491,历史1/2次成功; 当前距低点2.49%; 最新日涨幅-0.24%; 状态bottom_area; 底部已确认
22,67.11675886096822,63.88802524852522,002232,启明信息,bottom_area,2025-09-10,21.4,2025-09-05,20.41,4.850563449289556,7.202351788339044,27.521306818181817,False,1.0387,4.1736,2,3,2,66.66666666666666,16.455071216337316,17.044757817290016,10.149436550710444,4.850563449289556,历史2/3次成功; 当前距低点4.85%; 最新日涨幅1.04%; 状态bottom_area; 底部未确认
23,64.18590651299418,58.06545867355124,300902,国安达,bottom_area,2025-09-10,22.66,2025-09-04,22.19,2.1180712032446998,4.551599819738612,32.798304058146584,False,-0.9182,3.7276,1,2,1,50.0,26.906779661016937,26.906779661016937,12.881928796755298,2.1180712032446998,历史1/2次成功; 当前距低点2.12%; 最新日涨幅-0.92%; 状态bottom_area; 底部未确认
24,63.86709440383764,60.161060425077295,300378,鼎捷数智,bottom_area,2025-09-10,49.13,2025-09-04,47.11,4.287836977287207,8.151135639991516,27.52307692307692,True,1.0697,4.4254,2,5,2,40.0,21.437251254258786,26.480086114101198,10.712163022712792,4.287836977287207,历史2/5次成功; 当前距低点4.29%; 最新日涨幅1.07%; 状态bottom_area; 底部已确认
25,62.92831377999507,59.14806043108825,688682,霍莱沃,bottom_area,2025-09-10,29.22,2025-09-04,28.05,4.1711229946524,7.522281639928696,27.687548337200308,True,0.8282,1.8376,1,2,1,50.0,26.22699386503069,26.22699386503069,10.8288770053476,4.1711229946524,历史1/2次成功; 当前距低点4.17%; 最新日涨幅0.83%; 状态bottom_area; 底部已确认
26,60.92315308101967,57.026470912560946,300870,欧陆通,bottom_area,2025-09-10,210.08,2025-09-09,202.1,3.9485403265710137,6.704601682335483,28.30791060659808,False,3.2334,6.4949,1,2,1,50.0,21.28571428571428,21.28571428571428,11.051459673428985,3.9485403265710137,历史1/2次成功; 当前距低点3.95%; 最新日涨幅3.23%; 状态bottom_area; 底部未确认
27,59.39790962098597,55.79523703122167,002229,鸿博股份,bottom_area,2025-09-10,18.12,2025-09-04,17.4,4.137931034482773,8.2183908045977,27.500000000000007,False,1.9123,6.7478,1,2,1,50.0,16.987740805604197,16.987740805604197,10.862068965517228,4.137931034482773,历史1/2次成功; 当前距低点4.14%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
28,58.91724020471276,51.91835272593403,601669,中国电建,bottom_area,2025-09-10,5.66,2025-09-10,5.62,0.7117437722419936,1.2455516014234926,28.31632653061224,False,-0.1764,1.2495,1,2,1,50.0,16.457680250783696,16.457680250783696,14.288256227758007,0.7117437722419936,历史1/2次成功; 当前距低点0.71%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
29,55.051973961726354,51.34060493059873,688152,麒麟信安,bottom_area,2025-09-10,49.8,2025-09-04,48.0,3.7499999999999942,8.958333333333329,29.046563192904664,True,-0.994,3.7996,1,3,1,33.33333333333333,21.006836544437533,21.006836544437533,11.250000000000004,3.7499999999999942,历史1/3次成功; 当前距低点3.75%; 最新日涨幅-0.99%; 状态bottom_area; 底部已确认
