rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.84377091592317,79.67318119394028,688039,当虹科技,bottom_area,2025-10-16,52.0,2025-10-15,51.18,1.6021883548261044,3.7514654161781977,27.885021840214176,False,-1.6827,3.1703,1,1,1,100.0,45.086938940558035,45.086938940558035,18.3978116451739,1.6021883548261044,历史1/1次成功; 当前距低点1.60%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
2,88.93137392373109,77.0795829034753,605298,必得科技,bottom_area,2025-10-16,39.49,2025-10-13,38.66,2.146921883083304,7.682359027418537,28.007448789571704,True,-2.2767,1.2537,1,1,1,100.0,28.626692456479695,28.626692456479695,17.8530781169167,2.146921883083304,历史1/1次成功; 当前距低点2.15%; 最新日涨幅-2.28%; 状态bottom_area; 底部已确认
3,86.1451297068405,76.65456456964621,002269,美邦服饰,bottom_area,2025-10-16,2.31,2025-10-13,2.23,3.587443946188344,8.520179372197308,30.529595015576323,True,-2.9412,4.2411,2,2,2,100.0,27.33299337072922,31.08108108108108,16.412556053811656,3.587443946188344,历史2/2次成功; 当前距低点3.59%; 最新日涨幅-2.94%; 状态bottom_area; 底部已确认
4,85.77294532153266,73.76573149741823,600376,首开股份,bottom_area,2025-10-16,5.91,2025-10-16,5.81,1.7211703958692002,5.163511187607585,27.375000000000004,False,-3.2733,5.9725,1,1,1,100.0,24.99999999999999,24.99999999999999,18.2788296041308,1.7211703958692002,历史1/1次成功; 当前距低点1.72%; 最新日涨幅-3.27%; 状态bottom_area; 底部未确认
5,82.52772251362397,72.76257670532105,300056,中创环保,bottom_area,2025-10-16,10.7,2025-10-15,10.38,3.082851637764918,8.188824662813097,29.001367989056074,True,-4.0359,3.7867,1,1,1,100.0,27.10472279260781,27.10472279260781,16.917148362235082,3.082851637764918,历史1/1次成功; 当前距低点3.08%; 最新日涨幅-4.04%; 状态bottom_area; 底部已确认
6,81.71419534883721,68.09516279069767,301209,联合化学,bottom_area,2025-10-16,91.62,2025-10-16,91.62,0.0,17.878192534381135,30.4855842185129,False,-19.9965,15.3953,1,1,1,100.0,25.51162790697674,25.51162790697674,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-20.00%; 状态bottom_area; 底部未确认
7,80.69346023709078,72.87140345253471,300732,设研院,bottom_area,2025-10-16,8.31,2025-10-13,7.96,4.396984924623122,7.663316582914577,28.673835125448026,True,-1.5403,2.1194,1,1,1,100.0,33.58348968105066,33.58348968105066,15.60301507537688,4.396984924623122,历史1/1次成功; 当前距低点4.40%; 最新日涨幅-1.54%; 状态bottom_area; 底部已确认
8,76.71325108395354,69.71887374970859,300049,福瑞医科,bottom_area,2025-10-16,68.2,2025-10-13,65.11,4.745814774996165,8.692981108892637,28.19805910895457,True,-0.4234,2.5089,1,1,1,100.0,20.910384068278802,20.910384068278802,15.254185225003836,4.745814774996165,历史1/1次成功; 当前距低点4.75%; 最新日涨幅-0.42%; 状态bottom_area; 底部已确认
9,67.61630593865381,58.27381116301944,600706,曲江文旅,bottom_area,2025-10-16,9.98,2025-10-13,9.8,1.8367346938775482,4.59183673469387,31.420573827851634,False,-2.2527,4.8812,1,2,1,50.0,24.578313253012034,24.578313253012034,18.163265306122454,1.8367346938775482,历史1/2次成功; 当前距低点1.84%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
10,62.0332018733808,52.46088777023895,300757,罗博特科,bottom_area,2025-10-16,219.57,2025-10-15,217.82,0.8034156643099807,4.021669268203112,28.031454437322417,False,-1.947,2.8599,1,2,1,50.0,20.498255294976875,20.498255294976875,19.19658433569002,0.8034156643099807,历史1/2次成功; 当前距低点0.80%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
11,59.14418656074465,53.30736723672365,600232,金鹰股份,bottom_area,2025-10-16,6.32,2025-10-13,6.06,4.290429042904302,6.930693069306945,28.28402366863905,False,-1.8634,2.0207,1,2,1,50.0,27.954545454545443,27.954545454545443,15.709570957095698,4.290429042904302,历史1/2次成功; 当前距低点4.29%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
