rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.1573257618796,84.65108531993425,300563,神宇股份,bottom_area,2025-11-19,36.3,2025-11-19,35.9,1.1142061281337008,4.6518105849582225,30.29126213592233,False,-2.9152,3.9997,4,4,4,100.0,15.86814673160799,20.477137176938378,8.8857938718663,1.1142061281337008,历史4/4次成功; 当前距低点1.11%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
2,87.66086359685303,81.47063748321055,002338,奥普光电,bottom_area,2025-11-19,50.71,2025-11-18,50.13,1.1569918212647083,2.533413125872723,28.742004264392314,False,-0.2165,1.4111,3,3,3,100.0,15.960101267172554,20.995288574793882,8.843008178735293,1.1569918212647083,历史3/3次成功; 当前距低点1.16%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
3,86.82051904795931,83.32925386621284,002678,珠江钢琴,bottom_area,2025-11-19,5.06,2025-11-03,4.92,2.8455284552845463,7.113821138211375,29.613733905579405,True,-2.8791,1.6454,4,4,4,100.0,20.79063841000859,35.5191256830601,7.154471544715454,2.8455284552845463,历史4/4次成功; 当前距低点2.85%; 最新日涨幅-2.88%; 状态bottom_area; 底部已确认
4,86.09247899030676,78.76379477453087,001209,洪兴股份,bottom_area,2025-11-19,21.14,2025-11-19,21.07,0.3322259136212638,4.176554342667295,31.701782820097247,False,-1.537,5.3053,4,4,4,100.0,14.469192782727669,21.88679245283018,9.667774086378737,0.3322259136212638,历史4/4次成功; 当前距低点0.33%; 最新日涨幅-1.54%; 状态bottom_area; 底部未确认
5,85.25431621644142,79.17185426502442,603151,邦基科技,bottom_area,2025-11-19,19.03,2025-11-19,18.82,1.1158342189160513,3.613177470775769,30.218761586948457,False,-2.4103,2.2054,1,1,1,100.0,36.42987249544626,36.42987249544626,8.884165781083949,1.1158342189160513,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
6,84.50970404790209,81.8576191894284,002062,宏润建设,bottom_area,2025-11-19,9.63,2025-11-18,9.32,3.326180257510735,7.081545064377684,27.751937984496124,False,0.5219,2.0627,3,3,3,100.0,22.15758159437036,33.22683706070288,6.673819742489265,3.326180257510735,历史3/3次成功; 当前距低点3.33%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
7,83.2758219048089,75.94573594767057,603809,豪能股份,bottom_area,2025-11-19,12.06,2025-11-19,12.04,0.16611295681064245,2.4086378737541607,29.176470588235297,False,-1.9512,1.4635,2,2,2,100.0,30.615448866660387,31.661442006269603,9.833887043189359,0.16611295681064245,历史2/2次成功; 当前距低点0.17%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
8,83.2488285487592,75.68075322614473,000691,亚太实业,bottom_area,2025-11-19,9.03,2025-11-19,9.03,0.0,2.657807308970102,30.10835913312694,False,-4.9474,7.068,6,7,6,85.71428571428571,47.246753135954805,127.39965095986037,10.0,0.0,历史6/7次成功; 当前距低点0.00%; 最新日涨幅-4.95%; 状态bottom_area; 底部未确认
9,82.56644608867046,75.71001135268568,002790,瑞尔特,bottom_area,2025-11-19,8.9,2025-11-19,8.86,0.45146726862303527,3.273137697516941,32.9803328290469,False,-1.8743,4.2928,1,1,1,100.0,49.512670565302145,49.512670565302145,9.548532731376966,0.45146726862303527,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
10,81.4244665029467,75.07277555332642,000661,长春高新,bottom_area,2025-11-19,102.32,2025-11-19,101.57,0.7384070099438811,1.3094417643004947,28.355787543203792,False,-0.2729,1.0803,3,3,3,100.0,16.270664172034742,25.03526756324649,9.26159299005612,0.7384070099438811,历史3/3次成功; 当前距低点0.74%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
11,81.14786658572372,74.00208786050263,688608,恒玄科技,bottom_area,2025-11-19,207.67,2025-11-19,207.33,0.16398977475520907,5.13191530410456,28.01041666666666,False,-2.8944,2.2817,1,1,1,100.0,36.80636853195971,36.80636853195971,9.836010225244792,0.16398977475520907,历史1/1次成功; 当前距低点0.16%; 最新日涨幅-2.89%; 状态bottom_area; 底部未确认
