rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.75199203531452,79.91203036127565,001218,丽臣实业,bottom_area,2024-08-05,13.95,2024-07-25,13.78,1.233671988388969,6.603773584905662,30.404040404040412,False,-1.7606,0.9703,2,2,2,100.0,25.18711018711019,29.999999999999993,18.766328011611034,1.233671988388969,历史2/2次成功; 当前距低点1.23%; 最新日涨幅-1.76%; 状态bottom_area; 底部未确认
2,91.53679924583658,80.97354817701242,000065,北方国际,bottom_area,2024-08-05,9.49,2024-07-25,9.19,3.26441784548423,8.7051142546246,30.641509433962266,True,-2.4666,0.8845,3,3,3,100.0,29.926993896325044,41.48061104582843,16.73558215451577,3.26441784548423,历史3/3次成功; 当前距低点3.26%; 最新日涨幅-2.47%; 状态bottom_area; 底部已确认
3,88.97218309978564,78.3045999220052,300349,金卡智能,bottom_area,2024-08-05,10.35,2024-07-25,10.05,2.9850746268656607,9.55223880597014,32.59557344064386,True,-2.3585,1.3634,1,1,1,100.0,45.48693586698337,45.48693586698337,17.01492537313434,2.9850746268656607,历史1/1次成功; 当前距低点2.99%; 最新日涨幅-2.36%; 状态bottom_area; 底部已确认
4,88.76619424079816,77.85832061068703,002687,乔治白,bottom_area,2024-08-05,4.04,2024-07-25,3.93,2.7989821882951618,5.852417302798981,32.82051282051282,False,-0.7371,0.8387,1,1,1,100.0,64.00000000000001,64.00000000000001,17.201017811704837,2.7989821882951618,历史1/1次成功; 当前距低点2.80%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
5,88.34085985640502,76.78400367895848,002563,森马服饰,bottom_area,2024-08-05,4.89,2024-07-30,4.78,2.301255230125511,7.531380753138063,29.080118694362017,True,-1.6097,0.7217,1,1,1,100.0,28.929384965831446,28.929384965831446,17.69874476987449,2.301255230125511,历史1/1次成功; 当前距低点2.30%; 最新日涨幅-1.61%; 状态bottom_area; 底部已确认
6,88.11571607785828,79.27041237969814,000811,冰轮环境,bottom_area,2024-08-05,8.46,2024-07-24,8.12,4.187192118226622,11.083743842364537,31.64983164983166,True,-2.4221,1.1582,3,3,3,100.0,32.0817763938432,47.451868629671566,15.81280788177338,4.187192118226622,历史3/3次成功; 当前距低点4.19%; 最新日涨幅-2.42%; 状态bottom_area; 底部已确认
7,86.4579856061283,76.5287935909519,002552,宝鼎科技,bottom_area,2024-08-05,10.96,2024-07-25,10.61,3.29877474081057,10.084825636192276,30.197368421052634,True,-4.6127,1.1171,1,1,1,100.0,52.23596574690771,52.23596574690771,16.70122525918943,3.29877474081057,历史1/1次成功; 当前距低点3.30%; 最新日涨幅-4.61%; 状态bottom_area; 底部已确认
8,82.72358682848659,73.22396114664772,603367,辰欣药业,bottom_area,2024-08-05,13.15,2024-07-30,12.73,3.299293008641005,6.59858601728201,27.048710601719193,False,-1.0534,0.8943,1,1,1,100.0,31.216931216931226,31.216931216931226,16.700706991358995,3.299293008641005,历史1/1次成功; 当前距低点3.30%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
9,79.8218083662094,71.95832166842297,300435,中泰股份,bottom_area,2024-08-05,10.67,2024-07-25,10.23,4.301075268817199,9.38416422287389,27.549575070821525,True,-1.659,0.7214,1,1,1,100.0,27.498781082398814,27.498781082398814,15.698924731182803,4.301075268817199,历史1/1次成功; 当前距低点4.30%; 最新日涨幅-1.66%; 状态bottom_area; 底部已确认
10,75.82414127798457,67.47063418803711,601886,江河集团,bottom_area,2024-08-05,4.62,2024-07-25,4.46,3.587443946188344,8.744394618834074,29.54186413902054,True,-1.7021,0.8115,2,3,2,66.66666666666666,33.5125791326875,33.5540838852097,16.412556053811656,3.587443946188344,历史2/3次成功; 当前距低点3.59%; 最新日涨幅-1.70%; 状态bottom_area; 底部已确认
11,65.69860329776867,55.1199002816564,001203,大中矿业,bottom_area,2024-08-05,8.17,2024-08-05,8.14,0.36855036855036066,3.1941031941031914,30.00859845227859,False,-1.6847,0.5158,1,2,1,50.0,29.46341463414634,29.46341463414634,19.63144963144964,0.36855036855036066,历史1/2次成功; 当前距低点0.37%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
12,65.45794669702543,59.03643926788686,600058,五矿发展,bottom_area,2024-08-05,6.27,2024-07-25,6.01,4.326123128119797,8.153078202995012,31.85941043083901,True,-1.4151,0.4137,1,2,1,50.0,99.54954954954954,99.54954954954954,15.673876871880205,4.326123128119797,历史1/2次成功; 当前距低点4.33%; 最新日涨幅-1.42%; 状态bottom_area; 底部已确认
13,62.97027990864945,56.64764846085304,002833,弘亚数控,bottom_area,2024-08-05,15.93,2024-07-30,15.29,4.185742315238722,9.875735775016361,31.923419412288517,True,-1.9692,1.4294,1,2,1,50.0,35.43624161073825,35.43624161073825,15.81425768476128,4.185742315238722,历史1/2次成功; 当前距低点4.19%; 最新日涨幅-1.97%; 状态bottom_area; 底部已确认
14,61.51304110625279,54.23905179703334,002545,东方铁塔,bottom_area,2024-08-05,6.01,2024-07-25,5.83,3.0874785591766676,7.375643224699823,29.247572815533985,True,-2.4351,0.8331,1,3,1,33.33333333333333,28.468653648509758,28.468653648509758,16.912521440823333,3.0874785591766676,历史1/3次成功; 当前距低点3.09%; 最新日涨幅-2.44%; 状态bottom_area; 底部已确认
15,58.79708761773415,52.90415281775629,002346,柘中股份,bottom_area,2024-08-05,7.2,2024-07-25,6.91,4.196816208393632,8.104196816208388,29.989868287740624,True,-2.0408,0.3606,1,3,1,33.33333333333333,34.89010989010989,34.89010989010989,15.803183791606369,4.196816208393632,历史1/3次成功; 当前距低点4.20%; 最新日涨幅-2.04%; 状态bottom_area; 底部已确认
16,57.21056547437273,52.17867447276265,601163,三角轮胎,bottom_area,2024-08-05,14.87,2024-07-25,14.17,4.940014114326035,7.339449541284409,27.18396711202467,True,-1.2616,1.0149,1,2,1,50.0,20.655412115193645,20.655412115193645,15.059985885673965,4.940014114326035,历史1/2次成功; 当前距低点4.94%; 最新日涨幅-1.26%; 状态bottom_area; 底部已确认
