rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.62798261637806,78.90071979342585,600327,大东方,bottom_area,2024-12-09,6.55,2024-12-09,6.43,1.8662519440124437,6.531881804043545,28.792912513842744,False,-1.9461,14.4202,2,2,2,100.0,27.5041625041625,33.030303030303024,13.133748055987557,1.8662519440124437,历史2/2次成功; 当前距低点1.87%; 最新日涨幅-1.95%; 状态bottom_area; 底部未确认
2,85.1497750357441,76.19067100770269,002301,齐心集团,bottom_area,2024-12-09,7.96,2024-12-09,7.84,1.5306122448979604,2.8061224489796,28.073394495412845,False,-0.8717,6.5024,1,1,1,100.0,25.486381322957207,25.486381322957207,13.469387755102039,1.5306122448979604,历史1/1次成功; 当前距低点1.53%; 最新日涨幅-0.87%; 状态bottom_area; 底部未确认
3,79.93541114544433,72.35293779771004,001229,魅视科技,bottom_area,2024-12-09,40.43,2024-12-06,39.58,2.1475492673067245,3.3097524002021284,31.033281059418023,False,1.3029,20.7016,2,3,2,66.66666666666666,28.83163150807898,42.18749999999999,12.852450732693274,2.1475492673067245,历史2/3次成功; 当前距低点2.15%; 最新日涨幅1.30%; 状态bottom_area; 底部未确认
4,77.5306548972612,71.51617221482654,002045,国光电器,bottom_area,2024-12-09,18.27,2024-12-04,17.71,3.1620553359683723,8.413325804630144,29.58250497017892,True,-1.7742,14.1086,4,6,4,66.66666666666666,33.38167588262236,40.89958158995815,11.837944664031626,3.1620553359683723,历史4/6次成功; 当前距低点3.16%; 最新日涨幅-1.77%; 状态bottom_area; 底部已确认
5,69.3638299300937,61.82352780864778,002095,生意宝,bottom_area,2024-12-09,22.24,2024-12-09,21.95,1.3211845102505657,3.8268792710706143,31.726283048211506,False,-1.6364,8.3252,2,5,2,40.0,25.67649726891973,33.84030418250951,13.678815489749436,1.3211845102505657,历史2/5次成功; 当前距低点1.32%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
6,66.82589313813784,59.590977872500474,000833,粤桂股份,bottom_area,2024-12-09,15.04,2024-12-09,14.84,1.3477088948787015,9.838274932614562,27.43276283618582,False,-4.8101,22.4553,1,2,1,50.0,35.88039867109634,35.88039867109634,13.652291105121298,1.3477088948787015,历史1/2次成功; 当前距低点1.35%; 最新日涨幅-4.81%; 状态bottom_area; 底部未确认
7,64.77540365386382,61.292316184661864,000695,滨海能源,bottom_area,2024-12-09,12.23,2024-12-04,11.7,4.5299145299145405,6.5811965811965925,30.810171496156123,False,-1.371,4.0926,2,3,2,66.66666666666666,21.042229280647017,21.910112359550556,10.47008547008546,4.5299145299145405,历史2/3次成功; 当前距低点4.53%; 最新日涨幅-1.37%; 状态bottom_area; 底部未确认
8,58.35726678043232,50.745449374288974,000753,漳州发展,bottom_area,2024-12-09,5.13,2024-12-09,5.13,0.0,4.678362573099419,27.027027027027028,False,-10.0,26.8923,1,3,1,33.33333333333333,43.344709897610926,43.344709897610926,15.0,0.0,历史1/3次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
9,50.09663489456752,47.04469956254075,001209,洪兴股份,bottom_area,2024-12-09,19.7,2024-12-09,18.92,4.122621564482016,10.517970401691324,32.3076923076923,False,-6.2797,52.4788,1,3,1,33.33333333333333,21.88679245283018,21.88679245283018,10.877378435517983,4.122621564482016,历史1/3次成功; 当前距低点4.12%; 最新日涨幅-6.28%; 状态bottom_area; 底部未确认
