rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.78992072237678,86.1901688191961,600343,航天动力,bottom_area,2024-08-16,7.81,2024-08-13,7.71,1.2970168612191912,5.447470817120633,31.16071428571428,False,-2.4969,2.7534,4,4,4,100.0,26.383694961160476,55.72413793103447,6.702983138780809,1.2970168612191912,历史4/4次成功; 当前距低点1.30%; 最新日涨幅-2.50%; 状态bottom_area; 底部未确认
2,85.37460535009787,83.92233236449944,603368,柳药集团,confirmed_rebound,2024-08-16,16.92,2024-07-31,16.41,3.107861060329077,8.470444850700796,31.908713692946062,True,0.1183,1.2493,3,3,3,100.0,31.603524634675978,42.85714285714285,4.892138939670923,3.107861060329077,历史3/3次成功; 当前距低点3.11%; 最新日涨幅0.12%; 状态confirmed_rebound; 底部已确认
3,85.32573150829062,81.49853668794135,605398,新炬网络,bottom_area,2024-08-16,13.85,2024-08-16,13.63,1.614086573734401,2.6412325752017565,32.49133234274393,False,1.3168,0.8147,2,2,2,100.0,15.906742344385982,20.890538033395174,6.385913426265599,1.614086573734401,历史2/2次成功; 当前距低点1.61%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
4,83.46107523496035,79.16894091745219,002563,森马服饰,bottom_area,2024-08-16,4.84,2024-07-30,4.78,1.2552301255230043,7.531380753138063,29.080118694362017,True,-1.2245,0.3267,1,1,1,100.0,28.929384965831446,28.929384965831446,6.7447698744769955,1.2552301255230043,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-1.22%; 状态bottom_area; 底部已确认
5,82.65150969535142,80.97967131971853,000983,山西焦煤,bottom_area,2024-08-16,8.06,2024-08-14,7.83,2.9374201787994947,4.725415070242646,27.834101382488473,False,-0.3708,0.3631,4,4,4,100.0,18.47843724398591,27.212389380530986,5.062579821200505,2.9374201787994947,历史4/4次成功; 当前距低点2.94%; 最新日涨幅-0.37%; 状态bottom_area; 底部未确认
6,82.63684414043801,79.54591707687926,601886,江河集团,confirmed_rebound,2024-08-16,4.55,2024-07-25,4.46,2.0179372197309386,8.744394618834074,29.54186413902054,True,-3.397,1.0156,3,3,3,100.0,27.40222547239673,33.5540838852097,5.982062780269062,2.0179372197309386,历史3/3次成功; 当前距低点2.02%; 最新日涨幅-3.40%; 状态confirmed_rebound; 底部已确认
7,81.9406055440396,76.29468857548328,001239,永达股份,bottom_area,2024-08-16,13.87,2024-08-16,13.83,0.289226319595077,4.989154013015181,32.83147158814958,False,-3.6136,16.0915,3,3,3,100.0,27.54905690408631,62.04678362573098,7.710773680404922,0.289226319595077,历史3/3次成功; 当前距低点0.29%; 最新日涨幅-3.61%; 状态bottom_area; 底部未确认
8,81.16272672234436,76.69833031297448,603010,万盛股份,bottom_area,2024-08-16,8.59,2024-07-18,8.5,1.0588235294117632,7.5294117647058885,27.78249787595582,True,-0.9227,0.2597,1,1,1,100.0,13.238967527060783,13.238967527060783,6.941176470588236,1.0588235294117632,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-0.92%; 状态bottom_area; 底部已确认
9,80.5648557100414,78.10341476002836,002196,方正电机,bottom_area,2024-08-16,4.29,2024-08-13,4.19,2.3866348448687265,6.205250596658705,28.49829351535836,False,-2.7211,4.0328,3,3,3,100.0,12.929796808220722,18.661971830985923,5.613365155131274,2.3866348448687265,历史3/3次成功; 当前距低点2.39%; 最新日涨幅-2.72%; 状态bottom_area; 底部未确认
10,80.00226871654947,77.82321859586526,603218,日月股份,confirmed_rebound,2024-08-16,9.6,2024-07-05,9.36,2.5641025641025665,10.256410256410266,27.216174183514774,True,-2.0408,0.5215,1,1,1,100.0,47.95361527967258,47.95361527967258,5.435897435897434,2.5641025641025665,历史1/1次成功; 当前距低点2.56%; 最新日涨幅-2.04%; 状态confirmed_rebound; 底部已确认
11,79.67758433980805,77.85832061068703,002687,乔治白,bottom_area,2024-08-16,4.04,2024-07-25,3.93,2.7989821882951618,5.852417302798981,32.82051282051282,False,-0.4926,0.529,1,1,1,100.0,64.00000000000001,64.00000000000001,5.201017811704839,2.7989821882951618,历史1/1次成功; 当前距低点2.80%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
