rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,101.54034198407265,86.78046688643886,301421,波长光电,bottom_area,2024-08-28,30.15,2024-08-28,29.74,1.3786146603900475,2.689979825151314,31.045675863667988,False,-0.0663,8.9821,3,3,3,100.0,47.22423823724819,56.02000000000002,18.62138533960995,1.3786146603900475,历史3/3次成功; 当前距低点1.38%; 最新日涨幅-0.07%; 状态bottom_area; 底部未确认
2,100.24254202079622,85.51066487575557,603004,鼎龙科技,bottom_area,2024-08-28,15.08,2024-08-28,14.89,1.2760241773001981,2.0819341840161094,27.1882640586797,False,0.1993,2.4846,1,1,1,100.0,55.7168784029038,55.7168784029038,18.723975822699803,1.2760241773001981,历史1/1次成功; 当前距低点1.28%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
3,94.2558343327485,81.81930063606642,001218,丽臣实业,bottom_area,2024-08-28,13.75,2024-08-26,13.45,2.23048327137547,3.2713754646840245,32.07070707070708,False,0.8804,0.5562,2,2,2,100.0,25.18711018711019,29.999999999999993,17.76951672862453,2.23048327137547,历史2/2次成功; 当前距低点2.23%; 最新日涨幅0.88%; 状态bottom_area; 底部未确认
4,92.56382429115048,82.3103112345088,002219,新里程,bottom_area,2024-08-28,1.75,2024-08-23,1.69,3.550295857988169,7.6923076923077,29.288702928870297,True,0.5747,0.7925,2,2,2,100.0,34.81175156302061,45.685279187817265,16.449704142011832,3.550295857988169,历史2/2次成功; 当前距低点3.55%; 最新日涨幅0.57%; 状态bottom_area; 底部已确认
5,90.53975165600727,77.08204896022998,301333,诺思格,bottom_area,2024-08-28,38.96,2024-08-23,38.51,1.1685276551545127,5.115554401454165,27.17473524962179,False,-0.256,1.0403,1,1,1,100.0,25.840279645065877,25.840279645065877,18.831472344845487,1.1685276551545127,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-0.26%; 状态bottom_area; 底部未确认
6,89.7494102574785,79.04476496201531,002715,登云股份,bottom_area,2024-08-28,9.88,2024-08-23,9.59,3.0239833159541285,5.5265901981230385,31.45103645461044,False,1.0225,1.2526,1,1,1,100.0,36.66369313113291,36.66369313113291,16.976016684045874,3.0239833159541285,历史1/1次成功; 当前距低点3.02%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
7,88.48736781695223,77.33032799874657,603079,圣达生物,bottom_area,2024-08-28,10.66,2024-08-26,10.39,2.598652550529351,4.523580365736274,28.83561643835616,False,0.0,1.336,1,1,1,100.0,22.232558139534888,22.232558139534888,17.40134744947065,2.598652550529351,历史1/1次成功; 当前距低点2.60%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,88.38819478862978,77.2792959900588,600011,华能国际,bottom_area,2024-08-28,7.04,2024-08-27,6.86,2.6239067055393543,3.6443148688046643,30.707070707070706,False,1.1494,0.5215,1,1,1,100.0,22.267759562841515,22.267759562841515,17.37609329446065,2.6239067055393543,历史1/1次成功; 当前距低点2.62%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
9,87.32632416286924,77.3643405811827,002674,兴业科技,bottom_area,2024-08-28,8.03,2024-08-21,7.77,3.3462033462033434,6.30630630630631,31.72231985940247,False,0.5006,0.5724,1,1,1,100.0,31.578947368421055,31.578947368421055,16.653796653796658,3.3462033462033434,历史1/1次成功; 当前距低点3.35%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
10,84.9414207623833,75.76341920374705,000628,高新发展,bottom_area,2024-08-28,35.43,2024-08-28,34.16,3.717798594847785,4.7716627634660504,27.31914893617022,False,-0.7563,7.4965,1,1,1,100.0,99.77973568281939,99.77973568281939,16.282201405152215,3.717798594847785,历史1/1次成功; 当前距低点3.72%; 最新日涨幅-0.76%; 状态bottom_area; 底部未确认
11,77.49040495445139,67.43572153754273,000983,山西焦煤,bottom_area,2024-08-28,7.78,2024-08-26,7.6,2.368421052631587,3.4210526315789567,29.95391705069125,False,1.5666,0.6221,2,4,2,50.0,24.546889986789015,27.212389380530986,17.631578947368414,2.368421052631587,历史2/4次成功; 当前距低点2.37%; 最新日涨幅1.57%; 状态bottom_area; 底部未确认
