rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.26433235462932,76.24613316261203,002401,中远海科,bottom_area,2025-04-03,15.66,2025-03-31,15.62,0.25608194622279723,5.953905249679908,28.414298808432637,False,-2.8536,2.9064,1,1,1,100.0,68.49925705794946,68.49925705794946,14.743918053777202,0.25608194622279723,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-2.85%; 状态bottom_area; 底部未确认
2,86.88786680744417,79.23344387664571,002300,太阳电缆,bottom_area,2025-04-03,6.04,2025-04-03,5.89,2.54668930390493,3.5653650254668925,32.992036405005685,False,-0.9836,8.2729,2,2,2,100.0,37.633846718005124,38.41584158415842,12.45331069609507,2.54668930390493,历史2/2次成功; 当前距低点2.55%; 最新日涨幅-0.98%; 状态bottom_area; 底部未确认
3,84.88126929592735,75.20026778882723,600203,福日电子,bottom_area,2025-04-03,9.1,2025-03-31,9.01,0.998890122086569,4.550499445061045,32.50936329588015,False,-1.6216,3.2551,3,3,3,100.0,20.149125092390385,24.045801526717554,14.001109877913432,0.998890122086569,历史3/3次成功; 当前距低点1.00%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
4,84.28917115399113,75.20794027093596,603280,南方路机,bottom_area,2025-04-03,23.52,2025-03-31,23.2,1.3793103448275874,5.6896551724137945,28.240024744819053,False,-1.6311,10.9529,1,1,1,100.0,18.348214285714302,18.348214285714302,13.620689655172413,1.3793103448275874,历史1/1次成功; 当前距低点1.38%; 最新日涨幅-1.63%; 状态bottom_area; 底部未确认
5,83.1768581978253,73.52721343312851,301366,一博科技,bottom_area,2025-04-03,51.57,2025-04-03,51.12,0.8802816901408507,4.166666666666672,32.29139072847683,False,-2.9727,4.4148,2,2,2,100.0,26.366966057256242,36.479591836734706,14.11971830985915,0.8802816901408507,历史2/2次成功; 当前距低点0.88%; 最新日涨幅-2.97%; 状态bottom_area; 底部未确认
6,82.70581087361339,74.73507413611267,600579,中化装备,bottom_area,2025-04-03,7.44,2025-04-03,7.29,2.0576131687242847,4.25240054869684,29.497098646034814,False,-2.4902,3.6954,1,1,1,100.0,24.120603015075385,24.120603015075385,12.942386831275716,2.0576131687242847,历史1/1次成功; 当前距低点2.06%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
7,82.46554610787136,73.12839160839161,300720,海川智能,bottom_area,2025-04-03,20.23,2025-04-03,20.02,1.0489510489510532,4.645354645354645,32.13559322033899,False,-3.3906,2.4462,3,5,3,60.0,57.75229601757511,75.69193742478939,13.951048951048946,1.0489510489510532,历史3/5次成功; 当前距低点1.05%; 最新日涨幅-3.39%; 状态bottom_area; 底部未确认
8,80.48183222377229,73.92518102003491,603163,圣晖集成,bottom_area,2025-04-03,25.25,2025-03-31,24.53,2.9351814105177287,4.15817366490012,27.05917335712162,False,-0.1976,2.2578,1,1,1,100.0,30.52362707535122,30.52362707535122,12.06481858948227,2.9351814105177287,历史1/1次成功; 当前距低点2.94%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
9,78.78182269432573,68.84753297126872,601020,华钰矿业,bottom_area,2025-04-03,18.84,2025-04-03,18.79,0.26609898882384625,4.257583821181483,27.814060699193245,False,-3.4836,6.8072,3,4,3,75.0,24.727089601005904,26.324110671936758,14.733901011176155,0.26609898882384625,历史3/4次成功; 当前距低点0.27%; 最新日涨幅-3.48%; 状态bottom_area; 底部未确认
10,77.13437033803706,67.97231433506043,002730,电光科技,bottom_area,2025-04-03,15.55,2025-03-31,15.44,0.7124352331606296,5.375647668393783,31.071428571428566,False,-2.6299,2.3994,2,3,2,66.66666666666666,66.31186981320792,113.1578947368421,14.28756476683937,0.7124352331606296,历史2/3次成功; 当前距低点0.71%; 最新日涨幅-2.63%; 状态bottom_area; 底部未确认
11,76.29395588501899,69.36679201818265,300386,飞天诚信,bottom_area,2025-04-03,14.58,2025-03-31,14.24,2.387640449438201,4.6348314606741585,30.536585365853657,False,-1.2195,2.5464,6,9,6,66.66666666666666,21.526589119543463,31.195335276967924,12.612359550561797,2.387640449438201,历史6/9次成功; 当前距低点2.39%; 最新日涨幅-1.22%; 状态bottom_area; 底部未确认
12,76.2550110190251,72.15112836730513,300509,新美星,bottom_area,2025-04-03,7.85,2025-03-31,7.51,4.527296937416776,6.39147802929428,30.783410138248847,False,0.0,2.073,1,1,1,100.0,18.028846153846153,18.028846153846153,10.472703062583223,4.527296937416776,历史1/1次成功; 当前距低点4.53%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
13,75.13896962168809,65.94299486479022,002123,梦网科技,bottom_area,2025-04-03,14.27,2025-04-03,14.2,0.49295774647887525,3.5211267605633805,30.630190522716173,False,-2.5273,3.5571,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,14.507042253521124,0.49295774647887525,历史2/3次成功; 当前距低点0.49%; 最新日涨幅-2.53%; 状态bottom_area; 底部未确认
14,74.98701123342451,68.91287779974006,300377,赢时胜,bottom_area,2025-04-03,24.33,2025-04-01,23.63,2.962336013542105,7.363520947947533,28.393939393939398,False,0.3299,5.5731,2,3,2,66.66666666666666,20.32439378467411,20.843471208434714,12.037663986457895,2.962336013542105,历史2/3次成功; 当前距低点2.96%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
15,73.7311425021951,66.27475141358823,688023,安恒信息,bottom_area,2025-04-03,51.61,2025-03-31,50.71,1.7747978702425529,6.487872214553341,29.451864218141345,False,-2.1982,1.7272,2,4,2,50.0,33.50156213839389,39.261744966442954,13.225202129757447,1.7747978702425529,历史2/4次成功; 当前距低点1.77%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
16,73.64961731010655,67.73766696032754,002178,延华智能,bottom_area,2025-04-03,6.17,2025-03-31,5.99,3.005008347245404,4.674457429048403,27.305825242718445,False,-0.1618,1.6585,4,6,4,66.66666666666666,20.335587770862393,29.076086956521735,11.994991652754596,3.005008347245404,历史4/6次成功; 当前距低点3.01%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
17,73.57532094967509,68.55603948721807,000736,中交地产,bottom_area,2025-04-03,5.32,2025-03-25,5.13,3.7037037037037113,7.992202729044837,29.822161422708614,True,1.3333,2.2075,2,3,2,66.66666666666666,18.300092822558383,19.029126213592225,11.296296296296287,3.7037037037037113,历史2/3次成功; 当前距低点3.70%; 最新日涨幅1.33%; 状态bottom_area; 底部已确认
18,73.26960299480595,66.92648494403171,603211,晋拓股份,bottom_area,2025-04-03,17.52,2025-03-31,17.07,2.6362038664323335,7.439953134153483,27.36170212765957,True,-0.961,10.4795,3,5,3,60.0,16.704461072566843,17.962003454231418,12.363796133567666,2.6362038664323335,历史3/5次成功; 当前距低点2.64%; 最新日涨幅-0.96%; 状态bottom_area; 底部已确认
19,72.99827979423316,64.28998780590906,002406,远东传动,bottom_area,2025-04-03,7.39,2025-04-03,7.34,0.6811989100817415,3.9509536784741153,32.53676470588236,False,-3.0184,9.005,3,5,3,60.0,37.81248021986791,67.88321167883211,14.318801089918257,0.6811989100817415,历史3/5次成功; 当前距低点0.68%; 最新日涨幅-3.02%; 状态bottom_area; 底部未确认
