rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,80.11813967604438,77.33569151569148,000034,神州数码,bottom_area,2021-07-27,17.01,2021-07-26,16.65,2.1621621621621805,3.843843843843848,27.859618717504333,False,1.25,2.3643,1,1,1,100.0,16.910866910866908,16.910866910866908,5.83783783783782,2.1621621621621805,历史1/1次成功; 当前距低点2.16%; 最新日涨幅1.25%; 状态bottom_area; 底部未确认
2,79.41891229970818,75.820644428524,000037,深南电A,bottom_area,2021-07-27,7.67,2021-07-27,7.55,1.5894039735099352,6.357615894039729,28.436018957345976,False,-4.005,1.4988,1,1,1,100.0,34.43271767810025,34.43271767810025,6.410596026490064,1.5894039735099352,历史1/1次成功; 当前距低点1.59%; 最新日涨幅-4.00%; 状态bottom_area; 底部未确认
3,75.1187043892033,74.4494010962752,300546,雄帝科技,bottom_area,2021-07-27,14.06,2021-07-26,13.58,3.534609720176734,7.216494845360828,28.337730870712395,True,2.4035,5.5528,1,1,1,100.0,9.02317880794702,9.02317880794702,4.465390279823266,3.534609720176734,历史1/1次成功; 当前距低点3.53%; 最新日涨幅2.40%; 状态bottom_area; 底部已确认
4,74.92234246350498,72.81216353538514,300588,熙菱信息,confirmed_rebound,2021-07-27,15.9,2021-07-27,15.51,2.5145067698259225,20.760799484203744,28.853211009174316,False,-17.999,29.79,2,2,2,100.0,23.146446078431378,25.98039215686274,5.485493230174078,2.5145067698259225,历史2/2次成功; 当前距低点2.51%; 最新日涨幅-18.00%; 状态confirmed_rebound; 底部未确认
5,74.48988739809667,70.3467246963563,688276,百克生物,confirmed_rebound,2021-07-27,80.82,2021-07-27,80.0,1.0249999999999915,9.275000000000002,27.140255009107467,False,-6.0233,4.4816,1,1,1,100.0,8.299595141700408,8.299595141700408,6.9750000000000085,1.0249999999999915,历史1/1次成功; 当前距低点1.02%; 最新日涨幅-6.02%; 状态confirmed_rebound; 底部未确认
6,74.29285155812227,69.12758245300436,601933,永辉超市,bottom_area,2021-07-27,3.94,2021-07-27,3.93,0.25445292620864596,3.307888040712454,32.47422680412371,False,-1.99,0.541,1,1,1,100.0,11.70825335892515,11.70825335892515,7.7455470737913545,0.25445292620864596,历史1/1次成功; 当前距低点0.25%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
7,74.11893220780091,69.21311029852534,603236,移远通信,bottom_area,2021-07-27,132.28,2021-07-27,131.7,0.44039483675019936,4.563401670463189,27.685042828904027,False,-1.0547,3.1197,1,1,1,100.0,14.447368421052637,14.447368421052637,7.559605163249801,0.44039483675019936,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-1.05%; 状态bottom_area; 底部未确认
8,74.10846769907012,73.47032544378696,605286,同力天启,bottom_area,2021-07-27,17.5,2021-07-27,16.9,3.550295857988174,5.68047337278107,30.99224173131891,False,0.5169,5.4011,1,1,1,100.0,13.145161290322571,13.145161290322571,4.449704142011826,3.550295857988174,历史1/1次成功; 当前距低点3.55%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
9,73.31179780099589,68.41553524198937,605090,九丰能源,bottom_area,2021-07-27,27.13,2021-07-27,27.02,0.40710584752035317,2.960769800148041,30.41462786505279,False,-0.9493,4.2062,1,1,1,100.0,9.751271905031079,9.751271905031079,7.592894152479647,0.40710584752035317,历史1/1次成功; 当前距低点0.41%; 最新日涨幅-0.95%; 状态bottom_area; 底部未确认
10,72.70673162415939,68.56684654947416,605319,无锡振华,bottom_area,2021-07-27,14.84,2021-07-26,14.7,0.9523809523809563,3.333333333333335,32.63061411549038,False,-1.0667,4.9273,1,1,1,100.0,17.248790972595383,17.248790972595383,7.047619047619044,0.9523809523809563,历史1/1次成功; 当前距低点0.95%; 最新日涨幅-1.07%; 状态bottom_area; 底部未确认
11,72.61642955007068,70.91349794749495,688161,威高骨科,bottom_area,2021-07-27,73.19,2021-07-26,71.22,2.76607694467846,6.711597865768044,28.1766841468334,False,-0.4218,6.2971,1,1,1,100.0,12.258889147106666,12.258889147106666,5.23392305532154,2.76607694467846,历史1/1次成功; 当前距低点2.77%; 最新日涨幅-0.42%; 状态bottom_area; 底部未确认
12,66.94178670190232,63.126127807655806,000860,顺鑫农业,confirmed_rebound,2021-07-27,31.91,2021-07-27,31.61,0.9490667510281579,8.225245175577353,27.632783882783883,False,-5.058,2.1356,1,1,1,100.0,8.387096774193555,8.387096774193555,7.050933248971843,0.9490667510281579,历史1/1次成功; 当前距低点0.95%; 最新日涨幅-5.06%; 状态confirmed_rebound; 底部未确认
