rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.68110248796964,74.43050187101035,600996,贵广网络,bottom_area,2024-01-17,7.73,2024-01-17,7.7,0.3896103896103928,4.155844155844148,32.03883495145631,False,-3.736,0.9229,2,2,2,100.0,35.42372881355932,40.00000000000001,19.610389610389607,0.3896103896103928,历史2/2次成功; 当前距低点0.39%; 最新日涨幅-3.74%; 状态bottom_area; 底部未确认
2,87.18,72.65,603013,亚普股份,bottom_area,2024-01-17,16.0,2024-01-17,16.0,0.0,4.062499999999991,29.67032967032967,False,-3.5564,0.5196,1,1,1,100.0,53.30739299610896,53.30739299610896,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-3.56%; 状态bottom_area; 底部未确认
3,86.52850298646496,72.20955035429061,000021,深科技,bottom_area,2024-01-17,12.92,2024-01-16,12.91,0.07745933384972724,5.03485670023238,27.471910112359556,False,-2.1953,1.8246,1,1,1,100.0,26.108374384236456,26.108374384236456,19.922540666150272,0.07745933384972724,历史1/1次成功; 当前距低点0.08%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
4,86.24183599386892,74.5629756501067,600006,东风股份,bottom_area,2024-01-17,5.58,2024-01-10,5.47,2.0109689213894026,4.021937842778805,27.645502645502646,False,-0.3571,0.8498,1,1,1,100.0,22.6235741444867,22.6235741444867,17.989031078610598,2.0109689213894026,历史1/1次成功; 当前距低点2.01%; 最新日涨幅-0.36%; 状态bottom_area; 底部未确认
5,86.01964333976836,72.87594594594596,600172,黄河旋风,bottom_area,2024-01-17,3.36,2024-01-17,3.33,0.900900900900895,4.204204204204208,31.762295081967213,False,-3.17,1.3482,1,1,1,100.0,51.074589127686465,51.074589127686465,19.099099099099107,0.900900900900895,历史1/1次成功; 当前距低点0.90%; 最新日涨幅-3.17%; 状态bottom_area; 底部未确认
6,84.74924623115578,70.62437185929649,002413,雷科防务,bottom_area,2024-01-17,4.9,2024-01-17,4.9,0.0,2.4489795918367188,28.779069767441857,False,-2.1956,0.9868,1,1,1,100.0,28.894472361809044,28.894472361809044,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
7,82.86741312741313,69.05617760617761,600981,苏豪汇鸿,bottom_area,2024-01-17,2.75,2024-01-17,2.75,0.0,3.2727272727272676,29.48717948717949,False,-2.1352,0.7993,1,1,1,100.0,20.463320463320475,20.463320463320475,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-2.14%; 状态bottom_area; 底部未确认
8,81.52355958475752,68.65832795946568,002385,大北农,bottom_area,2024-01-17,5.23,2024-01-17,5.2,0.5769230769230818,4.4230769230769145,30.201342281879196,False,-3.3272,1.1905,1,1,1,100.0,23.353293413173663,23.353293413173663,19.42307692307692,0.5769230769230818,历史1/1次成功; 当前距低点0.58%; 最新日涨幅-3.33%; 状态bottom_area; 底部未确认
9,71.10205869986386,59.58205966401835,688079,美迪凯,bottom_area,2024-01-17,9.92,2024-01-17,9.89,0.3033367037411462,3.6400404448938257,29.758522727272723,False,-3.2195,1.5682,2,4,2,50.0,29.53584595993638,30.064655172413808,19.696663296258855,0.3033367037411462,历史2/4次成功; 当前距低点0.30%; 最新日涨幅-3.22%; 状态bottom_area; 底部未确认
10,68.99999999999999,57.49999999999999,000070,特发信息,bottom_area,2024-01-17,7.17,2024-01-17,7.17,0.0,2.7894002789400303,30.858244937319185,False,-1.6461,0.9397,1,2,1,50.0,50.60532687651331,50.60532687651331,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-1.65%; 状态bottom_area; 底部未确认
11,66.94163135914691,55.840881025714516,603037,凯众股份,bottom_area,2024-01-17,18.22,2024-01-17,18.21,0.05491488193299292,2.9654036243822026,27.101681345076056,False,-3.0335,2.1608,1,2,1,50.0,39.71014492753625,39.71014492753625,19.945085118067006,0.05491488193299292,历史1/2次成功; 当前距低点0.05%; 最新日涨幅-3.03%; 状态bottom_area; 底部未确认
