rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.60133950029562,81.04664077087399,002987,京北方,bottom_area,2025-08-11,20.15,2025-08-08,19.85,1.511335012594444,2.367758186397979,28.339350180505406,False,0.6997,2.9249,1,1,1,100.0,28.88432580424366,28.88432580424366,18.488664987405556,1.511335012594444,历史1/1次成功; 当前距低点1.51%; 最新日涨幅0.70%; 状态bottom_area; 底部未确认
2,88.77364668535091,78.17988965118396,605033,美邦股份,bottom_area,2025-08-11,21.49,2025-08-08,20.86,3.020134228187915,3.307766059443918,32.926045016077175,False,0.5145,2.6013,1,1,1,100.0,31.96664350243223,31.96664350243223,16.979865771812086,3.020134228187915,历史1/1次成功; 当前距低点3.02%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
3,88.50801505260884,78.02973619247632,603839,安正时尚,bottom_area,2025-08-11,7.7,2025-08-08,7.47,3.078982597054892,3.614457831325307,28.03468208092486,False,2.2576,4.0576,1,1,1,100.0,31.88073394495412,31.88073394495412,16.92101740294511,3.078982597054892,历史1/1次成功; 当前距低点3.08%; 最新日涨幅2.26%; 状态bottom_area; 底部未确认
4,83.21964442333208,74.93046205814933,600620,天宸股份,bottom_area,2025-08-11,6.4,2025-08-04,6.14,4.234527687296428,4.234527687296428,27.078384798099762,False,2.2364,1.9899,1,1,1,100.0,29.38271604938273,29.38271604938273,15.765472312703574,4.234527687296428,历史1/1次成功; 当前距低点4.23%; 最新日涨幅2.24%; 状态bottom_area; 底部未确认
5,82.15590264326721,74.3364303816663,000999,华润三九,bottom_area,2025-08-11,31.79,2025-07-15,30.42,4.503616042077572,7.133464825772523,30.036798528058867,True,0.4106,0.6469,1,1,1,100.0,20.293951384963254,20.293951384963254,15.49638395792243,4.503616042077572,历史1/1次成功; 当前距低点4.50%; 最新日涨幅0.41%; 状态bottom_area; 底部已确认
6,81.57346458583433,74.15769507803121,603928,兴业股份,bottom_area,2025-08-11,15.84,2025-08-01,15.12,4.761904761904766,4.828042328042331,32.16689098250337,False,1.0849,2.8767,1,1,1,100.0,31.69267707082834,31.69267707082834,15.238095238095234,4.761904761904766,历史1/1次成功; 当前距低点4.76%; 最新日涨幅1.08%; 状态bottom_area; 底部未确认
7,81.20927300874742,73.15552181771537,300963,中洲特材,bottom_area,2025-08-11,19.82,2025-08-01,19.01,4.260915307732764,6.049447659126767,27.93783169067475,False,1.9023,5.4784,1,1,1,100.0,20.163487738419626,20.163487738419626,15.739084692267236,4.260915307732764,历史1/1次成功; 当前距低点4.26%; 最新日涨幅1.90%; 状态bottom_area; 底部未确认
8,80.66154900495356,70.75420657282339,002658,雪迪龙,bottom_area,2025-08-11,8.07,2025-08-01,7.85,2.802547770700645,2.9299363057324896,31.50087260034905,False,0.3731,2.9641,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,17.197452229299355,2.802547770700645,历史2/3次成功; 当前距低点2.80%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
9,78.14211790784736,70.18535348201108,002287,奇正藏药,bottom_area,2025-08-11,28.95,2025-08-08,27.81,4.099244875943907,5.861201006832085,27.122641509433958,False,-0.5155,2.4631,1,1,1,100.0,24.686192468619257,24.686192468619257,15.900755124056094,4.099244875943907,历史1/1次成功; 当前距低点4.10%; 最新日涨幅-0.52%; 状态bottom_area; 底部未确认
10,75.1542066050277,63.904089649909594,001331,胜通能源,bottom_area,2025-08-11,11.94,2025-08-08,11.81,1.1007620660457156,2.4555461473327616,30.242173656231536,False,0.5051,16.7948,1,2,1,50.0,23.35390946502057,23.35390946502057,18.899237933954286,1.1007620660457156,历史1/2次成功; 当前距低点1.10%; 最新日涨幅0.51%; 状态bottom_area; 底部未确认
11,74.72169823229889,64.98782346377044,001226,拓山重工,bottom_area,2025-08-11,36.36,2025-08-08,35.53,2.3360540388404116,3.405572755417959,31.699346405228763,False,-0.6286,3.7764,2,4,2,50.0,33.46250899100309,41.451766953199616,17.663945961159587,2.3360540388404116,历史2/4次成功; 当前距低点2.34%; 最新日涨幅-0.63%; 状态bottom_area; 底部未确认
