rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
14,80.4907267739631,73.84255961844197,605005,合兴股份,bottom_area,2025-06-10,18.96,2025-06-10,18.87,0.47694753577106436,5.19342872284049,29.08680947012401,False,-4.0,3.7556,1,1,1,100.0,96.96521095484826,96.96521095484826,9.523052464228936,0.47694753577106436,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-4.00%; 状态bottom_area; 底部未确认
15,80.33574682057261,75.54988645673237,688448,磁谷科技,bottom_area,2025-06-10,29.22,2025-06-03,28.71,1.7763845350052174,4.771856495994418,27.113480578827115,False,-2.4048,3.8866,1,1,1,100.0,25.053995680345576,25.053995680345576,8.223615464994783,1.7763845350052174,历史1/1次成功; 当前距低点1.78%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
16,79.8103014253486,73.89568899919954,001311,多利科技,bottom_area,2025-06-10,19.99,2025-06-10,19.8,0.9595959595959481,3.6363636363636305,31.794695142955565,False,-2.4878,4.2908,2,2,2,100.0,29.32025691977575,46.9244288224956,9.040404040404052,0.9595959595959481,历史2/2次成功; 当前距低点0.96%; 最新日涨幅-2.49%; 状态bottom_area; 底部未确认
17,79.30546262695593,75.59034948628471,688543,国科军工,bottom_area,2025-06-10,44.6,2025-06-04,43.52,2.4816176470588194,6.755514705882347,31.604589030331603,False,-2.1286,3.8117,1,1,1,100.0,33.916331836445266,33.916331836445266,7.518382352941182,2.4816176470588194,历史1/1次成功; 当前距低点2.48%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
18,78.62665506528604,75.08226864063057,002811,郑中设计,bottom_area,2025-06-10,10.74,2025-06-10,10.47,2.5787965616045803,4.393505253104098,29.01694915254237,False,-1.196,5.599,2,2,2,100.0,15.709273124134537,16.78832116788322,7.42120343839542,2.5787965616045803,历史2/2次成功; 当前距低点2.58%; 最新日涨幅-1.20%; 状态bottom_area; 底部未确认
19,78.47996284367579,74.53804690175599,300819,聚杰微纤,bottom_area,2025-06-10,21.84,2025-06-10,21.35,2.2950819672131075,7.119437939110068,31.12903225806451,False,-4.2525,4.1679,2,2,2,100.0,19.520611758074537,26.54716175842936,7.704918032786893,2.2950819672131075,历史2/2次成功; 当前距低点2.30%; 最新日涨幅-4.25%; 状态bottom_area; 底部未确认
20,76.4238853215993,70.61878205128205,603577,汇金通,bottom_area,2025-06-10,9.44,2025-06-10,9.36,0.8547008547008554,3.6324786324786316,27.216174183514774,False,-2.3785,8.171,1,1,1,100.0,27.083333333333325,27.083333333333325,9.145299145299145,0.8547008547008554,历史1/1次成功; 当前距低点0.85%; 最新日涨幅-2.38%; 状态bottom_area; 底部未确认
21,76.42109018303859,75.5609265442619,002041,登海种业,bottom_area,2025-06-10,10.19,2025-06-03,9.76,4.40573770491803,6.249999999999995,28.023598820059004,False,2.6183,3.153,2,2,2,100.0,18.2043468358871,21.395106715252467,5.594262295081971,4.40573770491803,历史2/2次成功; 当前距低点4.41%; 最新日涨幅2.62%; 状态bottom_area; 底部未确认
22,76.38447861066417,69.9367758552371,600770,综艺股份,bottom_area,2025-06-10,5.38,2025-06-10,5.36,0.373134328358201,7.835820895522386,29.006622516556284,False,-3.2374,8.412,1,1,1,100.0,27.72861356932153,27.72861356932153,9.6268656716418,0.373134328358201,历史1/1次成功; 当前距低点0.37%; 最新日涨幅-3.24%; 状态bottom_area; 底部未确认
23,76.28676656228677,74.61596814848612,300394,天孚通信,confirmed_rebound,2025-06-10,68.73,2025-06-09,66.19,3.837437679407775,11.028856322707353,28.497353354218426,False,-2.094,4.8799,3,3,3,100.0,22.179172352343212,33.2041656575442,6.162562320592226,3.837437679407775,历史3/3次成功; 当前距低点3.84%; 最新日涨幅-2.09%; 状态confirmed_rebound; 底部未确认
24,76.18863860415875,72.46231875773812,688318,财富趋势,bottom_area,2025-06-10,99.0,2025-06-06,96.71,2.3679040430152067,6.503980974046124,30.906622847753095,False,-2.0384,1.1998,5,7,5,71.42857142857143,27.609815538164007,36.949152542372886,7.632095956984794,2.3679040430152067,历史5/7次成功; 当前距低点2.37%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
25,75.30467314647814,71.99034259857788,300817,双飞集团,bottom_area,2025-06-10,23.35,2025-06-10,22.75,2.6373626373626435,5.362637362637358,28.097345132743364,False,-2.3013,5.1371,1,1,1,100.0,16.470588235294116,16.470588235294116,7.362637362637357,2.6373626373626435,历史1/1次成功; 当前距低点2.64%; 最新日涨幅-2.30%; 状态bottom_area; 底部未确认
26,56.92465485432607,56.65597702513471,002042,华孚时尚,bottom_area,2025-06-10,4.85,2025-06-03,4.63,4.751619870410362,9.935205183585312,28.549382716049386,True,-2.6104,1.9396,1,2,1,50.0,42.41758241758243,42.41758241758243,5.248380129589638,4.751619870410362,历史1/2次成功; 当前距低点4.75%; 最新日涨幅-2.61%; 状态bottom_area; 底部已确认
