rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.79520848885491,86.54946993770638,300707,威唐工业,bottom_area,2023-03-16,15.46,2023-03-14,15.23,1.5101772816808956,6.106369008535783,31.6427289048474,False,-1.8413,2.4562,4,4,4,100.0,30.92835559106886,59.14285714285715,6.489822718319105,1.5101772816808956,历史4/4次成功; 当前距低点1.51%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
2,89.87816170728682,85.27030944923699,688221,前沿生物,bottom_area,2023-03-16,13.62,2023-03-14,13.45,1.263940520446096,3.717472118959108,27.688172043010763,False,-1.5184,1.723,5,5,5,100.0,21.032762558355284,34.87394957983194,6.736059479553905,1.263940520446096,历史5/5次成功; 当前距低点1.26%; 最新日涨幅-1.52%; 状态bottom_area; 底部未确认
3,84.91558774595745,81.9251635259971,300382,斯莱克,bottom_area,2023-03-16,15.78,2023-03-14,15.45,2.135922330097088,4.919093851132696,29.836512261580385,False,-1.6822,1.0542,3,3,3,100.0,30.403583003325068,49.70059880239522,5.864077669902912,2.135922330097088,历史3/3次成功; 当前距低点2.14%; 最新日涨幅-1.68%; 状态bottom_area; 底部未确认
4,84.23462438650387,77.99502258009616,300681,英搏尔,bottom_area,2023-03-16,31.52,2023-03-16,31.52,0.0,2.9505076142132087,28.68778280542987,False,-2.4752,2.1423,4,4,4,100.0,18.521626774710526,27.487589035182385,8.0,0.0,历史4/4次成功; 当前距低点0.00%; 最新日涨幅-2.48%; 状态bottom_area; 底部未确认
5,83.97844679867968,79.5641229627875,002347,泰尔股份,bottom_area,2023-03-16,5.09,2023-03-16,5.03,1.1928429423459166,3.379721669980118,28.954802259887003,False,-1.3566,2.6516,2,2,2,100.0,22.816155222237516,29.585798816568047,6.807157057654084,1.1928429423459166,历史2/2次成功; 当前距低点1.19%; 最新日涨幅-1.36%; 状态bottom_area; 底部未确认
6,83.66988711659955,79.00578412416952,688105,诺唯赞,bottom_area,2023-03-16,46.63,2023-03-16,46.16,1.0181975736568587,3.639514731369166,28.177999066438463,False,-1.9966,0.8882,2,2,2,100.0,17.673519312404096,25.237580993520524,6.981802426343142,1.0181975736568587,历史2/2次成功; 当前距低点1.02%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
7,82.94852268768965,78.68374188711076,002708,光洋股份,bottom_area,2023-03-16,6.45,2023-03-14,6.37,1.2558869701726856,4.866562009419146,31.65236051502146,False,-1.5267,1.1326,1,1,1,100.0,35.522388059701484,35.522388059701484,6.744113029827314,1.2558869701726856,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-1.53%; 状态bottom_area; 底部未确认
8,82.86374012954442,78.73638740208068,002660,茂硕电源,bottom_area,2023-03-16,9.05,2023-03-14,8.93,1.343784994400907,5.375139977603589,28.15768302493966,False,-2.2678,2.9854,2,2,2,100.0,20.21622144792876,24.71428571428572,6.656215005599093,1.343784994400907,历史2/2次成功; 当前距低点1.34%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
9,81.6635512378011,75.88192039902985,300745,欣锐科技,bottom_area,2023-03-16,38.24,2023-03-16,38.17,0.18339009693476627,4.768142520303904,30.117173196631263,False,-4.2084,2.0464,3,3,3,100.0,24.03252591419949,36.150000000000006,7.816609903065235,0.18339009693476627,历史3/3次成功; 当前距低点0.18%; 最新日涨幅-4.21%; 状态bottom_area; 底部未确认
10,79.99015111385737,75.59240788280029,002645,华宏科技,bottom_area,2023-03-16,15.25,2023-03-14,15.09,1.0603048376408226,3.9098740888005294,27.936962750716337,False,-0.974,0.7057,1,1,1,100.0,16.50485436893203,16.50485436893203,6.939695162359177,1.0603048376408226,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-0.97%; 状态bottom_area; 底部未确认
11,78.57674316625578,72.75624367245905,600152,维科技术,bottom_area,2023-03-16,11.04,2023-03-16,11.04,0.0,2.5362318840579814,27.795945062132116,False,-2.7313,2.3738,2,2,2,100.0,23.6894821099949,24.87644151565074,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.73%; 状态bottom_area; 底部未确认
12,77.8711398903397,72.78170719360529,000887,中鼎股份,bottom_area,2023-03-16,12.39,2023-03-16,12.33,0.48661800486618406,3.5685320356853163,27.213695395513582,False,-2.2871,1.3248,2,2,2,100.0,17.53331314354936,23.84615384615385,7.513381995133816,0.48661800486618406,历史2/2次成功; 当前距低点0.49%; 最新日涨幅-2.29%; 状态bottom_area; 底部未确认
13,76.09109461000843,70.8472562637652,300473,德尔股份,bottom_area,2023-03-16,17.38,2023-03-16,17.33,0.28851702250433187,3.519907674552816,30.120967741935495,False,-1.8634,2.5469,1,1,1,100.0,21.37137137137137,21.37137137137137,7.711482977495668,0.28851702250433187,历史1/1次成功; 当前距低点0.29%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
14,73.82437680439659,68.63715995028168,688116,天奈科技,bottom_area,2023-03-16,65.8,2023-03-16,65.66,0.2132196162046917,3.5333536399634595,28.216901716409755,False,-2.1998,1.1878,1,1,1,100.0,8.566132662518203,8.566132662518203,7.786780383795308,0.2132196162046917,历史1/1次成功; 当前距低点0.21%; 最新日涨幅-2.20%; 状态bottom_area; 底部未确认
15,73.21062270193798,68.4229043275064,300427,红相股份,confirmed_rebound,2023-03-16,14.52,2023-03-16,14.45,0.4844290657439466,19.584775086505203,29.06234658811979,False,-15.3846,5.9801,1,1,1,100.0,31.168831168831172,31.168831168831172,7.515570934256053,0.4844290657439466,历史1/1次成功; 当前距低点0.48%; 最新日涨幅-15.38%; 状态confirmed_rebound; 底部未确认
16,72.47054319877188,68.19757522581116,605369,拱东医疗,confirmed_rebound,2023-03-16,79.15,2023-03-16,78.49,0.8408714485921911,12.141674098611292,30.137961726746777,False,-9.2421,13.4164,2,2,2,100.0,17.66001144409338,20.707596253902192,7.159128551407809,0.8408714485921911,历史2/2次成功; 当前距低点0.84%; 最新日涨幅-9.24%; 状态confirmed_rebound; 底部未确认
17,72.12968302168333,67.49949144633253,605128,上海沿浦,bottom_area,2023-03-16,41.95,2023-03-14,41.72,0.5512943432406615,6.327900287631833,29.88235294117647,False,-3.4078,1.6502,1,1,1,100.0,16.80883090817863,16.80883090817863,7.448705656759339,0.5512943432406615,历史1/1次成功; 当前距低点0.55%; 最新日涨幅-3.41%; 状态bottom_area; 底部未确认
18,71.94130423188066,67.57922353866968,300751,迈为股份,bottom_area,2023-03-16,325.75,2023-03-16,323.33,0.7484613243435548,3.6093155599542315,29.075633938755818,False,-2.7873,1.0731,1,1,1,100.0,9.439329882650446,9.439329882650446,7.2515386756564455,0.7484613243435548,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-2.79%; 状态bottom_area; 底部未确认
19,71.77101313454105,67.42369433558962,002767,先锋电子,bottom_area,2023-03-16,13.4,2023-03-14,13.3,0.7518796992481176,4.887218045112771,29.963138493944168,False,-2.4035,1.4373,1,1,1,100.0,8.645054031587705,8.645054031587705,7.248120300751883,0.7518796992481176,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-2.40%; 状态bottom_area; 底部未确认
