rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.60982105697467,76.93542146526089,300676,华大基因,bottom_area,2022-04-22,68.19,2022-04-22,67.5,1.0222222222222188,4.222222222222214,27.792041078305523,False,-2.5857,1.4268,1,1,1,100.0,23.258538343696497,23.258538343696497,18.97777777777778,1.0222222222222188,历史1/1次成功; 当前距低点1.02%; 最新日涨幅-2.59%; 状态bottom_area; 底部未确认
2,89.71109702031873,75.71785901714938,300624,万兴科技,bottom_area,2022-04-22,30.41,2022-04-22,30.2,0.6953642384105989,5.463576158940405,32.34767025089606,False,-2.5633,1.7801,2,2,2,100.0,35.87790043400834,51.195680123425035,19.304635761589402,0.6953642384105989,历史2/2次成功; 当前距低点0.70%; 最新日涨幅-2.56%; 状态bottom_area; 底部未确认
3,89.61322426280451,75.81651479950517,300649,杭州园林,bottom_area,2022-04-22,23.19,2022-04-22,23.0,0.8260869565217446,6.217391304347824,31.506849315068493,False,-3.7759,4.8192,2,2,2,100.0,48.22576914179969,71.60305343511452,19.173913043478258,0.8260869565217446,历史2/2次成功; 当前距低点0.83%; 最新日涨幅-3.78%; 状态bottom_area; 底部未确认
4,89.19652225746525,76.58382767494895,002537,海联金汇,bottom_area,2022-04-22,8.1,2022-04-22,7.97,1.6311166875784175,5.144291091593488,31.17443868739206,False,-2.7611,6.5095,1,1,1,100.0,28.832116788321155,28.832116788321155,18.368883312421584,1.6311166875784175,历史1/1次成功; 当前距低点1.63%; 最新日涨幅-2.76%; 状态bottom_area; 底部未确认
5,86.72732333696341,73.32587148457195,688089,嘉必优,bottom_area,2022-04-22,29.36,2022-04-22,29.13,0.7895640233436335,2.986611740473742,28.742661448140904,False,-2.3287,1.1116,1,1,1,100.0,40.83912611717973,40.83912611717973,19.210435976656367,0.7895640233436335,历史1/1次成功; 当前距低点0.79%; 最新日涨幅-2.33%; 状态bottom_area; 底部未确认
6,85.04517719325963,73.76491311379958,002819,东方中科,bottom_area,2022-04-22,24.3,2022-04-22,23.78,2.1867115222876348,8.915054667788045,28.993729471484027,False,-2.4096,0.5751,1,1,1,100.0,20.487179487179493,20.487179487179493,17.813288477712366,2.1867115222876348,历史1/1次成功; 当前距低点2.19%; 最新日涨幅-2.41%; 状态bottom_area; 底部未确认
7,84.56011854360622,71.03924286805912,002235,安妮股份,bottom_area,2022-04-22,4.55,2022-04-22,4.53,0.4415011037527499,3.752759381898453,32.28699551569507,False,-1.7279,5.3879,1,1,1,100.0,24.27884615384615,24.27884615384615,19.55849889624725,0.4415011037527499,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-1.73%; 状态bottom_area; 底部未确认
8,82.59216352742934,69.99335892155028,002261,拓维信息,bottom_area,2022-04-22,5.5,2022-04-22,5.45,0.9174311926605472,2.7522935779816415,27.81456953642384,False,-1.4337,1.2502,1,1,1,100.0,24.489795918367328,24.489795918367328,19.082568807339452,0.9174311926605472,历史1/1次成功; 当前距低点0.92%; 最新日涨幅-1.43%; 状态bottom_area; 底部未确认
9,81.39442105263159,67.82868421052632,603363,傲农生物,bottom_area,2022-04-22,20.25,2022-04-22,20.25,0.0,7.5061728395061715,28.922428922428917,False,-10.0,2.9383,1,1,1,100.0,24.078947368421055,24.078947368421055,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
10,72.00997376327915,61.71816195395524,603236,移远通信,bottom_area,2022-04-22,139.63,2022-04-22,137.52,1.534322280395568,4.072134962187314,28.060263653483986,False,-2.4385,0.9572,1,2,1,50.0,39.389337383102855,39.389337383102855,18.465677719604436,1.534322280395568,历史1/2次成功; 当前距低点1.53%; 最新日涨幅-2.44%; 状态bottom_area; 底部未确认
11,66.84638328610325,57.80761904761905,600418,江淮汽车,bottom_area,2022-04-22,8.57,2022-04-22,8.4,2.023809523809523,3.9285714285714293,30.578512396694208,False,-0.3488,1.7573,1,2,1,50.0,24.365079365079367,24.365079365079367,17.976190476190478,2.023809523809523,历史1/2次成功; 当前距低点2.02%; 最新日涨幅-0.35%; 状态bottom_area; 底部未确认
12,63.26304490625189,52.97637093775565,300602,飞荣达,bottom_area,2022-04-22,11.33,2022-04-22,11.3,0.2654867256637111,3.4513274336283075,30.3758471965496,False,-3.1624,1.1553,1,2,1,50.0,26.890756302520995,26.890756302520995,19.73451327433629,0.2654867256637111,历史1/2次成功; 当前距低点0.27%; 最新日涨幅-3.16%; 状态bottom_area; 底部未确认
13,62.89330463559026,53.11545122706385,300340,科恒股份,bottom_area,2022-04-22,11.06,2022-04-22,10.98,0.7285974499089259,3.8251366120218573,27.858081471747703,False,-2.6408,1.9592,1,3,1,33.33333333333333,42.54473161033797,42.54473161033797,19.271402550091075,0.7285974499089259,历史1/3次成功; 当前距低点0.73%; 最新日涨幅-2.64%; 状态bottom_area; 底部未确认
14,60.37828571428572,50.3152380952381,300542,新晨科技,bottom_area,2022-04-22,10.32,2022-04-22,10.32,0.0,5.523255813953491,29.218106995884774,False,-3.5514,2.0885,1,2,1,50.0,21.587301587301592,21.587301587301592,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-3.55%; 状态bottom_area; 底部未确认
15,60.10251256281407,50.085427135678394,002806,华锋股份,bottom_area,2022-04-22,10.21,2022-04-22,10.21,0.0,10.088148873653275,30.402181322426713,False,-9.4055,10.4522,1,2,1,50.0,20.35175879396985,20.35175879396985,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-9.41%; 状态bottom_area; 底部未确认
