rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.34056796788353,79.37311911461215,300727,润禾材料,bottom_area,2021-10-12,27.29,2021-09-29,26.98,1.148999258710151,7.746478873239436,30.76725686425455,True,-3.364,2.8813,2,2,2,100.0,22.273319486404827,26.812499999999993,13.851000741289848,1.148999258710151,历史2/2次成功; 当前距低点1.15%; 最新日涨幅-3.36%; 状态bottom_area; 底部已确认
2,87.67581297091725,77.94305372926893,000426,兴业银锡,bottom_area,2021-10-12,7.7,2021-09-29,7.61,1.182654402102495,4.862023653088043,30.628988149498632,False,-2.6549,1.5365,1,1,1,100.0,30.64250411861613,30.64250411861613,13.817345597897503,1.182654402102495,历史1/1次成功; 当前距低点1.18%; 最新日涨幅-2.65%; 状态bottom_area; 底部未确认
3,87.10064196375464,77.23900979205634,002833,弘亚数控,bottom_area,2021-10-12,30.82,2021-10-12,30.5,1.0491803278688534,5.5737704918032875,29.96555683122847,False,-3.8077,2.1699,1,1,1,100.0,35.43624161073825,35.43624161073825,13.950819672131146,1.0491803278688534,历史1/1次成功; 当前距低点1.05%; 最新日涨幅-3.81%; 状态bottom_area; 底部未确认
4,86.52463726117446,76.90020947595626,688355,明志科技,bottom_area,2021-10-12,24.23,2021-10-12,23.95,1.169102296450944,4.759916492693113,31.23743898937697,False,-4.4181,2.929,1,1,1,100.0,35.08474576271185,35.08474576271185,13.830897703549056,1.169102296450944,历史1/1次成功; 当前距低点1.17%; 最新日涨幅-4.42%; 状态bottom_area; 底部未确认
5,84.96523140809863,76.02831782254309,000612,焦作万方,bottom_area,2021-10-12,7.95,2021-10-12,7.83,1.5325670498084305,7.662835249042141,28.68852459016394,False,-3.8694,3.2894,2,2,2,100.0,18.185863957560837,20.790629575402633,13.467432950191569,1.5325670498084305,历史2/2次成功; 当前距低点1.53%; 最新日涨幅-3.87%; 状态bottom_area; 底部未确认
6,83.47577057516402,74.0736250857416,300516,久之洋,bottom_area,2021-10-12,28.89,2021-09-30,28.58,1.084674597620722,6.0531840447865655,27.590575120344567,False,-3.9561,0.603,1,1,1,100.0,18.853135313531354,18.853135313531354,13.915325402379278,1.084674597620722,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-3.96%; 状态bottom_area; 底部未确认
7,83.39992285858577,76.21848753538177,300447,全信股份,bottom_area,2021-10-12,16.96,2021-09-29,16.52,2.6634382566586035,9.564164648910422,28.17391304347826,True,-1.6812,2.0979,1,1,1,100.0,30.328638497652584,30.328638497652584,12.336561743341395,2.6634382566586035,历史1/1次成功; 当前距低点2.66%; 最新日涨幅-1.68%; 状态bottom_area; 底部已确认
8,83.11306560329972,76.8062027833002,300402,宝色股份,bottom_area,2021-10-12,25.97,2021-10-12,25.15,3.2604373757455285,7.07753479125249,31.657608695652172,False,-2.0,8.5205,1,1,1,100.0,61.64021164021163,61.64021164021163,11.739562624254472,3.2604373757455285,历史1/1次成功; 当前距低点3.26%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
9,80.97113748595696,71.1627607454725,603113,金能科技,bottom_area,2021-10-12,15.9,2021-10-12,15.81,0.5692599620493349,9.044908285894989,29.261744966442954,False,-6.5256,3.142,2,2,2,100.0,20.057384187876238,20.395634379263292,14.430740037950665,0.5692599620493349,历史2/2次成功; 当前距低点0.57%; 最新日涨幅-6.53%; 状态bottom_area; 底部未确认
10,80.71381902568069,73.94981685333846,300521,爱司凯,bottom_area,2021-10-12,15.06,2021-10-08,14.65,2.79863481228669,8.873720136518763,29.192846785886907,True,-2.1442,0.6175,1,1,1,100.0,19.788732394366214,19.788732394366214,12.201365187713309,2.79863481228669,历史1/1次成功; 当前距低点2.80%; 最新日涨幅-2.14%; 状态bottom_area; 底部已确认
11,80.0522811544514,72.73679854242582,000983,山西焦煤,bottom_area,2021-10-12,10.44,2021-10-12,10.2,2.3529411764705905,11.666666666666679,28.471248246844322,False,-5.9459,3.6938,1,1,1,100.0,27.212389380530986,27.212389380530986,12.647058823529408,2.3529411764705905,历史1/1次成功; 当前距低点2.35%; 最新日涨幅-5.95%; 状态bottom_area; 底部未确认
12,78.40762270035422,71.22718875312543,600409,三友化工,bottom_area,2021-10-12,10.49,2021-10-12,10.25,2.3414634146341484,7.219512195121953,28.12061711079944,False,-4.0256,3.4552,1,1,1,100.0,18.95551257253386,18.95551257253386,12.658536585365852,2.3414634146341484,历史1/1次成功; 当前距低点2.34%; 最新日涨幅-4.03%; 状态bottom_area; 底部未确认
13,76.90684711669631,71.47758719460826,001212,中旗新材,bottom_area,2021-10-12,31.07,2021-10-12,30.0,3.5666666666666673,6.733333333333344,32.65993265993266,False,-2.9972,3.8281,1,1,1,100.0,25.105307497893843,25.105307497893843,11.433333333333332,3.5666666666666673,历史1/1次成功; 当前距低点3.57%; 最新日涨幅-3.00%; 状态bottom_area; 底部未确认
14,76.82483708201174,71.65346695557963,002127,南极电商,bottom_area,2021-10-12,6.63,2021-09-30,6.39,3.7558685446009425,8.137715179968708,32.665964172813496,True,-1.4859,1.9518,1,1,1,100.0,19.17659804983748,19.17659804983748,11.244131455399057,3.7558685446009425,历史1/1次成功; 当前距低点3.76%; 最新日涨幅-1.49%; 状态bottom_area; 底部已确认
