rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.44106424397013,81.34905502617029,002338,奥普光电,bottom_area,2025-11-12,51.01,2025-11-12,50.4,1.2103174603174591,2.2420634920634974,28.35820895522388,False,-0.2737,1.3048,3,3,3,100.0,15.960101267172554,20.995288574793882,8.789682539682541,1.2103174603174591,历史3/3次成功; 当前距低点1.21%; 最新日涨幅-0.27%; 状态bottom_area; 底部未确认
2,85.31192712168341,83.4821806954811,002678,珠江钢琴,bottom_area,2025-11-12,5.11,2025-11-03,4.92,3.861788617886187,4.674796747967489,29.613733905579405,False,0.9881,1.7771,4,4,4,100.0,20.79063841000859,35.5191256830601,6.138211382113814,3.861788617886187,历史4/4次成功; 当前距低点3.86%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
3,83.79526465392432,76.4031289736437,000661,长春高新,bottom_area,2025-11-12,103.44,2025-11-12,103.28,0.15491866769945448,1.6460108443067418,27.14960852084363,False,-0.2026,2.1857,3,3,3,100.0,16.270664172034742,25.03526756324649,9.845081332300545,0.15491866769945448,历史3/3次成功; 当前距低点0.15%; 最新日涨幅-0.20%; 状态bottom_area; 底部未确认
4,82.30703928436697,75.4036334245785,603809,豪能股份,bottom_area,2025-11-12,12.43,2025-11-12,12.38,0.4038772213247086,3.3117932148626683,27.17647058823529,False,-2.8147,2.2116,2,2,2,100.0,30.615448866660387,31.661442006269603,9.596122778675293,0.4038772213247086,历史2/2次成功; 当前距低点0.40%; 最新日涨幅-2.81%; 状态bottom_area; 底部未确认
5,81.20537344483567,74.94205942784895,002790,瑞尔特,bottom_area,2025-11-12,8.95,2025-11-12,8.88,0.7882882882882714,2.702702702702685,32.829046898638424,False,-1.864,6.0248,1,1,1,100.0,49.512670565302145,49.512670565302145,9.211711711711729,0.7882882882882714,历史1/1次成功; 当前距低点0.79%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
6,80.51393494830796,75.73620168292601,603151,邦基科技,bottom_area,2025-11-12,19.91,2025-11-12,19.56,1.7893660531697413,8.640081799591009,27.474972191323694,False,-7.1795,5.8338,1,1,1,100.0,36.42987249544626,36.42987249544626,8.21063394683026,1.7893660531697413,历史1/1次成功; 当前距低点1.79%; 最新日涨幅-7.18%; 状态bottom_area; 底部未确认
7,80.50901707729294,76.39330601838762,603173,福斯达,bottom_area,2025-11-12,39.61,2025-11-05,38.74,2.2457408363448566,4.775425916365517,29.422481326288942,False,-0.8759,4.0013,1,1,1,100.0,35.34190927555856,35.34190927555856,7.754259163655145,2.2457408363448566,历史1/1次成功; 当前距低点2.25%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
8,79.33440697365032,77.92975228226446,300563,神宇股份,bottom_area,2025-11-12,38.17,2025-10-23,36.68,4.0621592148309755,6.27044711014176,28.776699029126213,False,-0.5731,3.2058,4,4,4,100.0,15.86814673160799,20.477137176938378,5.9378407851690245,4.0621592148309755,历史4/4次成功; 当前距低点4.06%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
9,78.35026976606889,74.92976390574265,688141,杰华特,bottom_area,2025-11-12,40.57,2025-11-12,39.52,2.65688259109311,6.427125506072871,30.666666666666657,False,0.695,5.229,3,4,3,75.0,14.206753835671678,14.416058394160567,7.343117408906891,2.65688259109311,历史3/4次成功; 当前距低点2.66%; 最新日涨幅0.69%; 状态bottom_area; 底部未确认
10,78.29664916018304,71.88069927596048,603759,海天股份,bottom_area,2025-11-12,11.73,2025-11-12,11.67,0.5141388174807241,7.36932305055698,29.14389799635701,False,-9.2105,12.564,1,1,1,100.0,39.90825688073395,39.90825688073395,9.485861182519278,0.5141388174807241,历史1/1次成功; 当前距低点0.51%; 最新日涨幅-9.21%; 状态bottom_area; 底部未确认
11,77.00357353997532,71.24731204827053,002181,粤传媒,bottom_area,2025-11-12,9.84,2025-11-12,9.75,0.9230769230769216,4.410256410256407,30.30736240171551,False,-2.8628,7.8203,2,2,2,100.0,14.634018456375832,17.187499999999993,9.07692307692308,0.9230769230769216,历史2/2次成功; 当前距低点0.92%; 最新日涨幅-2.86%; 状态bottom_area; 底部未确认
12,73.18055983157453,71.16463335762143,605398,新炬网络,bottom_area,2025-11-12,29.3,2025-10-13,28.3,3.53356890459364,9.222614840989397,28.172588832487307,True,-2.6255,2.3757,3,4,3,75.0,17.990163763951127,22.15700660308142,6.466431095406361,3.53356890459364,历史3/4次成功; 当前距低点3.53%; 最新日涨幅-2.63%; 状态bottom_area; 底部已确认
13,72.13350073904806,66.10572436150066,002123,梦网科技,bottom_area,2025-11-12,11.91,2025-11-12,11.86,0.4215851602023669,2.2765598650927603,31.642651296829982,False,-1.8137,2.3707,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,9.578414839797633,0.4215851602023669,历史2/3次成功; 当前距低点0.42%; 最新日涨幅-1.81%; 状态bottom_area; 底部未确认
14,71.10815722198554,64.64377929271411,688631,莱斯信息,confirmed_rebound,2025-11-12,66.8,2025-11-12,66.8,0.0,13.113772455089828,29.00414496758423,False,-12.1977,8.9806,1,1,1,100.0,17.17085641244142,17.17085641244142,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-12.20%; 状态confirmed_rebound; 底部未确认
