rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.97304143725249,89.21338978532087,603305,旭升集团,bottom_area,2025-10-20,14.83,2025-10-17,14.64,1.29781420765027,5.669398907103825,27.881773399014776,False,0.3383,3.4756,6,6,6,100.0,20.174226767545644,32.41061130334487,6.70218579234973,1.29781420765027,历史6/6次成功; 当前距低点1.30%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
2,92.19175798003312,87.90096700178279,300563,神宇股份,bottom_area,2025-10-20,37.35,2025-10-17,36.79,1.5221527589018817,7.039956509921183,28.563106796116504,False,1.5222,3.59,4,4,4,100.0,15.86814673160799,20.477137176938378,6.477847241098118,1.5221527589018817,历史4/4次成功; 当前距低点1.52%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
3,88.78601453514992,84.83292411507237,002674,兴业科技,bottom_area,2025-10-20,13.7,2025-10-20,13.48,1.6320474777447986,2.8189910979228414,27.52688172043011,False,0.4399,1.6082,2,2,2,100.0,34.05372238887374,36.52849740932641,6.367952522255202,1.6320474777447986,历史2/2次成功; 当前距低点1.63%; 最新日涨幅0.44%; 状态bottom_area; 底部未确认
4,88.78414001884485,84.00688123078115,688036,传音控股,bottom_area,2025-10-20,75.53,2025-10-20,74.69,1.1246485473289642,4.244209398848577,28.79885605338418,False,-1.4097,1.0751,4,4,4,100.0,12.5326877348988,19.148936170212753,6.875351452671036,1.1246485473289642,历史4/4次成功; 当前距低点1.12%; 最新日涨幅-1.41%; 状态bottom_area; 底部未确认
5,88.15971253939078,86.58237034693182,688039,当虹科技,bottom_area,2025-10-20,50.5,2025-10-17,49.0,3.061224489795918,6.448979591836728,30.956742285472732,False,3.0612,3.5749,7,7,7,100.0,27.644957976701654,79.31638913234006,4.938775510204082,3.061224489795918,历史7/7次成功; 当前距低点3.06%; 最新日涨幅3.06%; 状态bottom_area; 底部未确认
6,85.51246227539998,85.32201135719197,300757,罗博特科,bottom_area,2025-10-20,215.04,2025-10-17,207.0,3.8840579710144887,7.8164251207729505,31.606423048965844,True,3.2605,3.9158,8,8,8,100.0,21.7616318876613,74.11052233156698,4.115942028985511,3.8840579710144887,历史8/8次成功; 当前距低点3.88%; 最新日涨幅3.26%; 状态bottom_area; 底部已确认
7,85.05430184768302,83.65758392476519,002269,美邦服饰,confirmed_rebound,2025-10-20,2.3,2025-10-13,2.23,3.1390134529147913,8.520179372197308,30.529595015576323,True,1.3216,4.3653,7,8,7,87.5,40.978680631241446,173.50993377483442,4.860986547085209,3.1390134529147913,历史7/8次成功; 当前距低点3.14%; 最新日涨幅1.32%; 状态confirmed_rebound; 底部已确认
8,84.69854176244587,80.10141696283944,688081,兴图新科,confirmed_rebound,2025-10-20,27.6,2025-10-17,27.3,1.0989010989011014,8.16849816849817,27.777777777777768,False,0.3636,3.4723,2,2,2,100.0,12.29522294803194,15.643397813288473,6.901098901098898,1.0989010989011014,历史2/2次成功; 当前距低点1.10%; 最新日涨幅0.36%; 状态confirmed_rebound; 底部未确认
9,84.52575294665589,81.78604401599326,688603,天承科技,bottom_area,2025-10-20,66.2,2025-10-17,64.72,2.2867737948084117,6.242274412855387,27.976852882261294,False,1.5182,3.7905,1,1,1,100.0,42.364990689013034,42.364990689013034,5.713226205191589,2.2867737948084117,历史1/1次成功; 当前距低点2.29%; 最新日涨幅1.52%; 状态bottom_area; 底部未确认
10,83.97873837050953,78.90688340276385,000700,模塑科技,bottom_area,2025-10-20,9.26,2025-10-17,9.19,0.761697497279655,5.114254624591955,30.060882800608834,False,0.5429,1.9255,2,2,2,100.0,31.363191916997117,52.926829268292686,7.238302502720345,0.761697497279655,历史2/2次成功; 当前距低点0.76%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
11,83.78656377996174,81.58269940652315,002008,大族激光,bottom_area,2025-10-20,35.33,2025-10-17,34.43,2.613999419111236,4.734243392390365,27.698446031079378,False,2.2576,3.1833,3,3,3,100.0,11.949559581165389,14.783821478382144,5.386000580888764,2.613999419111236,历史3/3次成功; 当前距低点2.61%; 最新日涨幅2.26%; 状态bottom_area; 底部未确认
12,83.11678579335621,81.2558671112783,002491,通鼎互联,confirmed_rebound,2025-10-20,5.1,2025-10-13,4.96,2.822580645161284,8.467741935483868,28.01161103047895,True,1.3917,1.8672,2,2,2,100.0,30.437370872290508,52.39520958083833,5.177419354838716,2.822580645161284,历史2/2次成功; 当前距低点2.82%; 最新日涨幅1.39%; 状态confirmed_rebound; 底部已确认
13,82.68867371428975,80.18110646098573,002453,华软科技,bottom_area,2025-10-20,6.83,2025-10-17,6.67,2.398800599700152,5.6971514242878545,31.65983606557377,False,0.5891,6.5413,2,2,2,100.0,18.44285929194665,28.60169491525425,5.601199400299849,2.398800599700152,历史2/2次成功; 当前距低点2.40%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
14,81.81140941154453,79.55100529303213,000096,广聚能源,bottom_area,2025-10-20,11.29,2025-09-23,11.01,2.5431425976385045,6.176203451407809,28.039215686274517,False,1.4376,1.1448,2,2,2,100.0,16.82457212713937,21.149144254278735,5.4568574023614955,2.5431425976385045,历史2/2次成功; 当前距低点2.54%; 最新日涨幅1.44%; 状态bottom_area; 底部未确认
15,81.00045370758414,79.3952377996429,600706,曲江文旅,bottom_area,2025-10-20,10.09,2025-10-13,9.8,2.959183673469379,4.59183673469387,31.420573827851634,False,2.4365,4.1021,2,2,2,100.0,21.086970834156286,24.578313253012034,5.040816326530622,2.959183673469379,历史2/2次成功; 当前距低点2.96%; 最新日涨幅2.44%; 状态bottom_area; 底部未确认
16,80.63319537502883,79.71854237288136,688621,阳光诺和,confirmed_rebound,2025-10-20,61.01,2025-10-14,59.0,3.4067796610169463,8.322033898305078,31.355439208842352,True,1.5141,3.0866,1,1,1,100.0,46.0,46.0,4.593220338983054,3.4067796610169463,历史1/1次成功; 当前距低点3.41%; 最新日涨幅1.51%; 状态confirmed_rebound; 底部已确认
17,80.54358392804602,78.26049578046552,300056,中创环保,confirmed_rebound,2025-10-20,10.64,2025-10-15,10.38,2.5048169556840056,8.188824662813097,29.001367989056074,True,0.0,1.8811,1,1,1,100.0,27.10472279260781,27.10472279260781,5.495183044315994,2.5048169556840056,历史1/1次成功; 当前距低点2.50%; 最新日涨幅0.00%; 状态confirmed_rebound; 底部已确认
18,80.49844971661976,77.77678804858745,300049,福瑞医科,confirmed_rebound,2025-10-20,66.55,2025-10-13,65.11,2.211641836891411,8.692981108892637,28.19805910895457,True,0.0601,1.804,1,1,1,100.0,20.910384068278802,20.910384068278802,5.788358163108589,2.211641836891411,历史1/1次成功; 当前距低点2.21%; 最新日涨幅0.06%; 状态confirmed_rebound; 底部已确认
19,80.32999552658958,81.8063663125672,605398,新炬网络,bottom_area,2025-10-20,29.7,2025-10-13,28.3,4.946996466431091,7.102473498233208,28.172588832487307,True,1.0892,1.0395,4,4,4,100.0,15.889883096935947,22.15700660308142,3.05300353356891,4.946996466431091,历史4/4次成功; 当前距低点4.95%; 最新日涨幅1.09%; 状态bottom_area; 底部已确认
20,78.53913846325639,74.62420045055119,601869,长飞光纤,bottom_area,2025-10-20,82.33,2025-10-20,81.24,1.341703594288532,5.78532742491384,32.300000000000004,False,-0.3269,3.1572,1,1,1,100.0,14.748842180263628,14.748842180263628,6.658296405711468,1.341703594288532,历史1/1次成功; 当前距低点1.34%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
21,78.38256736905315,74.5024402780615,300459,汤姆猫,bottom_area,2025-10-20,4.47,2025-10-17,4.41,1.360544217687066,4.081632653061218,29.326923076923077,False,1.3605,1.8319,4,6,4,66.66666666666666,14.074271116781395,19.047619047619044,6.639455782312933,1.360544217687066,历史4/6次成功; 当前距低点1.36%; 最新日涨幅1.36%; 状态bottom_area; 底部未确认
22,76.28595588338467,73.50351071036766,002617,露笑科技,bottom_area,2025-10-20,8.39,2025-10-17,8.22,2.0681265206812642,5.596107055961059,29.743589743589734,False,1.9441,3.1251,4,6,4,66.66666666666666,17.377271563732705,36.60589060308556,5.931873479318736,2.0681265206812642,历史4/6次成功; 当前距低点2.07%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
23,75.19309268312766,75.0430066697881,000428,华天酒店,bottom_area,2025-10-20,3.2,2025-10-13,3.08,3.8961038961038996,5.194805194805199,28.70370370370371,False,1.9108,1.6912,4,5,4,80.0,19.17270727368273,28.045977011494273,4.1038961038961,3.8961038961038996,历史4/5次成功; 当前距低点3.90%; 最新日涨幅1.91%; 状态bottom_area; 底部未确认
24,75.02183722720518,70.12562705135221,002123,梦网科技,bottom_area,2025-10-20,12.26,2025-10-17,12.2,0.4918032786885287,2.8688524590164053,29.68299711815563,False,0.4918,1.5476,2,3,2,66.66666666666666,36.399311075781654,54.50450450450449,7.508196721311472,0.4918032786885287,历史2/3次成功; 当前距低点0.49%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
25,74.60046688837983,75.43019907824048,688662,富信科技,bottom_area,2025-10-20,43.2,2025-10-17,41.31,4.575163398692812,7.21374969740982,28.529411764705877,True,4.3478,2.7262,1,1,1,100.0,27.051460361613344,27.051460361613344,3.424836601307188,4.575163398692812,历史1/1次成功; 当前距低点4.58%; 最新日涨幅4.35%; 状态bottom_area; 底部已确认
26,74.40187433923106,74.71079086776292,301137,哈焊华通,bottom_area,2025-10-20,44.5,2025-10-20,42.7,4.215456674473061,4.777517564402808,27.627118644067792,False,3.5124,7.5088,1,1,1,100.0,27.967914438502678,27.967914438502678,3.7845433255269394,4.215456674473061,历史1/1次成功; 当前距低点4.22%; 最新日涨幅3.51%; 状态bottom_area; 底部未确认
27,73.73909789345974,74.12490462597083,300732,设研院,bottom_area,2025-10-20,8.3,2025-10-13,7.96,4.271356783919607,7.663316582914577,28.673835125448026,True,1.3431,2.4472,3,4,3,75.0,20.47633383498678,33.58348968105066,3.7286432160803926,4.271356783919607,历史3/4次成功; 当前距低点4.27%; 最新日涨幅1.34%; 状态bottom_area; 底部已确认
28,73.56509262699302,72.6864530427556,688519,南亚新材,confirmed_rebound,2025-10-20,65.85,2025-10-17,63.7,3.3751962323390763,19.466248037676596,28.103837471783287,True,-0.9029,1.9872,1,1,1,100.0,30.27903469079939,30.27903469079939,4.624803767660924,3.3751962323390763,历史1/1次成功; 当前距低点3.38%; 最新日涨幅-0.90%; 状态confirmed_rebound; 底部已确认
29,73.35657958116163,73.67636276621201,301320,豪江智能,bottom_area,2025-10-20,17.51,2025-10-13,16.8,4.226190476190482,7.8571428571428585,29.411764705882355,True,2.3977,3.2741,1,1,1,100.0,13.34450027917365,13.34450027917365,3.773809523809519,4.226190476190482,历史1/1次成功; 当前距低点4.23%; 最新日涨幅2.40%; 状态bottom_area; 底部已确认
30,72.92807428955845,72.21108479513863,601669,中国电建,confirmed_rebound,2025-10-20,5.64,2025-09-29,5.45,3.4862385321100824,9.174311926605503,30.484693877551017,True,-0.7042,1.1105,2,2,2,100.0,12.417788431987212,16.457680250783696,4.513761467889918,3.4862385321100824,历史2/2次成功; 当前距低点3.49%; 最新日涨幅-0.70%; 状态confirmed_rebound; 底部已确认
31,71.97701647130134,67.61869350573022,688312,燕麦科技,bottom_area,2025-10-20,26.76,2025-10-20,26.56,0.7530120481927818,4.2921686746987975,28.21621621621622,False,-1.2546,1.5464,1,1,1,100.0,9.707317073170724,9.707317073170724,7.246987951807219,0.7530120481927818,历史1/1次成功; 当前距低点0.75%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
