rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.3965106281663,77.33533187163644,002795,永和智控,bottom_area,2022-12-22,8.74,2022-12-22,8.65,1.040462427745663,4.5086705202312,29.67479674796748,False,-2.4554,2.3922,1,1,1,100.0,25.632183908045985,25.632183908045985,8.959537572254337,1.040462427745663,历史1/1次成功; 当前距低点1.04%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
2,83.13147155073223,75.67460067046889,300707,威唐工业,bottom_area,2022-12-22,14.37,2022-12-22,14.36,0.06963788300835506,4.317548746518113,28.056112224448903,False,-3.0364,1.3268,3,3,3,100.0,21.523521740472766,24.351297405189634,9.930362116991645,0.06963788300835506,历史3/3次成功; 当前距低点0.07%; 最新日涨幅-3.04%; 状态bottom_area; 底部未确认
3,82.5256184287981,75.02328948072554,300624,万兴科技,bottom_area,2022-12-22,28.5,2022-12-22,28.5,0.0,2.701754385964911,31.964669372165194,False,-1.3158,1.2372,2,2,2,100.0,35.87790043400834,51.195680123425035,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
4,81.12269932286596,73.86958557134007,300542,新晨科技,bottom_area,2022-12-22,11.59,2022-12-22,11.58,0.08635578583764929,4.576856649395504,27.078085642317383,False,-2.4411,2.3451,2,2,2,100.0,18.47568152177371,21.587301587301592,9.913644214162352,0.08635578583764929,历史2/2次成功; 当前距低点0.09%; 最新日涨幅-2.44%; 状态bottom_area; 底部未确认
5,80.25658388822637,77.97678684951413,002395,双象股份,bottom_area,2022-12-22,10.09,2022-12-20,9.75,3.4871794871794854,5.230769230769228,28.62371888726208,False,0.1986,0.9616,1,1,1,100.0,36.59976387249114,36.59976387249114,6.5128205128205146,3.4871794871794854,历史1/1次成功; 当前距低点3.49%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
6,79.23866150177295,72.33232540990863,002534,西子洁能,bottom_area,2022-12-22,13.94,2022-12-22,13.91,0.2156721782889961,4.529115744069008,28.812691914022516,False,-3.2616,0.7605,2,2,2,100.0,22.01106438928788,26.532951289398277,9.784327821711004,0.2156721782889961,历史2/2次成功; 当前距低点0.22%; 最新日涨幅-3.26%; 状态bottom_area; 底部未确认
7,78.9929817909323,72.6748995443833,300360,炬华科技,bottom_area,2022-12-22,12.86,2022-12-22,12.78,0.6259780907668238,5.633802816901413,29.702970297029708,False,-4.1014,2.2749,2,2,2,100.0,28.882417157697027,45.323741007194236,9.374021909233177,0.6259780907668238,历史2/2次成功; 当前距低点0.63%; 最新日涨幅-4.10%; 状态bottom_area; 底部未确认
8,78.91365207759391,73.3921565044474,300434,金石亚药,confirmed_rebound,2022-12-22,16.11,2022-12-22,15.92,1.1934673366834139,12.939698492462314,31.26079447322971,False,-9.3416,11.1109,1,1,1,100.0,26.7379679144385,26.7379679144385,8.806532663316586,1.1934673366834139,历史1/1次成功; 当前距低点1.19%; 最新日涨幅-9.34%; 状态confirmed_rebound; 底部未确认
9,78.54621613881591,72.73165289256198,002388,新亚制程,bottom_area,2022-12-22,7.33,2022-12-22,7.26,0.9641873278236954,6.749311294765843,30.85714285714286,False,-4.6814,3.8036,1,1,1,100.0,50.505050505050505,50.505050505050505,9.035812672176306,0.9641873278236954,历史1/1次成功; 当前距低点0.96%; 最新日涨幅-4.68%; 状态bottom_area; 底部未确认
10,78.50341061012381,71.83096113935873,300667,必创科技,bottom_area,2022-12-22,14.77,2022-12-22,14.72,0.339673913043471,3.668478260869559,28.404669260700384,False,-1.336,1.3001,1,1,1,100.0,27.287191726332534,27.287191726332534,9.660326086956529,0.339673913043471,历史1/1次成功; 当前距低点0.34%; 最新日涨幅-1.34%; 状态bottom_area; 底部未确认
11,78.40501689378695,71.89275808928656,000810,创维数字,bottom_area,2022-12-22,13.38,2022-12-22,13.32,0.4504504504504542,3.228228228228226,28.0388978930308,False,-1.6899,1.1286,2,2,2,100.0,12.310672668352654,12.689901697944595,9.549549549549546,0.4504504504504542,历史2/2次成功; 当前距低点0.45%; 最新日涨幅-1.69%; 状态bottom_area; 底部未确认
12,76.83237271558343,70.14720303077164,603289,泰瑞机器,bottom_area,2022-12-22,8.94,2022-12-22,8.92,0.22421524663676654,4.48430493273543,29.093799682034977,False,-3.1419,2.0743,1,1,1,100.0,27.034482758620705,27.034482758620705,9.775784753363235,0.22421524663676654,历史1/1次成功; 当前距低点0.22%; 最新日涨幅-3.14%; 状态bottom_area; 底部未确认
13,76.4613196814449,72.65186438746218,688248,南网科技,confirmed_rebound,2022-12-22,47.24,2022-12-22,46.17,2.317522200563137,12.627247130171101,28.8597842835131,False,-7.3725,10.2103,2,2,2,100.0,19.869973143796457,28.835690968443974,7.682477799436864,2.317522200563137,历史2/2次成功; 当前距低点2.32%; 最新日涨幅-7.37%; 状态confirmed_rebound; 底部未确认
14,76.11593255354528,69.67370484524302,001332,锡装股份,bottom_area,2022-12-22,58.51,2022-12-22,58.3,0.36020583190394656,5.077186963979418,30.204716868191074,False,-3.7664,5.273,1,1,1,100.0,26.155774956903304,26.155774956903304,9.639794168096055,0.36020583190394656,历史1/1次成功; 当前距低点0.36%; 最新日涨幅-3.77%; 状态bottom_area; 底部未确认
15,76.02197423662588,69.26080082295634,603318,水发燃气,bottom_area,2022-12-22,8.82,2022-12-22,8.81,0.11350737797956624,4.540295119182751,28.54825628548256,False,-2.9703,3.5567,1,1,1,100.0,10.696761530912658,10.696761530912658,9.886492622020434,0.11350737797956624,历史1/1次成功; 当前距低点0.11%; 最新日涨幅-2.97%; 状态bottom_area; 底部未确认
16,75.40898783912425,69.13163365872605,600222,太龙药业,bottom_area,2022-12-22,6.85,2022-12-22,6.82,0.4398826979472047,3.8123167155425186,32.94001966568338,False,-2.9745,6.8804,1,1,1,100.0,14.00304414003044,14.00304414003044,9.560117302052795,0.4398826979472047,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-2.97%; 状态bottom_area; 底部未确认
