rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.99193788002387,87.61668135516699,603327,福蓉科技,bottom_area,2022-09-01,17.93,2022-09-01,17.6,1.8749999999999902,3.69318181818181,30.43478260869565,False,0.5045,1.3019,3,3,3,100.0,35.33162018906968,52.609776304888165,8.12500000000001,1.8749999999999902,历史3/3次成功; 当前距低点1.87%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
2,89.18886106584436,85.9485272212842,300480,光力科技,bottom_area,2022-09-01,16.18,2022-08-31,15.7,3.057324840764334,7.770700636942691,29.753914988814323,True,1.5694,2.748,3,3,3,100.0,31.66251536681112,39.69465648854962,6.942675159235668,3.057324840764334,历史3/3次成功; 当前距低点3.06%; 最新日涨幅1.57%; 状态bottom_area; 底部已确认
3,89.14063628220843,82.81770752581292,300340,科恒股份,bottom_area,2022-09-01,12.43,2022-09-01,12.29,1.1391375101708754,3.4987794955248295,27.70588235294118,False,-1.5835,3.9206,3,3,3,100.0,22.983554026895213,42.54473161033797,8.860862489829124,1.1391375101708754,历史3/3次成功; 当前距低点1.14%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
4,88.24129665930208,85.57382796337268,001212,中旗新材,bottom_area,2022-09-01,28.68,2022-08-31,27.74,3.3886085075703,6.0562364816150085,28.72559095580679,False,2.9064,5.0428,3,3,3,100.0,42.90244817544601,82.06521739130437,6.6113914924297,3.3886085075703,历史3/3次成功; 当前距低点3.39%; 最新日涨幅2.91%; 状态bottom_area; 底部未确认
5,87.94491520683474,81.85513229348149,002850,科达利,bottom_area,2022-09-01,112.37,2022-08-31,111.0,1.2342342342342383,6.018018018018024,27.912715937134685,False,0.2498,1.6061,2,2,2,100.0,13.167668535137384,13.44718098343773,8.765765765765762,1.2342342342342383,历史2/2次成功; 当前距低点1.23%; 最新日涨幅0.25%; 状态bottom_area; 底部未确认
6,85.25263160753897,82.83743172477945,603185,弘元绿能,bottom_area,2022-09-01,139.32,2022-09-01,134.62,3.4913088694101835,4.969543901351952,29.065233428179997,False,3.2995,2.3211,3,3,3,100.0,29.449548102336955,43.51028702057404,6.508691130589817,3.4913088694101835,历史3/3次成功; 当前距低点3.49%; 最新日涨幅3.30%; 状态bottom_area; 底部未确认
7,85.00262390522414,79.55714331129572,688045,必易微,bottom_area,2022-09-01,59.9,2022-09-01,59.0,1.525423728813557,3.9830508474576294,28.743961352657006,False,1.1824,6.2231,1,1,1,100.0,21.048975338659265,21.048975338659265,8.474576271186443,1.525423728813557,历史1/1次成功; 当前距低点1.53%; 最新日涨幅1.18%; 状态bottom_area; 底部未确认
8,84.45547265922703,78.63308993274617,002765,蓝黛科技,bottom_area,2022-09-01,8.9,2022-09-01,8.79,1.2514220705347123,4.77815699658705,31.648522550544328,False,-2.0902,3.6423,2,2,2,100.0,18.52866802992104,19.96726677577741,8.748577929465288,1.2514220705347123,历史2/2次成功; 当前距低点1.25%; 最新日涨幅-2.09%; 状态bottom_area; 底部未确认
9,84.19395027070118,78.685934832431,002346,柘中股份,bottom_area,2022-09-01,14.7,2022-09-01,14.49,1.4492753623188341,4.002760524499656,30.0,False,0.2045,1.501,1,1,1,100.0,15.431627196333075,15.431627196333075,8.550724637681165,1.4492753623188341,历史1/1次成功; 当前距低点1.45%; 最新日涨幅0.20%; 状态bottom_area; 底部未确认
10,83.09100887792657,75.59010231244228,688208,道通科技,bottom_area,2022-09-01,27.32,2022-09-01,27.31,0.03661662394727779,6.810692054192614,28.954214360041625,False,-4.7752,3.3434,3,3,3,100.0,20.66445276904346,34.72341892124764,9.963383376052724,0.03661662394727779,历史3/3次成功; 当前距低点0.04%; 最新日涨幅-4.78%; 状态bottom_area; 底部未确认
11,82.80082623184701,75.37109730484931,688135,利扬芯片,bottom_area,2022-09-01,29.48,2022-09-01,29.46,0.06788866259334547,3.428377460964012,27.259259259259256,False,-1.6021,1.2762,2,2,2,100.0,26.321954062162078,40.41850220264317,9.932111337406655,0.06788866259334547,历史2/2次成功; 当前距低点0.07%; 最新日涨幅-1.60%; 状态bottom_area; 底部未确认
12,82.64118246955174,76.71450249351821,688237,超卓航科,bottom_area,2022-09-01,55.4,2022-09-01,54.8,1.0948905109489078,4.72627737226278,29.015544041450784,False,-1.9295,4.9206,1,1,1,100.0,22.961574507966244,22.961574507966244,8.905109489051092,1.0948905109489078,历史1/1次成功; 当前距低点1.09%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
13,82.52460834067973,77.88984094557132,002534,西子洁能,bottom_area,2022-09-01,18.15,2022-09-01,17.8,1.9662921348314484,3.8764044943820095,27.964386887899632,False,0.3317,1.857,1,1,1,100.0,17.489177489177486,17.489177489177486,8.033707865168552,1.9662921348314484,历史1/1次成功; 当前距低点1.97%; 最新日涨幅0.33%; 状态bottom_area; 底部未确认
14,82.51066884138712,76.83955801104975,300611,美力科技,confirmed_rebound,2022-09-01,9.62,2022-08-31,9.5,1.2631578947368338,11.789473684210519,31.70381020848311,False,-1.636,2.6969,1,1,1,100.0,35.911602209944746,35.911602209944746,8.736842105263166,1.2631578947368338,历史1/1次成功; 当前距低点1.26%; 最新日涨幅-1.64%; 状态confirmed_rebound; 底部未确认
15,82.39880494408897,80.22876192573622,603197,保隆科技,bottom_area,2022-09-01,49.8,2022-09-01,48.07,3.5989182442271623,5.055127938423133,29.60902035437107,False,1.2813,2.4828,3,3,3,100.0,16.74352431491484,20.16154085119603,6.4010817557728386,3.5989182442271623,历史3/3次成功; 当前距低点3.60%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
16,82.3769335997708,75.56256417590717,300620,光库科技,bottom_area,2022-09-01,38.5,2022-09-01,38.32,0.4697286012526089,3.8883089770354955,29.77826644676562,False,-1.6352,0.9113,3,3,3,100.0,15.610459068618967,22.444343480236245,9.530271398747391,0.4697286012526089,历史3/3次成功; 当前距低点0.47%; 最新日涨幅-1.64%; 状态bottom_area; 底部未确认
17,81.93788760881309,77.46031603589776,688071,华依科技,bottom_area,2022-09-01,60.22,2022-09-01,59.01,2.0504999152686003,9.35434672089477,29.253087159812974,False,-6.6212,2.3843,3,3,3,100.0,15.566966896291156,16.966413867822318,7.949500084731401,2.0504999152686003,历史3/3次成功; 当前距低点2.05%; 最新日涨幅-6.62%; 状态bottom_area; 底部未确认
18,81.90098080039056,76.03320114667942,002671,龙泉股份,bottom_area,2022-09-01,4.6,2022-08-26,4.55,1.098901098901095,5.4945054945054945,27.316293929712458,False,-0.2169,0.827,1,1,1,100.0,19.347826086956534,19.347826086956534,8.901098901098905,1.098901098901095,历史1/1次成功; 当前距低点1.10%; 最新日涨幅-0.22%; 状态bottom_area; 底部未确认
19,81.77222203873166,75.29584332960856,605258,协和电子,bottom_area,2022-09-01,22.52,2022-09-01,22.37,0.6705409029950763,3.933839964237814,28.98412698412698,False,-2.1295,2.3816,1,1,1,100.0,49.971379507727534,49.971379507727534,9.329459097004925,0.6705409029950763,历史1/1次成功; 当前距低点0.67%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
20,81.51220945006112,75.95695910402172,002843,泰嘉股份,bottom_area,2022-09-01,17.98,2022-09-01,17.75,1.2957746478873262,6.873239436619712,28.829190056134728,False,-3.2293,3.12,1,1,1,100.0,31.56626506024095,31.56626506024095,8.704225352112674,1.2957746478873262,历史1/1次成功; 当前距低点1.30%; 最新日涨幅-3.23%; 状态bottom_area; 底部未确认
21,80.71892163243895,76.64451083348422,000547,航天发展,bottom_area,2022-09-01,10.76,2022-08-31,10.52,2.281368821292778,3.5171102661597056,30.789473684210527,False,1.7013,1.8561,1,1,1,100.0,14.656084656084673,14.656084656084673,7.718631178707222,2.281368821292778,历史1/1次成功; 当前距低点2.28%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
22,80.28173180685293,74.3371254328139,002045,国光电器,bottom_area,2022-09-01,12.58,2022-09-01,12.46,0.9630818619582602,4.574638844301753,28.881278538812776,False,-2.5562,20.0742,2,2,2,100.0,31.73630149504698,33.77563329312426,9.03691813804174,0.9630818619582602,历史2/2次成功; 当前距低点0.96%; 最新日涨幅-2.56%; 状态bottom_area; 底部未确认
23,80.05409714284347,75.67289472572949,002801,微光股份,bottom_area,2022-09-01,28.43,2022-09-01,27.86,2.0459440057430016,4.845656855707112,27.636363636363637,False,-1.2847,1.6865,1,1,1,100.0,29.019607843137262,29.019607843137262,7.954055994256999,2.0459440057430016,历史1/1次成功; 当前距低点2.05%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
24,79.65768993307991,73.76497098646036,002110,三钢闽光,bottom_area,2022-09-01,5.22,2022-08-31,5.17,0.9671179883945807,1.547388781431336,30.41722745625841,False,0.3846,0.2759,1,1,1,100.0,22.90322580645161,22.90322580645161,9.03288201160542,0.9671179883945807,历史1/1次成功; 当前距低点0.97%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
25,79.40147529835028,74.73080028080028,000761,本钢板材,bottom_area,2022-09-01,3.36,2022-07-15,3.3,1.81818181818182,8.484848484848492,31.818181818181817,True,-0.2967,0.137,1,1,1,100.0,11.969111969111971,11.969111969111971,8.18181818181818,1.81818181818182,历史1/1次成功; 当前距低点1.82%; 最新日涨幅-0.30%; 状态bottom_area; 底部已确认
