rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.69483991396265,88.22360838614003,603322,超讯通信,bottom_area,2025-12-30,38.7,2025-12-26,38.0,1.8421052631579022,3.157894736842113,31.29632977761707,False,0.2071,4.1689,7,7,7,100.0,21.524776269570104,39.45833333333333,8.157894736842099,1.8421052631579022,历史7/7次成功; 当前距低点1.84%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
2,92.6874659006066,87.44310197048357,001330,博纳影业,bottom_area,2025-12-30,7.87,2025-12-29,7.72,1.9430051813471552,4.533678756476691,29.62625341841386,False,1.943,10.5306,4,4,4,100.0,18.565342924489666,35.637149028077765,8.056994818652846,1.9430051813471552,历史4/4次成功; 当前距低点1.94%; 最新日涨幅1.94%; 状态bottom_area; 底部未确认
3,92.47644652542185,89.09526873679555,603327,福蓉科技,bottom_area,2025-12-30,10.83,2025-12-19,10.51,3.044719314938157,7.4215033301617455,29.651941097724226,False,1.1204,2.2586,7,7,7,100.0,40.952842875562084,129.39632545931758,6.955280685061843,3.044719314938157,历史7/7次成功; 当前距低点3.04%; 最新日涨幅1.12%; 状态bottom_area; 底部未确认
4,91.99455334317875,85.35344635468354,300705,九典制药,bottom_area,2025-12-30,15.14,2025-12-30,14.98,1.0680907877169568,1.1348464619492653,27.49273959341723,False,0.3979,1.3581,2,2,2,100.0,29.939211562786006,41.42097631706138,8.931909212283044,1.0680907877169568,历史2/2次成功; 当前距低点1.07%; 最新日涨幅0.40%; 状态bottom_area; 底部未确认
5,91.0979775345274,84.8844656038194,002728,特一药业,bottom_area,2025-12-30,10.97,2025-12-30,10.83,1.2927054478301068,2.585410895660197,28.039867109634553,False,-0.724,6.4135,4,4,4,100.0,19.310935617591518,39.3073593073593,8.707294552169893,1.2927054478301068,历史4/4次成功; 当前距低点1.29%; 最新日涨幅-0.72%; 状态bottom_area; 底部未确认
6,82.75794371365144,82.74701280046777,000430,张家界,bottom_area,2025-12-30,7.57,2025-12-29,7.21,4.993065187239949,4.993065187239949,28.543111992071356,False,4.9931,0.0126,4,4,4,100.0,30.705384018144333,53.99999999999999,5.0069348127600515,4.993065187239949,历史4/4次成功; 当前距低点4.99%; 最新日涨幅4.99%; 状态bottom_area; 底部未确认
7,81.79723077464908,80.28002407479673,002679,福建金森,bottom_area,2025-12-30,12.17,2025-12-18,11.7,4.017094017094023,9.487179487179498,28.308823529411768,True,-1.2976,2.8098,4,4,4,100.0,18.758056095543544,33.50951374207188,5.982905982905978,4.017094017094023,历史4/4次成功; 当前距低点4.02%; 最新日涨幅-1.30%; 状态bottom_area; 底部已确认
8,81.67516730730068,74.25015209754606,600048,保利发展,bottom_area,2025-12-30,6.09,2025-12-30,6.09,0.0,1.4778325123152687,28.77192982456141,False,-1.6155,0.958,2,2,2,100.0,31.721247836269217,31.987577639751546,10.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
9,81.29480704446364,79.24685462165681,002632,道明光学,bottom_area,2025-12-30,12.46,2025-12-19,12.02,3.6605657237936877,7.071547420965056,27.28372655777375,True,1.5485,5.6187,2,2,2,100.0,19.693249848959194,25.259515570934255,6.339434276206313,3.6605657237936877,历史2/2次成功; 当前距低点3.66%; 最新日涨幅1.55%; 状态bottom_area; 底部已确认
10,80.84195743298953,77.06814660876913,600161,天坛生物,bottom_area,2025-12-30,16.46,2025-12-24,16.06,2.4906600249066138,4.794520547945203,27.264492753623188,False,-0.7836,0.2709,2,2,2,100.0,25.305653040624797,36.77455357142857,7.509339975093388,2.4906600249066138,历史2/2次成功; 当前距低点2.49%; 最新日涨幅-0.78%; 状态bottom_area; 底部未确认
11,78.88005199807628,75.28707390286876,301567,贝隆精密,bottom_area,2025-12-30,44.59,2025-12-17,43.48,2.552897884084652,6.830726770929177,31.527559055118115,False,-1.6975,7.5671,2,2,2,100.0,16.4929090246331,16.59192825112107,7.447102115915349,2.552897884084652,历史2/2次成功; 当前距低点2.55%; 最新日涨幅-1.70%; 状态bottom_area; 底部未确认
