rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,95.15409882958691,81.2334065934066,605133,嵘泰股份,bottom_area,2023-04-28,27.66,2023-04-25,27.3,1.3186813186813167,5.567765567765566,28.79499217527387,False,-1.2848,5.9932,1,1,1,100.0,60.01483679525222,60.01483679525222,18.681318681318686,1.3186813186813167,历史1/1次成功; 当前距低点1.32%; 最新日涨幅-1.28%; 状态bottom_area; 底部未确认
2,91.8069614387912,80.66053203755561,000935,四川双马,bottom_area,2023-04-28,19.22,2023-04-25,18.68,2.8907922912205524,4.014989293361884,30.609212481426457,False,1.2112,0.3905,1,1,1,100.0,43.71794871794874,43.71794871794874,17.10920770877945,2.8907922912205524,历史1/1次成功; 当前距低点2.89%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
3,89.77873597785764,78.7844074119867,300530,领湃科技,bottom_area,2023-04-28,22.2,2023-04-25,21.59,2.8253821213524755,7.596109309865681,32.6365054602184,True,0.498,0.4449,3,4,3,75.0,27.802573379948058,34.07510431154381,17.174617878647524,2.8253821213524755,历史3/4次成功; 当前距低点2.83%; 最新日涨幅0.50%; 状态bottom_area; 底部已确认
4,88.09271216660576,77.46846547314578,000629,钒钛股份,bottom_area,2023-04-28,4.2,2023-04-25,4.08,2.9411764705882377,9.803921568627459,31.08108108108108,False,0.9615,0.6182,1,1,1,100.0,27.173913043478265,27.173913043478265,17.05882352941176,2.9411764705882377,历史1/1次成功; 当前距低点2.94%; 最新日涨幅0.96%; 状态bottom_area; 底部未确认
5,87.7110919537088,76.8496716884131,300353,东土科技,bottom_area,2023-04-28,11.25,2023-04-27,10.95,2.7397260273972672,3.744292237442924,29.354838709677423,False,2.3658,3.2525,1,1,1,100.0,21.377672209026137,21.377672209026137,17.260273972602736,2.7397260273972672,历史1/1次成功; 当前距低点2.74%; 最新日涨幅2.37%; 状态bottom_area; 底部未确认
6,86.1568145263072,76.141084837624,002385,大北农,bottom_area,2023-04-28,7.07,2023-04-25,6.85,3.211678832116798,4.817518248175183,30.73811931243681,False,0.7123,1.257,1,1,1,100.0,23.353293413173663,23.353293413173663,16.788321167883204,3.211678832116798,历史1/1次成功; 当前距低点3.21%; 最新日涨幅0.71%; 状态bottom_area; 底部未确认
7,85.58357225566513,76.42270116371203,300661,圣邦股份,bottom_area,2023-04-28,124.1,2023-04-25,119.58,3.7798963037297177,6.790433182806494,30.20079383609619,False,0.0,1.0078,1,1,1,100.0,31.832606108687024,31.832606108687024,16.220103696270282,3.7798963037297177,历史1/1次成功; 当前距低点3.78%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,84.7024078178272,76.18948708113152,300582,英飞特,bottom_area,2023-04-28,13.21,2023-04-27,12.68,4.17981072555206,4.337539432176662,32.40938166311301,False,3.2031,3.3056,1,1,1,100.0,35.48094373865699,35.48094373865699,15.82018927444794,4.17981072555206,历史1/1次成功; 当前距低点4.18%; 最新日涨幅3.20%; 状态bottom_area; 底部未确认
9,82.60726113338514,74.2933833202873,688289,圣湘生物,bottom_area,2023-04-28,18.73,2023-04-26,17.98,4.171301446051167,12.45828698553948,27.058823529411757,False,0.8073,1.7479,1,1,1,100.0,25.182530200451346,25.182530200451346,15.828698553948833,4.171301446051167,历史1/1次成功; 当前距低点4.17%; 最新日涨幅0.81%; 状态bottom_area; 底部未确认
10,75.27981926169217,67.40028906521876,002245,蔚蓝锂芯,bottom_area,2023-04-28,11.12,2023-04-26,10.7,3.925233644859813,8.317757009345799,29.512516469038214,False,1.4599,1.5917,2,3,2,66.66666666666666,23.995457574368096,25.653923541247494,16.074766355140188,3.925233644859813,历史2/3次成功; 当前距低点3.93%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
11,73.73806683170045,67.1148871761585,000980,众泰汽车,bottom_area,2023-04-28,3.04,2023-04-26,2.9,4.827586206896556,6.206896551724143,32.24299065420561,False,0.9967,1.3642,2,3,2,66.66666666666666,33.52213473772031,43.49775784753364,15.172413793103445,4.827586206896556,历史2/3次成功; 当前距低点4.83%; 最新日涨幅1.00%; 状态bottom_area; 底部未确认
12,68.81958532493778,59.33492781397727,688107,安路科技,bottom_area,2023-04-28,53.15,2023-04-28,52.18,1.858949789191259,4.139517056343434,29.780648634100395,False,-0.5799,1.7184,1,3,1,33.33333333333333,67.95615731785945,67.95615731785945,18.141050210808743,1.858949789191259,历史1/3次成功; 当前距低点1.86%; 最新日涨幅-0.58%; 状态bottom_area; 底部未确认
13,68.41314649969013,58.00166712190684,300454,深信服,bottom_area,2023-04-28,119.14,2023-04-27,118.03,0.9404388714733538,3.3466067948826597,29.534328358208956,False,0.1261,1.558,1,2,1,50.0,29.49391262831224,29.49391262831224,19.059561128526646,0.9404388714733538,历史1/2次成功; 当前距低点0.94%; 最新日涨幅0.13%; 状态bottom_area; 底部未确认
14,66.40844716083186,57.58274135843746,002156,通富微电,bottom_area,2023-04-28,17.89,2023-04-27,17.51,2.170188463735003,5.653912050256986,29.395161290322573,False,0.5621,2.8638,1,3,1,33.33333333333333,21.92170818505337,21.92170818505337,17.829811536264998,2.170188463735003,历史1/3次成功; 当前距低点2.17%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
15,65.51377563070317,57.37768115942029,601369,陕鼓动力,bottom_area,2023-04-28,9.45,2023-04-27,9.2,2.717391304347826,4.456521739130437,31.189229618548993,False,-0.3165,0.7596,1,3,1,33.33333333333333,55.572755417956664,55.572755417956664,17.282608695652176,2.717391304347826,历史1/3次成功; 当前距低点2.72%; 最新日涨幅-0.32%; 状态bottom_area; 底部未确认
