rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.39847116271947,78.41859143207874,002825,纳尔股份,bottom_area,2023-07-13,8.85,2023-07-07,8.66,2.1939953810623503,2.886836027713626,32.55451713395638,False,1.1429,1.0352,1,1,1,100.0,23.123123123123136,23.123123123123136,17.806004618937653,2.1939953810623503,历史1/1次成功; 当前距低点2.19%; 最新日涨幅1.14%; 状态bottom_area; 底部未确认
2,89.14178938091952,75.47177851715121,002755,奥赛康,bottom_area,2023-07-13,8.16,2023-07-13,8.09,0.8652657601977787,1.3597033374536394,27.508960573476703,False,0.6165,0.5402,1,1,1,100.0,30.831099195710454,30.831099195710454,19.134734239802224,0.8652657601977787,历史1/1次成功; 当前距低点0.87%; 最新日涨幅0.62%; 状态bottom_area; 底部未确认
3,82.17646183113536,74.93852623202751,688236,春立医疗,bottom_area,2023-07-13,24.89,2023-06-28,23.72,4.93254637436763,7.082630691399662,32.228571428571435,True,2.6392,1.728,1,1,1,100.0,28.788881535407025,28.788881535407025,15.067453625632371,4.93254637436763,历史1/1次成功; 当前距低点4.93%; 最新日涨幅2.64%; 状态bottom_area; 底部已确认
4,81.33836105270711,73.80345349675561,600935,华塑股份,bottom_area,2023-07-13,3.82,2023-06-27,3.65,4.657534246575341,6.575342465753431,28.571428571428577,False,1.0582,0.2289,1,1,1,100.0,28.50877192982458,28.50877192982458,15.342465753424662,4.657534246575341,历史1/1次成功; 当前距低点4.66%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
5,71.15761303281583,64.41718573512803,603222,济民健康,bottom_area,2023-07-13,9.92,2023-07-10,9.49,4.531085353003158,8.113804004214959,27.112135176651304,True,0.5066,2.5405,3,7,3,42.857142857142854,41.11092348681001,68.46504559270518,15.468914646996842,4.531085353003158,历史3/7次成功; 当前距低点4.53%; 最新日涨幅0.51%; 状态bottom_area; 底部已确认
6,65.25565282570402,57.233738962300485,688258,卓易信息,bottom_area,2023-07-13,61.03,2023-07-13,59.37,2.7960249284150307,4.0087586323058835,31.30857341200973,False,0.7262,1.9505,1,3,1,33.33333333333333,27.716894977168955,27.716894977168955,17.20397507158497,2.7960249284150307,历史1/3次成功; 当前距低点2.80%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
7,65.1245447528292,58.67596769182977,000792,盐湖股份,bottom_area,2023-07-13,19.29,2023-05-30,18.5,4.270270270270266,7.5675675675675595,29.49695121951219,True,0.8364,0.3248,1,2,1,50.0,24.904214559386965,24.904214559386965,15.729729729729735,4.270270270270266,历史1/2次成功; 当前距低点4.27%; 最新日涨幅0.84%; 状态bottom_area; 底部已确认
8,64.101960939374,57.41306066743932,002395,双象股份,bottom_area,2023-07-13,11.33,2023-06-26,10.9,3.944954128440364,8.34862385321101,29.677419354838708,True,-1.1344,2.4698,1,2,1,50.0,36.59976387249114,36.59976387249114,16.055045871559635,3.944954128440364,历史1/2次成功; 当前距低点3.94%; 最新日涨幅-1.13%; 状态bottom_area; 底部已确认
9,57.842091629714,52.31987102387809,688318,财富趋势,bottom_area,2023-07-13,94.1,2023-07-12,90.06,4.48589829002886,5.3519875638463175,27.17127607957302,False,4.1505,1.7375,1,3,1,33.33333333333333,22.012826837691176,22.012826837691176,15.51410170997114,4.48589829002886,历史1/3次成功; 当前距低点4.49%; 最新日涨幅4.15%; 状态bottom_area; 底部未确认
10,57.73415610155917,52.65732846890672,600984,建设机械,bottom_area,2023-07-13,4.46,2023-06-12,4.25,4.941176470588235,8.23529411764705,32.0,True,2.2936,0.8543,1,3,1,33.33333333333333,20.21439509954057,20.21439509954057,15.058823529411766,4.941176470588235,历史1/3次成功; 当前距低点4.94%; 最新日涨幅2.29%; 状态bottom_area; 底部已确认
11,53.560973197249524,48.739291384899566,603335,迪生力,bottom_area,2023-07-13,6.53,2023-06-27,6.23,4.815409309791329,8.828250401284105,27.134502923976612,True,-1.3595,3.3452,1,3,1,33.33333333333333,20.081135902636923,20.081135902636923,15.18459069020867,4.815409309791329,历史1/3次成功; 当前距低点4.82%; 最新日涨幅-1.36%; 状态bottom_area; 底部已确认
