rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.3718763019779,78.9063994754036,300049,福瑞医科,bottom_area,2025-10-21,66.77,2025-10-13,65.11,2.5495315619720422,8.692981108892637,28.19805910895457,True,0.3306,1.7034,1,1,1,100.0,20.910384068278802,20.910384068278802,17.450468438027958,2.5495315619720422,历史1/1次成功; 当前距低点2.55%; 最新日涨幅0.33%; 状态bottom_area; 底部已确认
2,89.42369260708192,78.84257670532105,300056,中创环保,bottom_area,2025-10-21,10.7,2025-10-15,10.38,3.082851637764918,8.188824662813097,29.001367989056074,True,0.5639,1.5739,1,1,1,100.0,27.10472279260781,27.10472279260781,16.917148362235082,3.082851637764918,历史1/1次成功; 当前距低点3.08%; 最新日涨幅0.56%; 状态bottom_area; 底部已确认
3,88.37619030060655,78.0182033898305,688621,阳光诺和,bottom_area,2025-10-21,60.86,2025-10-14,59.0,3.1525423728813546,8.322033898305078,31.355439208842352,True,-0.2459,1.9258,1,1,1,100.0,46.0,46.0,16.847457627118644,3.1525423728813546,历史1/1次成功; 当前距低点3.15%; 最新日涨幅-0.25%; 状态bottom_area; 底部已确认
4,79.01158750646238,70.9045613595662,301137,哈焊华通,bottom_area,2025-10-21,44.43,2025-10-20,42.7,4.051522248243552,5.269320843091334,27.627118644067792,False,-0.1573,7.0463,1,1,1,100.0,27.967914438502678,27.967914438502678,15.948477751756448,4.051522248243552,历史1/1次成功; 当前距低点4.05%; 最新日涨幅-0.16%; 状态bottom_area; 底部未确认
5,77.89224696957459,69.83181738302704,300911,亿田智能,bottom_area,2025-10-21,40.58,2025-10-21,39.02,3.9979497693490393,7.637109174782155,29.028737722808284,False,-2.2169,5.5348,1,1,1,100.0,21.54377880184333,21.54377880184333,16.002050230650962,3.9979497693490393,历史1/1次成功; 当前距低点4.00%; 最新日涨幅-2.22%; 状态bottom_area; 底部未确认
6,77.45758700643246,66.90427638737759,000700,模塑科技,bottom_area,2025-10-21,9.37,2025-10-17,9.19,1.9586507072905304,5.114254624591955,30.060882800608834,False,1.1879,1.6816,1,2,1,50.0,52.926829268292686,52.926829268292686,18.041349292709473,1.9586507072905304,历史1/2次成功; 当前距低点1.96%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
7,74.87702360002996,64.20251366120216,002123,梦网科技,bottom_area,2025-10-21,12.39,2025-10-17,12.2,1.5573770491803385,2.8688524590164053,29.68299711815563,False,1.0604,1.7658,1,3,1,33.33333333333333,54.50450450450449,54.50450450450449,18.44262295081966,1.5573770491803385,历史1/3次成功; 当前距低点1.56%; 最新日涨幅1.06%; 状态bottom_area; 底部未确认
8,70.54174795586133,61.56713785425506,603305,旭升集团,bottom_area,2025-10-21,15.01,2025-10-17,14.64,2.527322404371579,5.669398907103825,27.881773399014776,False,1.2138,3.432,2,6,2,33.33333333333333,31.05429894026305,32.41061130334487,17.472677595628422,2.527322404371579,历史2/6次成功; 当前距低点2.53%; 最新日涨幅1.21%; 状态bottom_area; 底部未确认
9,70.4442045298559,63.4267741935484,002491,通鼎互联,bottom_area,2025-10-21,5.17,2025-10-13,4.96,4.233870967741934,8.467741935483868,28.01161103047895,True,1.3725,2.1595,1,2,1,50.0,52.39520958083833,52.39520958083833,15.766129032258066,4.233870967741934,历史1/2次成功; 当前距低点4.23%; 最新日涨幅1.37%; 状态bottom_area; 底部已确认
10,63.92544952608773,55.820544800592444,002617,露笑科技,bottom_area,2025-10-21,8.43,2025-10-17,8.22,2.554744525547434,5.596107055961059,29.743589743589734,False,0.4768,2.7708,1,6,1,16.666666666666664,36.60589060308556,36.60589060308556,17.445255474452566,2.554744525547434,历史1/6次成功; 当前距低点2.55%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
11,63.47861655902227,57.10279075485616,600706,曲江文旅,bottom_area,2025-10-21,10.21,2025-10-13,9.8,4.183673469387756,4.59183673469387,31.420573827851634,False,1.1893,3.391,1,2,1,50.0,24.578313253012034,24.578313253012034,15.816326530612246,4.183673469387756,历史1/2次成功; 当前距低点4.18%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
