rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,86.54543717156973,81.21098439032069,301313,凡拓数创,bottom_area,2023-10-18,27.61,2023-10-18,27.42,0.6929248723559362,2.4799416484318004,31.875776397515526,False,-1.9879,4.4496,4,4,4,100.0,32.04759730802268,52.43243243243245,7.3070751276440635,0.6929248723559362,历史4/4次成功; 当前距低点0.69%; 最新日涨幅-1.99%; 状态bottom_area; 底部未确认
2,86.33760916382917,80.07207596718293,600009,上海机场,bottom_area,2023-10-18,35.63,2023-10-18,35.6,0.0842696629213515,1.68539325842697,27.24300020437359,False,-1.9268,0.4208,4,4,4,100.0,18.4634989174387,27.704918032786885,7.9157303370786485,0.0842696629213515,历史4/4次成功; 当前距低点0.08%; 最新日涨幅-1.93%; 状态bottom_area; 底部未确认
3,85.88484332493994,81.12411814567605,002850,科达利,bottom_area,2023-10-18,83.92,2023-10-18,83.06,1.035396099205393,3.5155309414880827,32.3615635179153,False,-1.825,1.1556,3,3,3,100.0,12.60656587023842,13.44718098343773,6.964603900794606,1.035396099205393,历史3/3次成功; 当前距低点1.04%; 最新日涨幅-1.82%; 状态bottom_area; 底部未确认
4,84.74768725693322,81.85904146026155,000411,英特集团,confirmed_rebound,2023-10-18,11.63,2023-08-24,11.38,2.196836555360281,9.490333919156415,27.974683544303797,True,-2.7592,1.8792,3,3,3,100.0,31.816283905822544,47.98426745329401,5.803163444639719,2.196836555360281,历史3/3次成功; 当前距低点2.20%; 最新日涨幅-2.76%; 状态confirmed_rebound; 底部已确认
5,83.76003496685063,79.77915884944284,000058,深赛格,bottom_area,2023-10-18,6.91,2023-09-22,6.81,1.4684287812041195,7.782672540381795,27.16577540106952,True,-2.4011,1.7669,1,1,1,100.0,34.82352941176472,34.82352941176472,6.531571218795881,1.4684287812041195,历史1/1次成功; 当前距低点1.47%; 最新日涨幅-2.40%; 状态bottom_area; 底部已确认
6,82.95750367104971,76.81250339912009,300437,清水源,bottom_area,2023-10-18,12.02,2023-10-18,12.02,0.0,5.158069883527463,28.367103694874857,False,-4.6788,2.4314,6,6,6,100.0,22.379050532903687,30.330330330330323,8.0,0.0,历史6/6次成功; 当前距低点0.00%; 最新日涨幅-4.68%; 状态bottom_area; 底部未确认
7,82.2037526017912,77.70129956409444,603191,望变电气,bottom_area,2023-10-18,15.09,2023-10-18,14.93,1.071667782987275,2.478231748158078,29.140958709065025,False,-0.5274,2.0883,2,2,2,100.0,11.315602738201239,13.281249999999995,6.928332217012725,1.071667782987275,历史2/2次成功; 当前距低点1.07%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
8,81.92140484555905,79.25824692467388,688103,国力电子,bottom_area,2023-10-18,47.07,2023-10-18,46.02,2.281616688396343,3.911342894393736,29.199999999999992,False,-0.8008,0.8823,2,2,2,100.0,34.51791921622336,57.609964966913196,5.718383311603657,2.281616688396343,历史2/2次成功; 当前距低点2.28%; 最新日涨幅-0.80%; 状态bottom_area; 底部未确认
9,80.9344898933146,75.67169464747982,002069,獐子岛,bottom_area,2023-10-18,3.98,2023-10-17,3.96,0.5050505050505055,2.525252525252516,30.03533568904594,False,-0.7481,0.599,3,3,3,100.0,16.6301602096504,30.967741935483854,7.494949494949495,0.5050505050505055,历史3/3次成功; 当前距低点0.51%; 最新日涨幅-0.75%; 状态bottom_area; 底部未确认
10,80.44713802263858,75.2803551756129,002146,荣盛发展,bottom_area,2023-10-18,1.83,2023-10-18,1.82,0.5494505494505499,2.1978021978021998,27.777777777777775,False,-1.6129,2.0616,3,3,3,100.0,15.070443163226665,19.587628865979376,7.45054945054945,0.5494505494505499,历史3/3次成功; 当前距低点0.55%; 最新日涨幅-1.61%; 状态bottom_area; 底部未确认
11,80.26767798321796,74.32192405853515,002333,罗普斯金,bottom_area,2023-10-18,5.76,2023-10-18,5.76,0.0,1.9097222222222279,29.841656516443372,False,-2.2071,2.3391,2,2,2,100.0,32.10711859427502,46.728971962616825,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
12,80.19593985640141,74.25549986703834,000798,中水渔业,bottom_area,2023-10-18,8.17,2023-10-18,8.17,0.0,2.5703794369645148,32.4793388429752,False,-2.0384,1.4533,3,3,3,100.0,15.08333261848572,17.3015873015873,8.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-2.04%; 状态bottom_area; 底部未确认
13,79.95449096162172,74.37794188861987,000663,永安林业,bottom_area,2023-10-18,8.28,2023-10-18,8.26,0.24213075060532172,3.9951573849878943,27.35268249780123,False,-3.3839,1.7984,1,1,1,100.0,50.39215686274511,50.39215686274511,7.7578692493946795,0.24213075060532172,历史1/1次成功; 当前距低点0.24%; 最新日涨幅-3.38%; 状态bottom_area; 底部未确认
14,79.90090990696557,76.57619471915886,002177,御银股份,bottom_area,2023-10-18,3.98,2023-09-28,3.91,1.7902813299232694,7.1611253196931015,27.992633517495392,True,-4.0964,5.0521,2,2,2,100.0,15.096968555827523,19.574468085106382,6.209718670076731,1.7902813299232694,历史2/2次成功; 当前距低点1.79%; 最新日涨幅-4.10%; 状态bottom_area; 底部已确认
15,79.74332591030308,76.1040331841953,002767,先锋电子,bottom_area,2023-10-18,14.22,2023-09-22,14.0,1.571428571428576,5.428571428571427,30.174563591022448,False,-2.0661,2.966,2,2,2,100.0,8.854249070174514,9.063444108761324,6.4285714285714235,1.571428571428576,历史2/2次成功; 当前距低点1.57%; 最新日涨幅-2.07%; 状态bottom_area; 底部未确认
16,79.12491574627812,73.39219228024618,000014,沙河股份,bottom_area,2023-10-18,11.01,2023-10-18,11.0,0.09090909090908897,2.5454545454545396,30.5993690851735,False,-1.8717,1.8744,2,2,2,100.0,15.964865631822029,20.605355064027936,7.909090909090912,0.09090909090908897,历史2/2次成功; 当前距低点0.09%; 最新日涨幅-1.87%; 状态bottom_area; 底部未确认
17,78.80026465131506,72.9632080104769,600322,津投城开,bottom_area,2023-10-18,2.26,2023-10-17,2.26,0.0,3.0973451327433756,31.097560975609756,False,-1.7391,2.5752,2,2,2,100.0,24.802193604714613,35.828877005347586,8.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
