rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_top_price,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,close_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.72236556570941,81.32131861658335,688109,品茗科技,bottom_area,2026-05-06,94.01,128.0,2026-04-28,91.98,2.2070015220700165,7.632093933463792,28.140624999999996,26.554687499999996,True,-1.5705,1.6764,2,2,2,100.0,35.50151659625266,37.459584295612025,17.792998477929984,2.2070015220700165,历史2/2次成功; 当前距低点2.21%; 最新日涨幅-1.57%; 状态bottom_area; 底部已确认
2,93.53037622996771,83.27193798449613,603787,新日股份,bottom_area,2026-05-06,12.03,17.11,2026-04-27,11.61,3.6175710594315245,4.134366925064603,32.14494447691409,29.690239625949737,False,0.5853,2.2446,2,2,2,100.0,56.730295566502456,92.85714285714283,16.382428940568477,3.6175710594315245,历史2/2次成功; 当前距低点3.62%; 最新日涨幅0.59%; 状态bottom_area; 底部未确认
3,93.01118912602129,78.9664087367527,300779,惠城环保,bottom_area,2026-05-06,69.55,94.68,2026-04-29,68.85,1.0167029774872955,4.03776325344953,27.28136882129279,26.542036332910868,False,-0.3867,3.0796,1,1,1,100.0,34.11016949152542,34.11016949152542,18.983297022512705,1.0167029774872955,历史1/1次成功; 当前距低点1.02%; 最新日涨幅-0.39%; 状态bottom_area; 底部未确认
4,91.42485262959434,78.9763987962218,300858,科拓生物,bottom_area,2026-05-06,18.17,24.5,2026-04-30,17.82,1.964085297418639,5.331088664421993,27.26530612244898,25.836734693877546,False,1.7927,7.255,1,1,1,100.0,23.303834808259573,23.303834808259573,18.035914702581362,1.964085297418639,历史1/1次成功; 当前距低点1.96%; 最新日涨幅1.79%; 状态bottom_area; 底部未确认
5,89.38089407275153,77.95395605339235,603277,银都股份,bottom_area,2026-05-06,13.18,17.69,2026-04-24,12.86,2.488335925349925,3.0326594090202224,27.30356133408706,25.49462973431318,False,1.1512,0.3124,1,1,1,100.0,24.23312883435582,24.23312883435582,17.511664074650078,2.488335925349925,历史1/1次成功; 当前距低点2.49%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
6,89.18095972687529,77.17084211386097,300775,三角防务,bottom_area,2026-05-06,29.75,40.25,2026-04-30,29.15,2.0583190394511197,3.807890222984573,27.577639751552795,26.08695652173913,False,-0.2347,5.0548,1,1,1,100.0,37.224782386072704,37.224782386072704,17.94168096054888,2.0583190394511197,历史1/1次成功; 当前距低点2.06%; 最新日涨幅-0.23%; 状态bottom_area; 底部未确认
7,83.75313174352999,74.05310428145795,601628,中国人寿,bottom_area,2026-05-06,36.66,50.7,2026-04-07,35.51,3.2385243593353943,9.011546043368075,29.960552268244584,27.692307692307704,True,-0.0273,0.2388,1,1,1,100.0,25.736235595390532,25.736235595390532,16.761475640664607,3.2385243593353943,历史1/1次成功; 当前距低点3.24%; 最新日涨幅-0.03%; 状态bottom_area; 底部已确认
8,82.49756004723078,70.4461804284236,688326,经纬恒润,bottom_area,2026-05-06,88.98,125.0,2026-05-06,87.81,1.332422275367272,3.9631021523744496,29.752000000000002,28.815999999999995,False,-0.2355,2.4694,2,3,2,66.66666666666666,31.061486825775873,34.48938586529221,18.66757772463273,1.332422275367272,历史2/3次成功; 当前距低点1.33%; 最新日涨幅-0.24%; 状态bottom_area; 底部未确认
9,80.97549458656862,72.71038956884534,688552,航天南湖,bottom_area,2026-05-06,40.01,53.79,2026-04-30,38.44,4.084287200832467,6.581685744016652,28.53690277003161,25.618144636549545,False,-0.1747,8.6886,2,2,2,100.0,21.411636487867607,21.800367421922857,15.915712799167533,4.084287200832467,历史2/2次成功; 当前距低点4.08%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
10,70.19979310344827,58.4998275862069,600636,退市国化,bottom_area,2026-05-06,4.51,6.3,2026-04-29,4.51,0.0,2.660753880266078,28.41269841269841,28.41269841269841,False,0.0,0.0,1,2,1,50.0,32.90229885057471,32.90229885057471,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
11,68.79275789839228,59.60701938018129,601808,中海油服,bottom_area,2026-05-06,14.86,20.55,2026-05-06,14.55,2.1305841924398536,2.7491408934707806,29.1970802919708,27.688564476885652,False,-1.5894,0.8913,1,2,1,50.0,35.34812547819435,35.34812547819435,17.869415807560145,2.1305841924398536,历史1/2次成功; 当前距低点2.13%; 最新日涨幅-1.59%; 状态bottom_area; 底部未确认
12,65.01005719584926,54.386069449431254,000625,长安汽车,bottom_area,2026-05-06,9.45,13.84,2026-05-06,9.43,0.2120890774125087,1.6967126193001076,31.86416184971098,31.719653179190754,False,-0.8395,1.1015,1,3,1,33.33333333333333,43.0446194225722,43.0446194225722,19.787910922587493,0.2120890774125087,历史1/3次成功; 当前距低点0.21%; 最新日涨幅-0.84%; 状态bottom_area; 底部未确认
