rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,82.06636745029657,77.54855609849571,600217,中再资环,bottom_area,2022-01-25,5.74,2022-01-25,5.68,1.056338028169023,5.281690140845083,28.643216080402013,False,-3.5294,1.3186,1,1,1,100.0,37.18820861678004,37.18820861678004,6.943661971830978,1.056338028169023,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-3.53%; 状态bottom_area; 底部未确认
2,79.84671102130699,75.61738751515557,600211,西藏药业,bottom_area,2022-01-25,41.48,2022-01-24,41.0,1.1707317073170656,6.780487804878052,27.56183745583039,False,-5.0584,1.0818,2,2,2,100.0,11.541160257196122,13.252533280349695,6.829268292682935,1.1707317073170656,历史2/2次成功; 当前距低点1.17%; 最新日涨幅-5.06%; 状态bottom_area; 底部未确认
3,79.11803993628283,74.69897435897437,601218,吉鑫科技,bottom_area,2022-01-25,4.99,2022-01-24,4.94,1.0121457489878507,4.65587044534412,30.324400564174887,False,-0.9921,3.3897,1,1,1,100.0,11.111111111111114,11.111111111111114,6.987854251012148,1.0121457489878507,历史1/1次成功; 当前距低点1.01%; 最新日涨幅-0.99%; 状态bottom_area; 底部未确认
4,78.3593608282929,72.6867804482977,605162,新中港,bottom_area,2022-01-25,10.62,2022-01-25,10.61,0.0942507068802996,5.843543826578709,28.067796610169495,False,-5.0938,3.4011,2,2,2,100.0,22.428344408520275,26.46502835538753,7.9057492931197,0.0942507068802996,历史2/2次成功; 当前距低点0.09%; 最新日涨幅-5.09%; 状态bottom_area; 底部未确认
5,78.3570667430449,72.96312152545504,601778,晶科科技,bottom_area,2022-01-25,6.85,2022-01-25,6.83,0.29282576866763654,4.831625183016106,29.948717948717945,False,-3.6568,1.3601,2,2,2,100.0,26.348195043103452,42.344827586206904,7.707174231332363,0.29282576866763654,历史2/2次成功; 当前距低点0.29%; 最新日涨幅-3.66%; 状态bottom_area; 底部未确认
6,78.31266136497014,72.57716273671302,600391,航发科技,bottom_area,2022-01-25,21.36,2022-01-25,21.35,0.04683840749413588,6.79156908665105,27.67615176151761,False,-2.9532,2.3164,1,1,1,100.0,27.709431751611014,27.709431751611014,7.9531615925058645,0.04683840749413588,历史1/1次成功; 当前距低点0.05%; 最新日涨幅-2.95%; 状态bottom_area; 底部未确认
7,77.67453273641293,72.53719273341133,300511,雪榕生物,bottom_area,2022-01-25,6.8,2022-01-25,6.77,0.4431314623338294,7.6809453471196525,30.061983471074385,False,-9.3333,8.3222,2,2,2,100.0,25.900712191034756,29.220779220779214,7.556868537666171,0.4431314623338294,历史2/2次成功; 当前距低点0.44%; 最新日涨幅-9.33%; 状态bottom_area; 底部未确认
8,76.48043549072099,71.01822486027987,300463,迈克生物,bottom_area,2022-01-25,26.95,2022-01-25,26.91,0.14864362690449331,5.908584169453734,29.62866108786611,False,-4.6693,3.4426,2,2,2,100.0,14.12436736355977,14.159515396264513,7.8513563730955065,0.14864362690449331,历史2/2次成功; 当前距低点0.15%; 最新日涨幅-4.67%; 状态bottom_area; 底部未确认
9,76.42908991666427,71.09524564973665,002342,巨力索具,bottom_area,2022-01-25,4.18,2022-01-25,4.17,0.23980815347721313,6.474820143884903,28.10344827586207,False,-5.4299,3.3374,2,2,2,100.0,15.655958277767192,19.889502762430933,7.760191846522788,0.23980815347721313,历史2/2次成功; 当前距低点0.24%; 最新日涨幅-5.43%; 状态bottom_area; 底部未确认
10,76.41000000000001,70.75,002584,西陇科学,confirmed_rebound,2022-01-25,9.0,2022-01-25,9.0,0.0,11.444444444444438,27.942353883106485,False,-9.8196,14.6463,1,1,1,100.0,68.08510638297875,68.08510638297875,8.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.82%; 状态confirmed_rebound; 底部未确认
11,75.69169525545504,70.61098240178683,603348,文灿股份,bottom_area,2022-01-25,51.7,2022-01-25,51.5,0.38834951456311234,5.980582524271841,27.464788732394368,False,-4.3655,1.2179,1,1,1,100.0,31.539888682745836,31.539888682745836,7.611650485436888,0.38834951456311234,历史1/1次成功; 当前距低点0.39%; 最新日涨幅-4.37%; 状态bottom_area; 底部未确认
12,75.44177888007461,70.8393362957335,600316,洪都航空,bottom_area,2022-01-25,31.83,2022-01-21,31.6,0.7278481012658129,5.411392405063293,27.936145952109463,False,-1.0569,1.453,2,2,2,100.0,10.047472938814842,10.422364023093307,7.2721518987341875,0.7278481012658129,历史2/2次成功; 当前距低点0.73%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
13,74.94506127667431,70.39038904439023,300608,思特奇,confirmed_rebound,2022-01-25,13.6,2022-01-25,13.5,0.740740740740738,14.740740740740744,27.027027027027028,False,-12.031,14.3241,3,3,3,100.0,11.555257705801665,14.718614718614711,7.259259259259262,0.740740740740738,历史3/3次成功; 当前距低点0.74%; 最新日涨幅-12.03%; 状态confirmed_rebound; 底部未确认
14,74.88220376505993,70.02789523767309,300491,通合科技,confirmed_rebound,2022-01-25,15.58,2022-01-25,15.5,0.516129032258065,11.870967741935482,27.093132643461903,False,-10.2535,10.1535,2,2,2,100.0,23.51972812484664,27.26480836236933,7.483870967741934,0.516129032258065,历史2/2次成功; 当前距低点0.52%; 最新日涨幅-10.25%; 状态confirmed_rebound; 底部未确认
15,74.66337713787188,70.21778711484592,600418,江淮汽车,bottom_area,2022-01-25,13.71,2022-01-21,13.6,0.8088235294117736,5.3676470588235325,27.38921516284037,False,-1.0823,2.058,1,1,1,100.0,24.365079365079367,24.365079365079367,7.191176470588226,0.8088235294117736,历史1/1次成功; 当前距低点0.81%; 最新日涨幅-1.08%; 状态bottom_area; 底部未确认
16,74.50851091874556,69.01357676171514,300567,精测电子,bottom_area,2022-01-25,54.89,2022-01-25,54.88,0.018221574344019695,5.703352769679292,29.641025641025635,False,-4.5059,1.8922,1,1,1,100.0,18.414634146341452,18.414634146341452,7.98177842565598,0.018221574344019695,历史1/1次成功; 当前距低点0.02%; 最新日涨幅-4.51%; 状态bottom_area; 底部未确认
