rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.7022248803128,86.55081428096825,688159,有方科技,bottom_area,2024-06-07,32.55,2024-06-06,31.53,3.235014272121776,9.705042816365374,31.15720524017467,False,2.4551,2.1505,4,4,4,100.0,29.60562807207472,61.150808574652125,11.764985727878225,3.235014272121776,历史4/4次成功; 当前距低点3.24%; 最新日涨幅2.46%; 状态bottom_area; 底部未确认
2,93.6705951683385,84.2822095793513,688023,安恒信息,bottom_area,2024-06-07,42.88,2024-06-06,42.11,1.828544288767521,8.216575635241037,28.359986389928547,False,1.6355,2.3322,2,2,2,100.0,33.50156213839389,39.261744966442954,13.171455711232477,1.828544288767521,历史2/2次成功; 当前距低点1.83%; 最新日涨幅1.64%; 状态bottom_area; 底部未确认
3,90.88769024346898,82.77294117647058,000420,吉林化纤,bottom_area,2024-06-07,3.31,2024-06-06,3.23,2.4767801857585163,5.26315789473684,29.321663019693663,False,1.5337,1.5861,1,1,1,100.0,53.9249146757679,53.9249146757679,12.523219814241482,2.4767801857585163,历史1/1次成功; 当前距低点2.48%; 最新日涨幅1.53%; 状态bottom_area; 底部未确认
4,90.31108204871886,82.87664906438256,301393,昊帆生物,bottom_area,2024-06-07,40.65,2024-06-06,39.51,2.885345482156418,7.061503416856491,29.547075606276753,False,1.7013,4.4845,2,2,2,100.0,38.899122385479515,58.59438845001361,12.114654517843581,2.885345482156418,历史2/2次成功; 当前距低点2.89%; 最新日涨幅1.70%; 状态bottom_area; 底部未确认
5,89.26549435125409,83.1990332735164,300752,隆利科技,bottom_area,2024-06-07,12.83,2024-06-06,12.37,3.7186742118027554,10.024252223120456,31.086350974930365,False,2.0684,4.0214,4,4,4,100.0,17.51403481949826,21.807655194596325,11.281325788197243,3.7186742118027554,历史4/4次成功; 当前距低点3.72%; 最新日涨幅2.07%; 状态bottom_area; 底部未确认
6,89.0777223709147,82.59519765739385,300720,海川智能,bottom_area,2024-06-07,14.13,2024-06-07,13.66,3.4407027818448075,6.002928257686679,29.768637532133674,False,-1.1888,2.7173,3,3,3,100.0,57.75229601757511,75.69193742478939,11.559297218155193,3.4407027818448075,历史3/3次成功; 当前距低点3.44%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
7,87.89661629641846,80.21908286098575,688315,诺禾致源,bottom_area,2024-06-07,11.88,2024-06-06,11.58,2.5906735751295398,8.462867012089815,29.775621588841716,False,1.1925,0.7037,3,4,3,75.0,41.83235813054352,86.2826357231662,12.409326424870459,2.5906735751295398,历史3/4次成功; 当前距低点2.59%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
8,87.81708970727104,81.08666666666669,002491,通鼎互联,bottom_area,2024-06-07,3.53,2024-06-06,3.42,3.2163742690058443,8.479532163742691,29.48453608247422,False,2.0231,0.792,1,1,1,100.0,52.39520958083833,52.39520958083833,11.783625730994155,3.2163742690058443,历史1/1次成功; 当前距低点3.22%; 最新日涨幅2.02%; 状态bottom_area; 底部未确认
9,87.56440647923313,77.53778500275945,605198,安德利,bottom_area,2024-06-07,29.1,2024-06-06,28.82,0.9715475364330366,5.621096460791121,28.62803368003963,False,0.2757,0.3903,1,1,1,100.0,43.241469816272954,43.241469816272954,14.028452463566962,0.9715475364330366,历史1/1次成功; 当前距低点0.97%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
10,86.08761532928452,78.57178358220331,002615,哈尔斯,bottom_area,2024-06-07,6.33,2024-06-06,6.17,2.5931928687196133,6.807131280388978,27.41176470588235,False,1.7685,3.5582,1,1,1,100.0,28.84012539184954,28.84012539184954,12.406807131280386,2.5931928687196133,历史1/1次成功; 当前距低点2.59%; 最新日涨幅1.77%; 状态bottom_area; 底部未确认
11,85.52089160261914,77.45471659919029,600201,生物股份,bottom_area,2024-06-07,7.97,2024-06-06,7.8,2.179487179487179,4.230769230769243,28.767123287671232,False,0.3778,1.7295,1,1,1,100.0,17.76315789473684,17.76315789473684,12.82051282051282,2.179487179487179,历史1/1次成功; 当前距低点2.18%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
