rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.60867711283336,89.09027009162405,300598,诚迈科技,bottom_area,2025-12-04,46.35,2025-12-04,45.51,1.8457481872116095,2.8125686662272056,28.890625000000004,False,0.2813,3.1947,5,5,5,100.0,26.22890300250812,45.24950099800398,8.15425181278839,1.8457481872116095,历史5/5次成功; 当前距低点1.85%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
2,92.43948417343826,87.34655050748461,002176,江特电机,bottom_area,2025-12-04,9.57,2025-12-04,9.38,2.0255863539445573,2.45202558635393,27.117327117327108,False,0.5252,3.3365,5,5,5,100.0,19.058534378915056,39.01808785529715,7.974413646055443,2.0255863539445573,历史5/5次成功; 当前距低点2.03%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
3,87.53153921417197,83.10251326192359,002338,奥普光电,bottom_area,2025-12-04,49.91,2025-11-21,48.8,2.2745901639344255,5.594262295081975,30.632551528073915,False,0.6656,0.919,3,3,3,100.0,15.960101267172554,20.995288574793882,7.725409836065575,2.2745901639344255,历史3/3次成功; 当前距低点2.27%; 最新日涨幅0.67%; 状态bottom_area; 底部未确认
4,86.95544306042794,81.14483061242117,300035,中科电气,bottom_area,2025-12-04,20.71,2025-12-04,20.43,1.370533529123843,2.251590797846309,29.062500000000004,False,0.1935,3.1027,1,1,1,100.0,27.686274509803933,27.686274509803933,8.629466470876157,1.370533529123843,历史1/1次成功; 当前距低点1.37%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
5,86.557391436509,83.94715944744016,000619,海螺新材,bottom_area,2025-12-04,6.4,2025-11-21,6.19,3.3925686591276247,7.108239095315015,27.85547785547785,True,-1.9908,3.0482,4,4,4,100.0,30.81836553898465,43.133047210300425,6.607431340872376,3.3925686591276247,历史4/4次成功; 当前距低点3.39%; 最新日涨幅-1.99%; 状态bottom_area; 底部已确认
6,83.02302555114072,78.25211522453827,301291,明阳电气,bottom_area,2025-12-04,40.89,2025-12-04,40.13,1.8938450037378467,2.2925492150510705,27.888589398023356,False,0.5162,1.6897,1,1,1,100.0,18.54882705946537,18.54882705946537,8.106154996262154,1.8938450037378467,历史1/1次成功; 当前距低点1.89%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
7,82.27946324684582,79.14059849046167,601127,赛力斯,bottom_area,2025-12-04,125.99,2025-11-24,122.37,2.9582413990357033,7.232164746261334,28.854651162790695,True,-0.6936,0.7674,8,9,8,88.88888888888889,23.726702462585248,42.19143576826195,7.041758600964297,2.9582413990357033,历史8/9次成功; 当前距低点2.96%; 最新日涨幅-0.69%; 状态bottom_area; 底部已确认
8,82.14236106792637,75.98468564019916,300072,海新能科,bottom_area,2025-12-04,4.43,2025-11-24,4.39,0.9111617312072902,7.972665148063794,31.29890453834116,True,-1.9912,1.8817,1,1,1,100.0,47.4308300395257,47.4308300395257,9.088838268792712,0.9111617312072902,历史1/1次成功; 当前距低点0.91%; 最新日涨幅-1.99%; 状态bottom_area; 底部已确认
9,82.01151460756591,80.15860219501776,603127,昭衍新药,bottom_area,2025-12-04,27.86,2025-11-21,26.84,3.800298062593143,8.792846497764529,29.33122696155871,True,0.7959,1.1474,2,2,2,100.0,26.307966546936147,41.08695652173912,6.199701937406857,3.800298062593143,历史2/2次成功; 当前距低点3.80%; 最新日涨幅0.80%; 状态bottom_area; 底部已确认
10,81.54220061102444,76.27479335678879,003038,鑫铂股份,bottom_area,2025-12-04,15.61,2025-11-24,15.38,1.4954486345903681,5.7867360208062335,28.76331635016211,False,-1.3274,1.7534,1,1,1,100.0,25.507614213197975,25.507614213197975,8.504551365409633,1.4954486345903681,历史1/1次成功; 当前距低点1.50%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
11,81.50062678911182,75.11588954329478,000661,长春高新,bottom_area,2025-12-04,99.39,2025-11-24,98.68,0.7194973652209097,2.452371301175504,30.394300627777387,False,-0.8776,0.7142,3,3,3,100.0,16.270664172034742,25.03526756324649,9.28050263477909,0.7194973652209097,历史3/3次成功; 当前距低点0.72%; 最新日涨幅-0.88%; 状态bottom_area; 底部未确认
12,81.49477835131847,74.96614483263511,603178,圣龙股份,bottom_area,2025-12-04,17.89,2025-11-24,17.78,0.6186726659167572,4.668166479190091,27.694184627897517,False,-0.3343,0.8681,6,7,6,85.71428571428571,28.51538369929118,47.51869476546566,9.381327334083243,0.6186726659167572,历史6/7次成功; 当前距低点0.62%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
13,81.11967939101355,74.39268158785633,000803,山高环能,bottom_area,2025-12-04,6.58,2025-12-04,6.55,0.45801526717557633,2.290076335877868,31.69968717413973,False,-1.3493,1.8397,2,2,2,100.0,25.843851596863644,36.1111111111111,9.541984732824424,0.45801526717557633,历史2/2次成功; 当前距低点0.46%; 最新日涨幅-1.35%; 状态bottom_area; 底部未确认
