rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.20527140276192,84.45449810458759,300455,航天智装,bottom_area,2024-09-10,10.2,2024-09-10,9.93,2.7190332326283944,3.625377643504526,27.939042089985485,False,1.6949,1.1391,3,3,3,100.0,28.676848790216763,53.103448275862064,7.2809667673716065,2.7190332326283944,历史3/3次成功; 当前距低点2.72%; 最新日涨幅1.69%; 状态bottom_area; 底部未确认
2,86.06597306569002,81.8909433962264,603004,鼎龙科技,bottom_area,2024-09-10,16.28,2024-09-10,15.9,2.389937106918244,3.773584905660375,28.184281842818425,False,-0.489,11.8217,2,2,2,100.0,52.20363732099522,55.7168784029038,7.610062893081756,2.389937106918244,历史2/2次成功; 当前距低点2.39%; 最新日涨幅-0.49%; 状态bottom_area; 底部未确认
3,85.44598459293195,80.59213980898191,002674,兴业科技,bottom_area,2024-09-10,7.92,2024-08-21,7.77,1.9305019305019353,6.30630630630631,31.72231985940247,False,0.7634,0.2759,1,1,1,100.0,31.578947368421055,31.578947368421055,8.069498069498065,1.9305019305019353,历史1/1次成功; 当前距低点1.93%; 最新日涨幅0.76%; 状态bottom_area; 底部未确认
4,85.27743963429849,79.23087300986168,603027,千禾味业,bottom_area,2024-09-10,10.64,2024-09-10,10.52,1.1406844106463974,2.7566539923954463,27.04576976421637,False,-1.4815,1.265,1,1,1,100.0,37.051792828685265,37.051792828685265,8.859315589353603,1.1406844106463974,历史1/1次成功; 当前距低点1.14%; 最新日涨幅-1.48%; 状态bottom_area; 底部未确认
5,84.9368249289396,80.32364274430071,000899,赣能股份,bottom_area,2024-09-10,7.4,2024-09-10,7.25,2.0689655172413843,2.620689655172419,27.427427427427432,False,0.4071,0.7309,5,6,5,83.33333333333334,17.943821453106086,27.473958333333325,7.931034482758616,2.0689655172413843,历史5/6次成功; 当前距低点2.07%; 最新日涨幅0.41%; 状态bottom_area; 底部未确认
6,84.77067800445963,82.44000421222746,300653,正海生物,bottom_area,2024-09-10,19.03,2024-08-28,18.38,3.5364526659412525,7.83460282916214,27.466456195737965,True,0.0,1.0034,3,3,3,100.0,18.672668228889858,29.647513278609367,6.463547334058747,3.5364526659412525,历史3/3次成功; 当前距低点3.54%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
7,84.18697092720521,78.64655547139733,300401,花园生物,bottom_area,2024-09-10,12.08,2024-09-10,11.91,1.42737195633921,2.85474391267842,30.023501762632193,False,-0.1653,2.0262,2,2,2,100.0,20.757868450810403,29.551451187335093,8.57262804366079,1.42737195633921,历史2/2次成功; 当前距低点1.43%; 最新日涨幅-0.17%; 状态bottom_area; 底部未确认
8,83.04674151307061,79.81350327828459,603132,金徽股份,bottom_area,2024-09-10,10.59,2024-09-10,10.29,2.915451895043739,3.012633624878528,31.354236157438297,False,0.8571,1.0373,2,2,2,100.0,22.799643005292072,33.20754716981132,7.084548104956262,2.915451895043739,历史2/2次成功; 当前距低点2.92%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
9,83.04282020523502,79.8598615239694,000597,东北制药,bottom_area,2024-09-10,4.19,2024-08-26,4.07,2.948402948402951,5.65110565110564,32.053422370617696,False,-0.7109,1.6552,3,3,3,100.0,29.259248636172746,61.02150537634409,7.05159705159705,2.948402948402951,历史3/3次成功; 当前距低点2.95%; 最新日涨幅-0.71%; 状态bottom_area; 底部未确认
10,82.13869168387933,77.14488536412524,002140,东华科技,bottom_area,2024-09-10,6.55,2024-09-10,6.44,1.7080745341614818,2.018633540372669,28.44444444444444,False,0.6144,0.5018,1,1,1,100.0,10.318791946308728,10.318791946308728,8.291925465838519,1.7080745341614818,历史1/1次成功; 当前距低点1.71%; 最新日涨幅0.61%; 状态bottom_area; 底部未确认
11,81.33337757088502,75.54914607455214,001286,陕西能源,bottom_area,2024-09-10,8.96,2024-09-09,8.86,1.1286681715575781,1.8058690744921009,29.849564528899453,False,-0.3337,0.835,1,1,1,100.0,17.110266159695826,17.110266159695826,8.871331828442422,1.1286681715575781,历史1/1次成功; 当前距低点1.13%; 最新日涨幅-0.33%; 状态bottom_area; 底部未确认
