rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.64466612814768,81.89533808765832,605133,嵘泰股份,bottom_area,2024-02-05,16.67,2024-02-05,16.43,1.4607425441266098,9.86001217285454,27.171985815602834,False,-8.3562,5.7175,2,2,2,100.0,48.8485542379945,60.01483679525222,13.539257455873392,1.4607425441266098,历史2/2次成功; 当前距低点1.46%; 最新日涨幅-8.36%; 状态bottom_area; 底部未确认
2,89.41861343342894,80.56346022100188,300382,斯莱克,bottom_area,2024-02-05,5.9,2024-02-05,5.79,1.8998272884283303,13.298791018998266,29.56204379562044,False,-11.2782,1.8865,3,3,3,100.0,30.403583003325068,49.70059880239522,13.10017271157167,1.8998272884283303,历史3/3次成功; 当前距低点1.90%; 最新日涨幅-11.28%; 状态bottom_area; 底部未确认
3,86.74259481143619,77.34400816384269,603171,税友股份,bottom_area,2024-02-05,21.89,2024-02-05,21.6,1.3425925925925886,11.0648148148148,28.07192807192807,False,-8.7917,4.3171,2,2,2,100.0,22.930748790074055,25.396825396825395,13.65740740740741,1.3425925925925886,历史2/2次成功; 当前距低点1.34%; 最新日涨幅-8.79%; 状态bottom_area; 底部未确认
4,86.20641117953639,77.0191293244103,002026,山东威达,bottom_area,2024-02-05,6.3,2024-02-05,6.21,1.4492753623188384,9.82286634460548,29.028571428571432,False,-8.6957,2.4756,2,2,2,100.0,22.49181263708199,29.397590361445776,13.55072463768116,1.4492753623188384,历史2/2次成功; 当前距低点1.45%; 最新日涨幅-8.70%; 状态bottom_area; 底部未确认
5,85.69651158562401,74.51870572662958,000619,海螺新材,bottom_area,2024-02-05,4.46,2024-02-05,4.46,0.0,11.659192825112118,31.278890600924502,False,-9.899,4.2322,3,3,3,100.0,26.71347164854606,32.01692524682651,15.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-9.90%; 状态bottom_area; 底部未确认
6,85.61548779686473,74.44825025814325,600135,乐凯胶片,bottom_area,2024-02-05,5.24,2024-02-05,5.24,0.0,10.305343511450381,29.093369418132603,False,-9.9656,1.9822,2,2,2,100.0,43.00134547388843,56.981132075471706,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
7,85.52487151615806,74.36945349231137,605208,永茂泰,bottom_area,2024-02-05,5.9,2024-02-05,5.9,0.0,11.016949152542363,31.949250288350626,False,-10.061,3.1923,3,3,3,100.0,25.911040281243864,46.887631366208595,15.0,0.0,历史3/3次成功; 当前距低点0.00%; 最新日涨幅-10.06%; 状态bottom_area; 底部未确认
8,85.50649672131146,74.35347540983607,002636,金安国纪,bottom_area,2024-02-05,5.4,2024-02-05,5.4,0.0,11.296296296296285,29.961089494163417,False,-10.0,1.3756,2,2,2,100.0,42.49180327868853,69.0,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
9,85.30940809195158,76.47189078366874,300667,必创科技,confirmed_rebound,2024-02-05,9.99,2024-02-05,9.83,1.6276703967446606,17.395727365208536,31.21063680895731,False,-13.9535,4.3377,2,2,2,100.0,31.951501549712724,36.615811373092924,13.37232960325534,1.6276703967446606,历史2/2次成功; 当前距低点1.63%; 最新日涨幅-13.95%; 状态confirmed_rebound; 底部未确认
10,85.06407153776281,76.60982426433671,603200,上海洗霸,bottom_area,2024-02-05,14.1,2024-02-05,13.84,1.8786127167630042,10.549132947976885,31.349206349206348,False,-8.3225,3.4164,2,2,2,100.0,25.55409278793739,32.93196869355809,13.121387283236995,1.8786127167630042,历史2/2次成功; 当前距低点1.88%; 最新日涨幅-8.32%; 状态bottom_area; 底部未确认
11,85.06230923133053,75.13901836181073,300545,联得装备,bottom_area,2024-02-05,20.38,2024-02-05,20.21,0.8411677387431873,13.458683819891137,28.001425008906306,False,-11.6219,5.3576,3,3,3,100.0,28.101509710458018,41.33891213389123,14.158832261256812,0.8411677387431873,历史3/3次成功; 当前距低点0.84%; 最新日涨幅-11.62%; 状态bottom_area; 底部未确认
