rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.33689170544808,79.28745789328198,300421,力星股份,bottom_area,2022-01-19,16.77,2022-01-19,16.48,1.7597087378640723,2.7912621359223353,27.400881057268716,False,-0.1786,2.087,2,2,2,100.0,28.27738610544126,43.59974009096816,8.240291262135928,1.7597087378640723,历史2/2次成功; 当前距低点1.76%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
2,82.38223112047456,79.69300223835717,601778,晶科科技,bottom_area,2022-01-19,7.29,2022-01-17,7.06,3.257790368271961,4.107648725212465,27.58974358974359,False,0.5517,1.623,2,2,2,100.0,26.348195043103452,42.344827586206904,6.7422096317280396,3.257790368271961,历史2/2次成功; 当前距低点3.26%; 最新日涨幅0.55%; 状态bottom_area; 底部未确认
3,80.52386665453052,78.40275016704534,300484,蓝海华腾,bottom_area,2022-01-19,14.97,2022-01-10,14.45,3.5986159169550267,5.813148788927335,29.580896686159846,False,0.3351,1.6614,2,2,2,100.0,23.589217514531214,28.708133971291865,6.401384083044974,3.5986159169550267,历史2/2次成功; 当前距低点3.60%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
4,79.70479513862477,74.53719147962627,688286,敏芯股份,bottom_area,2022-01-19,77.37,2022-01-19,76.24,1.4821615949632867,4.144805876180497,28.41314553990611,False,-1.9143,2.5611,1,1,1,100.0,16.00279524807827,16.00279524807827,8.517838405036713,1.4821615949632867,历史1/1次成功; 当前距低点1.48%; 最新日涨幅-1.91%; 状态bottom_area; 底部未确认
5,79.3517832058843,75.75349232065325,300409,道氏技术,bottom_area,2022-01-19,22.4,2022-01-14,21.84,2.564102564102558,6.822344322344315,29.910141206675227,False,-2.2688,2.8586,1,1,1,100.0,35.80454928390903,35.80454928390903,7.435897435897443,2.564102564102558,历史1/1次成功; 当前距低点2.56%; 最新日涨幅-2.27%; 状态bottom_area; 底部未确认
6,77.49341378554664,74.15588127963031,688317,之江生物,bottom_area,2022-01-19,57.28,2022-01-19,55.78,2.689135891000358,5.754750806740769,29.712701612903224,False,-3.5528,10.6509,1,1,1,100.0,38.96296296296296,38.96296296296296,7.310864108999643,2.689135891000358,历史1/1次成功; 当前距低点2.69%; 最新日涨幅-3.55%; 状态bottom_area; 底部未确认
7,76.68985405307039,70.27415170564328,300595,欧普康视,bottom_area,2022-01-19,48.25,2022-01-19,48.05,0.4162330905307031,3.0801248699271677,27.570093457943933,False,-1.7912,1.4002,1,1,1,100.0,19.855715871254166,19.855715871254166,9.583766909469297,0.4162330905307031,历史1/1次成功; 当前距低点0.42%; 最新日涨幅-1.79%; 状态bottom_area; 底部未确认
8,75.11208160597006,73.07599472990776,601218,吉鑫科技,bottom_area,2022-01-19,5.24,2022-01-19,5.06,3.5573122529644388,3.5573122529644388,28.63187588152328,False,0.3831,3.0852,1,1,1,100.0,11.111111111111114,11.111111111111114,6.442687747035561,3.5573122529644388,历史1/1次成功; 当前距低点3.56%; 最新日涨幅0.38%; 状态bottom_area; 底部未确认
9,74.53696131792248,73.59211512484204,601126,四方股份,bottom_area,2022-01-19,18.07,2022-01-11,17.32,4.330254041570439,9.69976905311778,30.21756647864625,True,-3.369,2.9958,1,1,1,100.0,46.85534591194968,46.85534591194968,5.669745958429562,4.330254041570439,历史1/1次成功; 当前距低点4.33%; 最新日涨幅-3.37%; 状态bottom_area; 底部已确认
10,73.16433456561924,66.51303142329022,603333,尚纬股份,bottom_area,2022-01-19,9.93,2022-01-19,9.93,0.0,0.0,28.458213256484154,False,-9.9728,0.4036,1,1,1,100.0,17.005545286506468,17.005545286506468,10.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-9.97%; 状态bottom_area; 底部未确认
11,68.78906448116233,67.22120065108983,688075,安旭生物,confirmed_rebound,2022-01-19,227.32,2022-01-19,219.02,3.7896082549538774,11.514930143365902,27.6588717135685,False,-3.678,11.7768,1,1,1,100.0,25.384448776261635,25.384448776261635,6.210391745046123,3.7896082549538774,历史1/1次成功; 当前距低点3.79%; 最新日涨幅-3.68%; 状态confirmed_rebound; 底部未确认
12,54.39448037527017,50.355633139195554,300482,万孚生物,bottom_area,2022-01-19,44.56,2022-01-19,44.14,0.951517897598554,5.459900317172624,27.16171617161716,False,-2.1734,6.9204,1,2,1,50.0,10.99512874043146,10.99512874043146,9.048482102401447,0.951517897598554,历史1/2次成功; 当前距低点0.95%; 最新日涨幅-2.17%; 状态bottom_area; 底部未确认
13,48.94937876024789,48.41225014549495,600257,大湖股份,bottom_area,2022-01-19,6.85,2022-01-19,6.56,4.420731707317074,6.554878048780497,28.462377317339154,False,-6.0357,23.639,1,2,1,50.0,13.44902386117137,13.44902386117137,5.579268292682926,4.420731707317074,历史1/2次成功; 当前距低点4.42%; 最新日涨幅-6.04%; 状态bottom_area; 底部未确认
