rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,93.44724900218797,82.8650723548041,600956,新天绿能,bottom_area,2024-09-06,6.75,2024-08-29,6.68,1.0479041916167708,7.035928143712584,28.860489882854107,True,-0.5891,0.2271,2,2,2,100.0,29.592978019840494,41.27358490566036,13.952095808383227,1.0479041916167708,历史2/2次成功; 当前距低点1.05%; 最新日涨幅-0.59%; 状态bottom_area; 底部已确认
2,91.42263397028452,82.1776485126153,002219,新里程,bottom_area,2024-09-06,1.72,2024-08-23,1.69,1.7751479289940846,7.6923076923077,29.288702928870297,True,-2.8249,0.6407,2,2,2,100.0,34.81175156302061,45.685279187817265,13.224852071005916,1.7751479289940846,历史2/2次成功; 当前距低点1.78%; 最新日涨幅-2.82%; 状态bottom_area; 底部已确认
3,87.97418919616966,78.17275756959965,002674,兴业科技,bottom_area,2024-09-06,7.86,2024-08-21,7.77,1.158301158301168,6.30630630630631,31.72231985940247,False,-1.5038,0.4439,1,1,1,100.0,31.578947368421055,31.578947368421055,13.841698841698832,1.158301158301168,历史1/1次成功; 当前距低点1.16%; 最新日涨幅-1.50%; 状态bottom_area; 底部未确认
4,85.89659666283083,74.69269275028769,000517,荣安地产,bottom_area,2024-09-06,1.94,2024-09-06,1.94,0.0,2.5773195876288684,31.20567375886525,False,-2.5126,0.8736,2,2,2,100.0,34.10049865746067,40.92827004219408,15.0,0.0,历史2/2次成功; 当前距低点0.00%; 最新日涨幅-2.51%; 状态bottom_area; 底部未确认
5,84.09744992004623,73.9505541776746,001218,丽臣实业,bottom_area,2024-09-06,13.45,2024-09-06,13.37,0.5983545250560963,1.9446522064323228,32.47474747474748,False,-1.2482,1.0989,2,2,2,100.0,25.18711018711019,29.999999999999993,14.401645474943903,0.5983545250560963,历史2/2次成功; 当前距低点0.60%; 最新日涨幅-1.25%; 状态bottom_area; 底部未确认
6,84.03864463282663,75.34474570808246,603079,圣达生物,bottom_area,2024-09-06,10.56,2024-08-26,10.39,1.6361886429258894,6.929740134744936,28.83561643835616,False,-1.8587,1.2122,1,1,1,100.0,22.232558139534888,22.232558139534888,13.363811357074109,1.6361886429258894,历史1/1次成功; 当前距低点1.64%; 最新日涨幅-1.86%; 状态bottom_area; 底部未确认
7,81.84418135994606,76.4205548032234,000532,华金资本,bottom_area,2024-09-06,10.61,2024-09-04,10.22,3.816046966731886,7.632093933463789,27.926657263751757,True,-0.8411,3.8258,2,2,2,100.0,28.877106921355356,32.044198895027606,11.183953033268113,3.816046966731886,历史2/2次成功; 当前距低点3.82%; 最新日涨幅-0.84%; 状态bottom_area; 底部已确认
8,81.79895752655354,71.3294609363462,600011,华能国际,bottom_area,2024-09-06,6.67,2024-09-05,6.66,0.15015015015014693,3.003003003003006,32.72727272727273,False,-1.3314,0.4953,1,1,1,100.0,22.267759562841515,22.267759562841515,14.849849849849853,0.15015015015014693,历史1/1次成功; 当前距低点0.15%; 最新日涨幅-1.33%; 状态bottom_area; 底部未确认
9,80.90423764018205,70.52873959141772,000983,山西焦煤,bottom_area,2024-09-06,7.44,2024-09-06,7.43,0.13458950201885161,1.884253028263803,31.52073732718894,False,-1.847,0.4074,3,4,3,75.0,21.938729333444627,27.212389380530986,14.865410497981149,0.13458950201885161,历史3/4次成功; 当前距低点0.13%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
10,80.85838624911433,70.45832890369674,001286,陕西能源,bottom_area,2024-09-06,8.98,2024-09-06,8.97,0.11148272017836997,2.7870680044593086,28.97862232779097,False,-2.3913,1.0995,1,1,1,100.0,17.110266159695826,17.110266159695826,14.888517279821627,0.11148272017836997,历史1/1次成功; 当前距低点0.11%; 最新日涨幅-2.39%; 状态bottom_area; 底部未确认
11,79.66180264945719,75.47107728337237,000628,高新发展,bottom_area,2024-09-06,35.73,2024-08-28,34.16,4.596018735362999,10.655737704918035,27.31914893617022,True,-1.7056,4.3014,1,1,1,100.0,99.77973568281939,99.77973568281939,10.403981264637,4.596018735362999,历史1/1次成功; 当前距低点4.60%; 最新日涨幅-1.71%; 状态bottom_area; 底部已确认
