rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
23,81.4293202858634,76.74113460799326,002761,浙江建投,bottom_area,2024-01-22,8.8,2024-01-22,8.72,0.9174311926605512,6.880733944954123,32.298136645962735,False,-5.5794,1.631,4,4,4,100.0,20.98321358741574,43.73730534867976,7.082568807339448,0.9174311926605512,历史4/4次成功; 当前距低点0.92%; 最新日涨幅-5.58%; 状态bottom_area; 底部未确认
24,81.29001114717012,77.44376953825409,688246,嘉和美康,confirmed_rebound,2024-01-22,25.37,2024-01-22,25.0,1.480000000000004,9.439999999999998,28.591830905455577,False,-7.0355,0.852,2,2,2,100.0,35.36650289383915,58.0508474576271,6.519999999999997,1.480000000000004,历史2/2次成功; 当前距低点1.48%; 最新日涨幅-7.04%; 状态confirmed_rebound; 底部未确认
25,81.21199272430106,76.27914944796117,000665,湖北广电,bottom_area,2024-01-22,4.07,2024-01-22,4.04,0.7425742574257487,7.673267326732663,28.621908127208485,False,-5.787,1.1662,4,4,4,100.0,16.35601481124668,26.231691078561926,7.257425742574251,0.7425742574257487,历史4/4次成功; 当前距低点0.74%; 最新日涨幅-5.79%; 状态bottom_area; 底部未确认
26,80.94392244923318,77.40229546642784,002395,双象股份,confirmed_rebound,2024-01-22,16.4,2024-01-22,16.13,1.673899566026036,10.291382517048978,32.53868674194898,False,-5.1475,8.3959,3,3,3,100.0,20.853690736382834,36.59976387249114,6.326100433973964,1.673899566026036,历史3/3次成功; 当前距低点1.67%; 最新日涨幅-5.15%; 状态confirmed_rebound; 底部未确认
27,80.87202020958414,76.39593232962211,300463,迈克生物,bottom_area,2024-01-22,12.63,2024-01-22,12.5,1.0400000000000063,7.599999999999994,28.078250863060983,False,-5.8166,1.2477,2,2,2,100.0,14.12436736355977,14.159515396264513,6.959999999999994,1.0400000000000063,历史2/2次成功; 当前距低点1.04%; 最新日涨幅-5.82%; 状态bottom_area; 底部未确认
28,80.83641590217965,76.61567227959138,605069,正和生态,confirmed_rebound,2024-01-22,8.35,2024-01-22,8.25,1.2121212121212077,8.363636363636358,27.24867724867725,False,-7.5305,8.4768,3,3,3,100.0,10.964024963589921,12.604042806183122,6.7878787878787925,1.2121212121212077,历史3/3次成功; 当前距低点1.21%; 最新日涨幅-7.53%; 状态confirmed_rebound; 底部未确认
29,80.7192585830745,76.96520515826492,300636,同和药业,confirmed_rebound,2024-01-22,8.66,2024-01-22,8.53,1.524032825322401,10.316529894490046,29.211618257261417,False,-7.5774,0.9699,1,1,1,100.0,122.63187748156552,122.63187748156552,6.475967174677599,1.524032825322401,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-7.58%; 状态confirmed_rebound; 底部未确认
30,80.68861410271367,76.41190175785795,000729,燕京啤酒,bottom_area,2024-01-22,7.79,2024-01-22,7.7,1.168831168831167,5.714285714285719,27.76735459662289,False,-5.1157,0.7083,2,2,2,100.0,15.789445283833375,17.9203539823009,6.831168831168834,1.168831168831167,历史2/2次成功; 当前距低点1.17%; 最新日涨幅-5.12%; 状态bottom_area; 底部未确认
31,80.65747263413056,75.22106247206294,603211,晋拓股份,bottom_area,2024-01-22,16.15,2024-01-22,16.09,0.3729024238657472,6.898694841516466,27.260397830018086,False,-1.5844,14.5294,3,3,3,100.0,12.587526873531388,15.200000000000008,7.627097576134253,0.3729024238657472,历史3/3次成功; 当前距低点0.37%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
32,80.45058976271667,76.04269138097217,002347,泰尔股份,confirmed_rebound,2024-01-22,4.72,2024-01-22,4.67,1.0706638115631655,8.779443254817991,30.917159763313606,False,-6.3492,10.2794,2,2,2,100.0,22.816155222237516,29.585798816568047,6.929336188436835,1.0706638115631655,历史2/2次成功; 当前距低点1.07%; 最新日涨幅-6.35%; 状态confirmed_rebound; 底部未确认
