rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,97.32151808392696,86.24797193810494,000517,荣安地产,bottom_area,2024-09-05,1.99,2024-09-05,1.97,1.0152284263959401,3.0456852791878086,30.141843971631204,False,0.0,1.0886,2,2,2,100.0,34.10049865746067,40.92827004219408,13.98477157360406,1.0152284263959401,历史2/2次成功; 当前距低点1.02%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
2,95.5474915333277,85.67980289372625,600956,新天绿能,bottom_area,2024-09-05,6.79,2024-08-29,6.68,1.6467065868263524,7.035928143712584,28.860489882854107,True,0.5926,0.2248,2,2,2,100.0,29.592978019840494,41.27358490566036,13.353293413173647,1.6467065868263524,历史2/2次成功; 当前距低点1.65%; 最新日涨幅0.59%; 状态bottom_area; 底部已确认
3,92.74768518972908,83.16151891271296,001218,丽臣实业,bottom_area,2024-09-05,13.62,2024-08-30,13.4,1.641791044776111,4.850746268656718,32.323232323232325,False,0.7396,0.6177,2,2,2,100.0,25.18711018711019,29.999999999999993,13.358208955223889,1.641791044776111,历史2/2次成功; 当前距低点1.64%; 最新日涨幅0.74%; 状态bottom_area; 底部未确认
4,89.27489842099838,79.83837985526512,600011,华能国际,bottom_area,2024-09-05,6.76,2024-09-05,6.66,1.501501501501496,2.1021021021020974,32.72727272727273,False,0.0,0.4764,1,1,1,100.0,22.267759562841515,22.267759562841515,13.498498498498504,1.501501501501496,历史1/1次成功; 当前距低点1.50%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,87.93168857071517,79.18998915388185,002715,登云股份,bottom_area,2024-09-05,9.77,2024-08-23,9.59,1.8769551616266915,7.4035453597497485,31.45103645461044,True,-1.809,2.1746,1,1,1,100.0,36.66369313113291,36.66369313113291,13.123044838373307,1.8769551616266915,历史1/1次成功; 当前距低点1.88%; 最新日涨幅-1.81%; 状态bottom_area; 底部已确认
6,87.22700237427091,78.32032588288268,000708,中信特钢,bottom_area,2024-09-05,11.26,2024-09-04,11.07,1.716350496838297,2.2583559168925023,32.08588957055215,False,0.8961,0.0964,1,1,1,100.0,16.739811912225715,16.739811912225715,13.283649503161701,1.716350496838297,历史1/1次成功; 当前距低点1.72%; 最新日涨幅0.90%; 状态bottom_area; 底部未确认
7,86.1960458186718,78.83152204836412,002674,兴业科技,bottom_area,2024-09-05,7.98,2024-08-21,7.77,2.702702702702714,6.30630630630631,31.72231985940247,False,0.5038,0.2703,1,1,1,100.0,31.578947368421055,31.578947368421055,12.297297297297286,2.702702702702714,历史1/1次成功; 当前距低点2.70%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
8,85.46533551988085,75.8136036560207,000983,山西焦煤,bottom_area,2024-09-05,7.58,2024-09-05,7.5,1.0666666666666678,4.533333333333331,30.87557603686636,False,-1.3021,0.6358,3,4,3,75.0,21.938729333444627,27.212389380530986,13.93333333333333,1.0666666666666678,历史3/4次成功; 当前距低点1.07%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
9,83.8175836009451,79.6120863824378,002219,新里程,bottom_area,2024-09-05,1.77,2024-08-23,1.69,4.733727810650891,7.6923076923077,29.288702928870297,True,1.7241,0.751,2,2,2,100.0,34.81175156302061,45.685279187817265,10.266272189349108,4.733727810650891,历史2/2次成功; 当前距低点4.73%; 最新日涨幅1.72%; 状态bottom_area; 底部已确认
10,82.11152345270277,75.68939312679306,002357,富临运业,bottom_area,2024-09-05,5.28,2024-08-29,5.12,3.1250000000000027,4.492187499999991,28.08988764044944,False,2.3256,3.8219,3,4,3,75.0,24.02899530533914,31.941031941031934,11.874999999999996,3.1250000000000027,历史3/4次成功; 当前距低点3.13%; 最新日涨幅2.33%; 状态bottom_area; 底部未确认
11,80.99990482572798,76.88272701457369,000532,华金资本,bottom_area,2024-09-05,10.7,2024-09-04,10.22,4.696673189823861,4.794520547945207,27.926657263751757,False,1.4218,2.3103,2,2,2,100.0,28.877106921355356,32.044198895027606,10.303326810176138,4.696673189823861,历史2/2次成功; 当前距低点4.70%; 最新日涨幅1.42%; 状态bottom_area; 底部未确认
12,80.85140681096112,75.13591028941067,603079,圣达生物,bottom_area,2024-09-05,10.76,2024-08-26,10.39,3.5611164581328127,6.929740134744936,28.83561643835616,False,1.3183,1.1613,1,1,1,100.0,22.232558139534888,22.232558139534888,11.438883541867186,3.5611164581328127,历史1/1次成功; 当前距低点3.56%; 最新日涨幅1.32%; 状态bottom_area; 底部未确认
13,78.62763477256134,69.21579178141461,001286,陕西能源,bottom_area,2024-09-05,9.2,2024-09-05,9.14,0.6564551422319334,1.3129102844638865,27.6326207442597,False,-0.1086,0.9093,1,1,1,100.0,17.110266159695826,17.110266159695826,14.343544857768068,0.6564551422319334,历史1/1次成功; 当前距低点0.66%; 最新日涨幅-0.11%; 状态bottom_area; 底部未确认
14,75.08596553500972,71.4975206309345,002230,科大讯飞,bottom_area,2024-09-05,34.25,2024-08-28,32.66,4.868340477648511,6.399265156154328,28.093350946719518,False,1.0921,0.6567,1,1,1,100.0,18.69535978480161,18.69535978480161,10.131659522351487,4.868340477648511,历史1/1次成功; 当前距低点4.87%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
15,73.75792920328614,69.25627155238136,000539,粤电力A,bottom_area,2024-09-05,4.3,2024-08-26,4.13,4.1162227602905554,6.7796610169491585,31.395348837209298,False,-1.1494,0.4041,1,1,1,100.0,19.89924433249369,19.89924433249369,10.883777239709444,4.1162227602905554,历史1/1次成功; 当前距低点4.12%; 最新日涨幅-1.15%; 状态bottom_area; 底部未确认
16,73.08991707385623,69.0216970478589,000597,东北制药,bottom_area,2024-09-05,4.25,2024-08-26,4.07,4.422604422604415,5.65110565110564,32.053422370617696,False,1.9185,1.4783,2,3,2,66.66666666666666,38.80950787489403,61.02150537634409,10.577395577395585,4.422604422604415,历史2/3次成功; 当前距低点4.42%; 最新日涨幅1.92%; 状态bottom_area; 底部未确认
17,72.17735663460411,65.10879959119205,000922,佳电股份,bottom_area,2024-09-05,9.34,2024-09-04,9.16,1.9650655021834031,2.401746724890837,27.01195219123506,False,1.1918,1.1428,1,2,1,50.0,40.42553191489362,40.42553191489362,13.034934497816597,1.9650655021834031,历史1/2次成功; 当前距低点1.97%; 最新日涨幅1.19%; 状态bottom_area; 底部未确认
18,71.69190991517989,63.69923076923079,002110,三钢闽光,bottom_area,2024-09-05,2.63,2024-09-04,2.6,1.1538461538461462,1.5384615384615397,30.85106382978723,False,1.1538,0.193,1,2,1,50.0,22.90322580645161,22.90322580645161,13.846153846153852,1.1538461538461462,历史1/2次成功; 当前距低点1.15%; 最新日涨幅1.15%; 状态bottom_area; 底部未确认
19,68.95649570921661,63.53456133928515,603069,海汽集团,bottom_area,2024-09-05,14.63,2024-09-04,14.19,3.1007751937984587,4.862579281183941,30.982490272373536,False,2.0223,1.2647,2,6,2,33.33333333333333,48.661265848453205,76.0375880971026,11.899224806201541,3.1007751937984587,历史2/6次成功; 当前距低点3.10%; 最新日涨幅2.02%; 状态bottom_area; 底部未确认
20,66.68191620340482,58.90803234501348,603132,金徽股份,bottom_area,2024-09-05,10.73,2024-09-04,10.64,0.8458646616541339,1.973684210526307,29.019346230820542,False,0.1867,1.0158,1,2,1,50.0,33.20754716981132,33.20754716981132,14.154135338345867,0.8458646616541339,历史1/2次成功; 当前距低点0.85%; 最新日涨幅0.19%; 状态bottom_area; 底部未确认
21,65.96622141354389,60.68565638087693,300401,花园生物,bottom_area,2024-09-05,12.63,2024-09-04,12.26,3.0179445350734175,4.486133768352371,27.967097532314924,False,2.7665,3.7195,1,2,1,50.0,29.551451187335093,29.551451187335093,11.982055464926582,3.0179445350734175,历史1/2次成功; 当前距低点3.02%; 最新日涨幅2.77%; 状态bottom_area; 底部未确认
22,65.92275238682605,60.38271284613958,688287,退市观典,bottom_area,2024-09-05,4.06,2024-08-30,3.95,2.784810126582264,9.87341772151898,31.77892918825561,True,0.0,1.1466,1,4,1,25.0,36.70473083197391,36.70473083197391,12.215189873417735,2.784810126582264,历史1/4次成功; 当前距低点2.78%; 最新日涨幅0.00%; 状态bottom_area; 底部已确认
23,65.68201493157063,61.1214782644347,000037,深南电A,bottom_area,2024-09-05,7.13,2024-08-28,6.88,3.6337209302325584,5.523255813953487,28.92561983471074,False,-0.2797,1.3035,4,8,4,50.0,28.58259131916628,45.16765285996055,11.36627906976744,3.6337209302325584,历史4/8次成功; 当前距低点3.63%; 最新日涨幅-0.28%; 状态bottom_area; 底部未确认
24,63.34473518428508,57.16578623133888,300563,神宇股份,bottom_area,2024-09-05,29.24,2024-09-05,28.67,1.9881409138472157,5.615626089989534,29.104846686449054,False,-2.9216,18.3634,1,2,1,50.0,20.477137176938378,20.477137176938378,13.011859086152782,1.9881409138472157,历史1/2次成功; 当前距低点1.99%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
25,63.27221474575541,56.258429895942484,600160,巨化股份,bottom_area,2024-09-05,14.43,2024-09-05,14.26,1.192145862552594,6.661991584852743,29.822834645669293,False,-5.4391,1.9189,1,2,1,50.0,16.05657237936772,16.05657237936772,13.807854137447407,1.192145862552594,历史1/2次成功; 当前距低点1.19%; 最新日涨幅-5.44%; 状态bottom_area; 底部未确认
26,61.570502401451485,58.23619477882096,603282,亚光股份,bottom_area,2024-09-05,12.75,2024-08-26,12.2,4.5081967213114815,6.311475409836078,27.164179104477615,False,1.5127,1.2431,1,2,1,50.0,34.64991023339317,34.64991023339317,10.491803278688518,4.5081967213114815,历史1/2次成功; 当前距低点4.51%; 最新日涨幅1.51%; 状态bottom_area; 底部未确认
27,60.22621643934081,56.92852735476595,688065,凯赛生物,bottom_area,2024-09-05,35.26,2024-08-27,33.75,4.4740740740740685,8.711111111111105,30.36930059830823,True,0.5705,0.1625,1,2,1,50.0,18.007614213197968,18.007614213197968,10.52592592592593,4.4740740740740685,历史1/2次成功; 当前距低点4.47%; 最新日涨幅0.57%; 状态bottom_area; 底部已确认
