rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.71769210672356,85.22309531077894,603033,三维股份,bottom_area,2023-08-08,15.26,2023-08-07,15.06,1.3280212483399687,1.7928286852589612,30.180806675938804,False,0.4608,0.1415,3,3,3,100.0,15.757977188140112,24.922480620155024,6.671978751660032,1.3280212483399687,历史3/3次成功; 当前距低点1.33%; 最新日涨幅0.46%; 状态bottom_area; 底部未确认
2,87.84267499224482,84.15733261246491,002829,星网宇达,bottom_area,2023-08-08,31.02,2023-08-02,30.48,1.771653543307084,3.0511811023622037,31.918695555059195,False,0.4859,1.6359,3,3,3,100.0,15.4661435011025,21.628131021194598,6.2283464566929165,1.771653543307084,历史3/3次成功; 当前距低点1.77%; 最新日涨幅0.49%; 状态bottom_area; 底部未确认
3,84.98994043978878,79.08648379521655,605117,德业股份,bottom_area,2023-08-08,108.77,2023-08-08,108.49,0.2580883030694084,6.378468061572497,28.095174973488866,False,-3.8625,4.4855,6,6,6,100.0,25.510350140939813,59.18895599654874,7.741911696930592,0.2580883030694084,历史6/6次成功; 当前距低点0.26%; 最新日涨幅-3.86%; 状态bottom_area; 底部未确认
4,83.8758115745198,80.54035924127683,300342,天银机电,bottom_area,2023-08-08,11.32,2023-07-28,11.11,1.890189018901898,5.220522052205221,28.368794326241137,False,-2.2453,3.8109,3,3,3,100.0,19.9461838944793,26.68539325842696,6.109810981098103,1.890189018901898,历史3/3次成功; 当前距低点1.89%; 最新日涨幅-2.25%; 状态bottom_area; 底部未确认
5,83.66525286510978,79.39525590867676,300633,开立医疗,bottom_area,2023-08-08,42.84,2023-08-08,42.3,1.276595744680866,2.553191489361715,32.44969658256148,False,0.1168,0.958,1,1,1,100.0,17.12846347607052,17.12846347607052,6.723404255319135,1.276595744680866,历史1/1次成功; 当前距低点1.28%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
6,81.96146059380193,77.9057124586416,300515,三德科技,bottom_area,2023-08-08,13.4,2023-07-28,13.22,1.3615733736762459,7.3373676248108834,27.162534435261698,True,-1.1799,1.4079,1,1,1,100.0,23.441396508728182,23.441396508728182,6.638426626323754,1.3615733736762459,历史1/1次成功; 当前距低点1.36%; 最新日涨幅-1.18%; 状态bottom_area; 底部已确认
7,81.16506223034655,78.80366044651957,600081,东风科技,bottom_area,2023-08-08,11.64,2023-07-28,11.36,2.4647887323943762,4.5774647887324065,31.27646702964308,False,0.0,0.0,2,2,2,100.0,11.84612234612234,13.923013923013915,5.535211267605624,2.4647887323943762,历史2/2次成功; 当前距低点2.46%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
8,79.0797962799756,77.74809094390864,002755,奥赛康,bottom_area,2023-08-08,7.94,2023-08-08,7.7,3.1168831168831197,3.766233766233767,31.00358422939068,False,1.0178,0.516,1,1,1,100.0,30.831099195710454,30.831099195710454,4.883116883116881,3.1168831168831197,历史1/1次成功; 当前距低点3.12%; 最新日涨幅1.02%; 状态bottom_area; 底部未确认
9,78.62690626887843,75.45953703606656,600995,南网储能,confirmed_rebound,2023-08-08,10.94,2023-06-07,10.74,1.862197392923643,8.379888268156428,32.7909887359199,True,-1.1743,1.024,1,1,1,100.0,26.64165103189493,26.64165103189493,6.137802607076357,1.862197392923643,历史1/1次成功; 当前距低点1.86%; 最新日涨幅-1.17%; 状态confirmed_rebound; 底部已确认
10,77.87924397751152,78.75734309012554,002045,国光电器,bottom_area,2023-08-08,13.92,2023-07-28,13.31,4.58302028549962,6.536438767843721,27.937195452084456,False,-1.1364,1.4591,4,4,4,100.0,26.70230828529398,33.77563329312426,3.41697971450038,4.58302028549962,历史4/4次成功; 当前距低点4.58%; 最新日涨幅-1.14%; 状态bottom_area; 底部未确认
11,77.75197253613108,73.8678260905319,300565,科信技术,bottom_area,2023-08-08,16.69,2023-08-03,16.47,1.3357619914997112,3.9465695203400255,27.636203866432346,False,-0.5364,4.4483,1,1,1,100.0,10.60948081264109,10.60948081264109,6.6642380085002895,1.3357619914997112,历史1/1次成功; 当前距低点1.34%; 最新日涨幅-0.54%; 状态bottom_area; 底部未确认
