rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,91.39779512929411,86.8994696419463,300641,正丹股份,bottom_area,2024-08-09,22.1,2024-08-09,21.8,1.376146788990829,4.908256880733946,30.815614090764836,False,0.7293,7.0752,2,2,2,100.0,42.02733505830851,50.22522522522521,6.6238532110091715,1.376146788990829,历史2/2次成功; 当前距低点1.38%; 最新日涨幅0.73%; 状态bottom_area; 底部未确认
2,84.24378487657592,81.39496123340669,001203,大中矿业,bottom_area,2024-08-09,8.32,2024-08-05,8.14,2.2113022113022076,3.4398034398034314,30.00859845227859,False,0.1203,0.3603,2,2,2,100.0,22.670592877288865,29.46341463414634,5.788697788697792,2.2113022113022076,历史2/2次成功; 当前距低点2.21%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
3,84.15040305186481,79.15003474366557,000550,江铃汽车,bottom_area,2024-08-09,23.49,2024-08-08,23.3,0.8154506437768142,5.36480686695279,32.424593967517396,False,0.3417,4.6374,2,2,2,100.0,33.3293667283694,54.077669902912604,7.184549356223186,0.8154506437768142,历史2/2次成功; 当前距低点0.82%; 最新日涨幅0.34%; 状态bottom_area; 底部未确认
4,81.22936103897594,75.89083344491954,001239,永达股份,bottom_area,2024-08-09,15.08,2024-08-09,15.01,0.46635576282478536,5.796135909393745,27.10053423992229,False,-9.5923,40.8401,3,3,3,100.0,27.54905690408631,62.04678362573098,7.533644237175214,0.46635576282478536,历史3/3次成功; 当前距低点0.47%; 最新日涨幅-9.59%; 状态bottom_area; 底部未确认
5,81.0418218852604,79.569739689526,000065,北方国际,confirmed_rebound,2024-08-09,9.47,2024-07-25,9.19,3.04678998911862,8.7051142546246,30.641509433962266,True,-0.6296,0.5538,3,3,3,100.0,29.926993896325044,41.48061104582843,4.95321001088138,3.04678998911862,历史3/3次成功; 当前距低点3.05%; 最新日涨幅-0.63%; 状态confirmed_rebound; 底部已确认
6,78.69779650551318,77.27816793893132,002687,乔治白,bottom_area,2024-08-09,4.05,2024-07-25,3.93,3.053435114503808,5.852417302798981,32.82051282051282,False,-0.2463,0.7417,1,1,1,100.0,64.00000000000001,64.00000000000001,4.946564885496192,3.053435114503808,历史1/1次成功; 当前距低点3.05%; 最新日涨幅-0.25%; 状态bottom_area; 底部未确认
7,78.22318896796354,73.71299108149006,301606,绿联科技,bottom_area,2024-08-09,29.85,2024-08-08,29.58,0.912778904665325,4.462474645030428,28.705712219812014,False,0.7765,13.2324,1,1,1,100.0,21.957671957671955,21.957671957671955,7.087221095334676,0.912778904665325,历史1/1次成功; 当前距低点0.91%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
8,77.72037410394954,75.83002878356098,002563,森马服饰,bottom_area,2024-08-09,4.91,2024-07-30,4.78,2.719665271966525,7.531380753138063,29.080118694362017,True,-1.6032,0.497,1,1,1,100.0,28.929384965831446,28.929384965831446,5.280334728033475,2.719665271966525,历史1/1次成功; 当前距低点2.72%; 最新日涨幅-1.60%; 状态bottom_area; 底部已确认
9,75.89460135092983,74.52925486962792,600997,开滦股份,bottom_area,2024-08-09,6.07,2024-07-30,5.89,3.056027164685919,5.942275042444831,30.70588235294118,False,0.165,0.3835,1,1,1,100.0,12.77955271565495,12.77955271565495,4.9439728353140815,3.056027164685919,历史1/1次成功; 当前距低点3.06%; 最新日涨幅0.17%; 状态bottom_area; 底部未确认
10,75.57424084108152,76.40778026212286,603368,柳药集团,confirmed_rebound,2024-08-09,17.16,2024-07-31,16.41,4.570383912248629,8.470444850700796,31.908713692946062,True,-1.4925,1.3297,3,3,3,100.0,31.603524634675978,42.85714285714285,3.429616087751371,4.570383912248629,历史3/3次成功; 当前距低点4.57%; 最新日涨幅-1.49%; 状态confirmed_rebound; 底部已确认
11,75.25742637854528,74.61740046287215,001218,丽臣实业,bottom_area,2024-08-09,14.27,2024-07-25,13.78,3.5558780841799726,6.603773584905662,30.404040404040412,False,-0.6959,0.8028,2,2,2,100.0,25.18711018711019,29.999999999999993,4.444121915820028,3.5558780841799726,历史2/2次成功; 当前距低点3.56%; 最新日涨幅-0.70%; 状态bottom_area; 底部未确认
12,74.80242591336446,75.96647149299866,000811,冰轮环境,confirmed_rebound,2024-08-09,8.51,2024-07-24,8.12,4.802955665024638,11.083743842364537,31.64983164983166,True,-1.3905,0.7213,3,3,3,100.0,32.0817763938432,47.451868629671566,3.197044334975362,4.802955665024638,历史3/3次成功; 当前距低点4.80%; 最新日涨幅-1.39%; 状态confirmed_rebound; 底部已确认
13,74.68882438039735,69.31992799636514,002601,龙佰集团,bottom_area,2024-08-09,16.32,2024-08-09,16.3,0.12269938650306486,4.785276073619617,29.741379310344822,False,-2.2754,0.588,1,1,1,100.0,11.127325793506023,11.127325793506023,7.877300613496935,0.12269938650306486,历史1/1次成功; 当前距低点0.12%; 最新日涨幅-2.28%; 状态bottom_area; 底部未确认
