rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,83.08438653749376,78.96728858559521,603221,爱丽家居,bottom_area,2025-04-28,10.53,2025-04-24,10.29,2.3323615160349878,6.802721088435384,29.761092150170654,False,-2.5902,4.0049,3,3,3,100.0,16.908993775026747,17.92336217552533,7.667638483965013,2.3323615160349878,历史3/3次成功; 当前距低点2.33%; 最新日涨幅-2.59%; 状态bottom_area; 底部未确认
2,82.58671343171358,75.75655367231637,301058,中粮科工,bottom_area,2025-04-28,10.67,2025-04-24,10.62,0.4708097928436979,3.860640301318269,28.629032258064523,False,-1.2951,2.3358,1,1,1,100.0,57.794273594909875,57.794273594909875,9.529190207156303,0.4708097928436979,历史1/1次成功; 当前距低点0.47%; 最新日涨幅-1.30%; 状态bottom_area; 底部未确认
3,82.25368381580552,76.46449259343059,688206,概伦电子,bottom_area,2025-04-28,20.75,2025-04-28,20.51,1.1701608971233468,4.388103364212572,27.75625220147939,False,-1.472,2.065,3,4,3,75.0,26.70677117673022,39.570720968629594,8.829839102876653,1.1701608971233468,历史3/4次成功; 当前距低点1.17%; 最新日涨幅-1.47%; 状态bottom_area; 底部未确认
4,80.74269724622488,74.60780965407719,603169,兰石重装,bottom_area,2025-04-28,7.09,2025-04-25,7.03,0.8534850640113741,5.832147937411097,28.26530612244898,False,0.0,7.155,3,4,3,75.0,30.208363440984503,49.872122762148344,9.146514935988627,0.8534850640113741,历史3/4次成功; 当前距低点0.85%; 最新日涨幅0.00%; 状态bottom_area; 底部未确认
5,80.42122016092586,73.72346725357491,600371,万向德农,bottom_area,2025-04-28,9.18,2025-04-28,9.14,0.4376367614879556,4.485776805251642,28.59375,False,-2.5478,4.5183,1,1,1,100.0,38.66279069767441,38.66279069767441,9.562363238512045,0.4376367614879556,历史1/1次成功; 当前距低点0.44%; 最新日涨幅-2.55%; 状态bottom_area; 底部未确认
6,80.07381083914686,73.83406738543431,300757,罗博特科,bottom_area,2025-04-28,127.44,2025-04-25,126.5,0.7430830039525673,4.3478260869565215,30.65833470372198,False,-1.8409,2.7074,6,7,6,85.71428571428571,23.953975761231302,74.11052233156698,9.256916996047433,0.7430830039525673,历史6/7次成功; 当前距低点0.74%; 最新日涨幅-1.84%; 状态bottom_area; 底部未确认
7,79.8917304935633,75.6184684396027,300892,品渥食品,confirmed_rebound,2025-04-28,31.87,2025-04-28,31.21,2.114706824735662,11.022108298622229,31.64695575996495,False,-13.6314,15.8593,1,1,1,100.0,78.87149917627676,78.87149917627676,7.885293175264338,2.114706824735662,历史1/1次成功; 当前距低点2.11%; 最新日涨幅-13.63%; 状态confirmed_rebound; 底部未确认
8,79.28797872941445,72.37637718337322,688050,爱博医疗,bottom_area,2025-04-28,79.25,2025-04-28,79.08,0.21497218007081653,3.970662620131513,27.074880118037626,False,-2.9156,2.2325,2,2,2,100.0,12.024267494272554,12.90770757525636,9.785027819929185,0.21497218007081653,历史2/2次成功; 当前距低点0.21%; 最新日涨幅-2.92%; 状态bottom_area; 底部未确认
9,77.3550701426878,77.15324239800812,300700,岱勒新材,bottom_area,2025-04-28,8.41,2025-04-24,8.02,4.862842892768087,8.4788029925187,27.4864376130199,True,-1.5222,2.9786,3,3,3,100.0,28.98131286838362,55.55555555555556,5.137157107231914,4.862842892768087,历史3/3次成功; 当前距低点4.86%; 最新日涨幅-1.52%; 状态bottom_area; 底部已确认
10,73.24459789194982,70.2207383459519,000697,炼石航空,bottom_area,2025-04-28,6.27,2025-04-25,6.1,2.7868852459016384,8.688524590163938,28.904428904428908,False,-3.9816,1.8656,3,4,3,75.0,23.171165089288372,30.58161350844277,7.2131147540983624,2.7868852459016384,历史3/4次成功; 当前距低点2.79%; 最新日涨幅-3.98%; 状态bottom_area; 底部未确认
11,72.28864539985048,65.71695036350043,000736,中交地产,bottom_area,2025-04-28,3.72,2025-04-28,3.72,0.0,4.838709677419347,31.868131868131865,False,-5.102,4.2162,3,4,3,75.0,16.892206255378625,19.029126213592225,10.0,0.0,历史3/4次成功; 当前距低点0.00%; 最新日涨幅-5.10%; 状态bottom_area; 底部未确认
12,71.45295015459592,67.47418620859041,300721,怡达股份,bottom_area,2025-04-28,14.33,2025-04-28,14.05,1.9928825622775754,4.697508896797154,32.71072796934865,False,-1.5797,11.2571,5,8,5,62.5,15.540099196684384,22.270742358078603,8.007117437722425,1.9928825622775754,历史5/8次成功; 当前距低点1.99%; 最新日涨幅-1.58%; 状态bottom_area; 底部未确认
13,70.96098669439321,69.34060621237764,300153,科泰电源,confirmed_rebound,2025-04-28,28.5,2025-04-22,27.46,3.7873270211216283,10.415149308084484,28.823224468636592,True,-1.1789,8.6337,1,1,1,100.0,17.342536669542692,17.342536669542692,6.2126729788783726,3.7873270211216283,历史1/1次成功; 当前距低点3.79%; 最新日涨幅-1.18%; 状态confirmed_rebound; 底部已确认
14,67.03884221122053,61.234723169114844,000524,岭南控股,bottom_area,2025-04-28,12.08,2025-04-28,12.05,0.24896265560165445,9.377593360995842,28.102625298329357,False,-5.3292,5.5139,2,3,2,66.66666666666666,18.31016858720398,21.550094517958406,9.751037344398346,0.24896265560165445,历史2/3次成功; 当前距低点0.25%; 最新日涨幅-5.33%; 状态bottom_area; 底部未确认
15,60.43542617046819,54.941296518607444,600696,退市岩石,bottom_area,2025-04-28,6.59,2025-04-28,6.59,0.0,0.0,30.70452155625657,False,-5.0432,0.0381,1,2,1,50.0,46.45858343337334,46.45858343337334,10.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-5.04%; 状态bottom_area; 底部未确认
