rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,89.72030255884613,77.0649966653328,603928,兴业股份,bottom_area,2025-08-14,15.37,2025-08-01,15.12,1.6534391534391537,5.75396825396826,32.16689098250337,False,-1.8519,3.4007,1,1,1,100.0,31.69267707082834,31.69267707082834,18.34656084656085,1.6534391534391537,历史1/1次成功; 当前距低点1.65%; 最新日涨幅-1.85%; 状态bottom_area; 底部未确认
2,89.46354011822875,74.66214882703046,003002,壶化股份,bottom_area,2025-08-14,25.07,2025-08-14,25.05,0.07984031936127574,2.3952095808383147,27.62207454492921,False,-2.2612,3.135,1,1,1,100.0,39.32357395254923,39.32357395254923,19.920159680638726,0.07984031936127574,历史1/1次成功; 当前距低点0.08%; 最新日涨幅-2.26%; 状态bottom_area; 底部未确认
3,87.61443040439731,73.13864243911141,300069,金利华电,bottom_area,2025-08-14,21.18,2025-08-14,21.16,0.09451795841209629,3.8752362948960317,31.231719207019825,False,-2.844,12.979,1,1,1,100.0,31.312598840274124,31.312598840274124,19.905482041587906,0.09451795841209629,历史1/1次成功; 当前距低点0.09%; 最新日涨幅-2.84%; 状态bottom_area; 底部未确认
4,87.33878344191957,73.0385953079433,605033,美邦股份,bottom_area,2025-08-14,20.9,2025-08-08,20.86,0.19175455417065745,3.4515819750719023,32.926045016077175,False,-1.8318,2.3745,1,1,1,100.0,31.96664350243223,31.96664350243223,19.808245445829346,0.19175455417065745,历史1/1次成功; 当前距低点0.19%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
5,85.84024472838519,72.23893297962492,603839,安正时尚,bottom_area,2025-08-14,7.51,2025-08-08,7.47,0.5354752342704155,5.488621151271756,28.03468208092486,False,-2.2135,2.2629,1,1,1,100.0,31.88073394495412,31.88073394495412,19.464524765729585,0.5354752342704155,历史1/1次成功; 当前距低点0.54%; 最新日涨幅-2.21%; 状态bottom_area; 底部未确认
6,85.52956593026522,74.65347180178463,000999,华润三九,bottom_area,2025-08-14,31.19,2025-07-15,30.42,2.531229454306376,7.133464825772523,30.036798528058867,True,-1.141,0.8441,1,1,1,100.0,20.293951384963254,20.293951384963254,17.468770545693623,2.531229454306376,历史1/1次成功; 当前距低点2.53%; 最新日涨幅-1.14%; 状态bottom_area; 底部已确认
7,83.41395066372453,70.7671721558692,600620,天宸股份,bottom_area,2025-08-14,6.2,2025-08-04,6.14,0.977198697068412,4.560260586319222,27.078384798099762,False,-1.7433,1.5685,1,1,1,100.0,29.38271604938273,29.38271604938273,19.022801302931587,0.977198697068412,历史1/1次成功; 当前距低点0.98%; 最新日涨幅-1.74%; 状态bottom_area; 底部未确认
8,79.6323504446998,66.60849442161219,002795,永和智控,bottom_area,2025-08-14,4.92,2025-08-14,4.91,0.2036659877800364,5.702647657841146,28.84057971014493,False,-6.1069,13.6883,4,6,4,66.66666666666666,29.97949573701075,32.328767123287676,19.796334012219965,0.2036659877800364,历史4/6次成功; 当前距低点0.20%; 最新日涨幅-6.11%; 状态bottom_area; 底部未确认
9,76.38552575344966,69.57768213568215,300879,大叶股份,bottom_area,2025-08-14,32.95,2025-08-04,31.42,4.869509866327183,8.529598981540419,31.947151830192766,True,-1.6418,4.1566,1,1,1,100.0,21.667551779075957,21.667551779075957,15.130490133672819,4.869509866327183,历史1/1次成功; 当前距低点4.87%; 最新日涨幅-1.64%; 状态bottom_area; 底部已确认
10,74.98994486149401,63.52089447091257,002658,雪迪龙,bottom_area,2025-08-14,7.92,2025-08-01,7.85,0.8917197452229335,3.3121019108280225,31.50087260034905,False,-2.1014,4.1923,2,3,2,66.66666666666666,28.265316254592392,34.81481481481481,19.108280254777068,0.8917197452229335,历史2/3次成功; 当前距低点0.89%; 最新日涨幅-2.10%; 状态bottom_area; 底部未确认
11,72.74883200679189,60.62402667232657,001226,拓山重工,bottom_area,2025-08-14,34.94,2025-08-14,34.94,0.0,2.7475672581568427,32.83352556708959,False,-2.6741,3.6786,2,4,2,50.0,33.46250899100309,41.451766953199616,20.0,0.0,历史2/4次成功; 当前距低点0.00%; 最新日涨幅-2.67%; 状态bottom_area; 底部未确认
