rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,77.50308802604516,75.04077625917188,688075,安旭生物,confirmed_rebound,2022-03-16,226.13,2022-03-16,221.0,2.32126696832579,15.054298642533942,29.28,False,-6.0063,10.2523,2,2,2,100.0,32.75948896212185,40.134529147982065,5.67873303167421,2.32126696832579,历史2/2次成功; 当前距低点2.32%; 最新日涨幅-6.01%; 状态confirmed_rebound; 底部未确认
2,74.91830178443294,75.81758927871678,000037,深南电A,bottom_area,2022-03-16,6.34,2022-03-16,6.06,4.620462046204625,5.280528052805286,28.45336481700119,False,2.2581,1.042,2,2,2,100.0,22.216358839050127,34.43271767810025,3.379537953795375,4.620462046204625,历史2/2次成功; 当前距低点4.62%; 最新日涨幅2.26%; 状态bottom_area; 底部未确认
3,74.49993419260262,75.25623532260121,002222,福晶科技,bottom_area,2022-03-16,14.09,2022-03-16,13.48,4.525222551928779,4.970326409495549,27.056277056277057,False,2.8467,1.953,2,2,2,100.0,18.030874951606656,25.783972125435533,3.474777448071221,4.525222551928779,历史2/2次成功; 当前距低点4.53%; 最新日涨幅2.85%; 状态bottom_area; 底部未确认
4,73.9191295171504,74.82636685087168,605169,洪通燃气,bottom_area,2022-03-16,14.45,2022-03-16,13.81,4.634322954380875,5.3584359160028985,27.506561679790025,False,2.9936,7.0431,2,2,2,100.0,17.057113907849832,26.09375,3.365677045619125,4.634322954380875,历史2/2次成功; 当前距低点4.63%; 最新日涨幅2.99%; 状态bottom_area; 底部未确认
5,72.14149086339398,73.30160295349812,000968,蓝焰控股,bottom_area,2022-03-16,7.38,2022-03-16,7.04,4.829545454545452,7.812499999999997,31.517509727626454,False,0.6821,2.8178,2,2,2,100.0,11.25250854764383,13.035714285714295,3.1704545454545476,4.829545454545452,历史2/2次成功; 当前距低点4.83%; 最新日涨幅0.68%; 状态bottom_area; 底部未确认
6,71.74703257724141,72.08943641960694,002749,国光股份,bottom_area,2022-03-16,8.59,2022-03-16,8.24,4.247572815533976,5.097087378640776,27.592267135325134,False,3.1212,0.9652,1,1,1,100.0,14.26829268292683,14.26829268292683,3.752427184466024,4.247572815533976,历史1/1次成功; 当前距低点4.25%; 最新日涨幅3.12%; 状态bottom_area; 底部未确认
7,71.05513232160556,71.5605963112468,688196,卓越新能,bottom_area,2022-03-16,61.16,2022-03-16,58.6,4.368600682593849,6.313993174061426,30.403800475059384,False,2.5142,3.3505,1,1,1,100.0,12.908633696563292,12.908633696563292,3.631399317406151,4.368600682593849,历史1/1次成功; 当前距低点4.37%; 最新日涨幅2.51%; 状态bottom_area; 底部未确认
8,70.91119073205971,71.88486938617939,601598,中国外运,bottom_area,2022-03-16,3.78,2022-03-16,3.61,4.709141274238225,4.986149584487539,30.57692307692308,False,3.2787,3.5637,1,1,1,100.0,18.82640586797067,18.82640586797067,3.2908587257617756,4.709141274238225,历史1/1次成功; 当前距低点4.71%; 最新日涨幅3.28%; 状态bottom_area; 底部未确认
9,70.43883459460342,70.85205704559837,603180,金牌家居,bottom_area,2022-03-16,29.08,2022-03-16,27.88,4.304160688665708,6.1692969870875265,27.92140641158222,False,0.2759,1.0566,1,1,1,100.0,8.309373202990225,8.309373202990225,3.6958393113342924,4.304160688665708,历史1/1次成功; 当前距低点4.30%; 最新日涨幅0.28%; 状态bottom_area; 底部未确认
10,69.87813074325662,70.62556117290193,605288,凯迪股份,bottom_area,2022-03-16,42.71,2022-03-16,40.85,4.553243574051407,5.018359853121169,28.333333333333332,False,2.055,3.8172,1,1,1,100.0,10.144927536231874,10.144927536231874,3.446756425948594,4.553243574051407,历史1/1次成功; 当前距低点4.55%; 最新日涨幅2.06%; 状态bottom_area; 底部未确认
11,68.76973099539443,70.02893225368408,300483,首华燃气,bottom_area,2022-03-16,14.86,2022-03-16,14.16,4.943502824858752,6.56779661016949,31.75903614457831,False,1.0884,5.2478,1,1,1,100.0,11.721068249258165,11.721068249258165,3.0564971751412484,4.943502824858752,历史1/1次成功; 当前距低点4.94%; 最新日涨幅1.09%; 状态bottom_area; 底部未确认
12,68.38586105984012,69.54351471900088,000959,首钢股份,bottom_area,2022-03-16,4.95,2022-03-16,4.72,4.872881355932213,6.567796610169502,30.280649926144754,False,1.8519,1.0717,1,1,1,100.0,8.245614035087714,8.245614035087714,3.127118644067787,4.872881355932213,历史1/1次成功; 当前距低点4.87%; 最新日涨幅1.85%; 状态bottom_area; 底部未确认
13,66.23072517763798,66.95829539556487,688256,寒武纪,confirmed_rebound,2022-03-16,65.01,2022-03-16,62.17,4.568119671867466,8.557181920540442,29.74347383885184,False,-1.5298,1.6473,1,1,1,100.0,23.298969072164944,23.298969072164944,3.431880328132534,4.568119671867466,历史1/1次成功; 当前距低点4.57%; 最新日涨幅-1.53%; 状态confirmed_rebound; 底部未确认
14,56.43227165904962,56.36395171757377,603353,和顺石油,bottom_area,2022-03-16,19.8,2022-03-16,19.05,3.937007874015748,4.934383202099726,27.151051625239,False,1.227,4.0075,1,2,1,50.0,17.582417582417577,17.582417582417577,4.062992125984252,3.937007874015748,历史1/2次成功; 当前距低点3.94%; 最新日涨幅1.23%; 状态bottom_area; 底部未确认
