rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.39408091442326,82.49339449541286,002611,东方精工,bottom_area,2024-04-09,6.71,2024-04-09,6.54,2.5993883792048917,2.752293577981647,29.525862068965512,False,1.6667,5.4417,1,1,1,100.0,145.12534818941506,145.12534818941506,17.400611620795107,2.5993883792048917,历史1/1次成功; 当前距低点2.60%; 最新日涨幅1.67%; 状态bottom_area; 底部未确认
2,89.38118018765373,77.81112973945493,603079,圣达生物,bottom_area,2024-04-09,10.72,2024-04-09,10.47,2.387774594078319,2.4832855778414498,32.49516441005802,False,1.6114,3.2319,1,1,1,100.0,22.232558139534888,22.232558139534888,17.612225405921684,2.387774594078319,历史1/1次成功; 当前距低点2.39%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
3,89.0661102628878,76.31608778047783,300548,长芯博创,bottom_area,2024-04-09,24.05,2024-04-09,23.69,1.5196285352469372,4.474461798227095,29.283582089552233,False,-1.394,5.7653,1,1,1,100.0,26.026026026026024,26.026026026026024,18.480371464753066,1.5196285352469372,历史1/1次成功; 当前距低点1.52%; 最新日涨幅-1.39%; 状态bottom_area; 底部未确认
4,87.43596904920402,74.73360963728113,603178,圣龙股份,bottom_area,2024-04-09,28.57,2024-04-09,28.18,1.383960255500357,2.1291696238467046,27.74358974358974,False,0.5986,2.04,3,5,3,60.0,30.048596880763135,44.66270354096666,18.616039744499645,1.383960255500357,历史3/5次成功; 当前距低点1.38%; 最新日涨幅0.60%; 状态bottom_area; 底部未确认
5,87.18,72.65,000628,高新发展,bottom_area,2024-04-09,63.9,2024-04-09,63.9,0.0,8.763693270735526,31.208956830659922,False,-10.0,17.7314,1,1,1,100.0,99.77973568281939,99.77973568281939,20.0,0.0,历史1/1次成功; 当前距低点0.00%; 最新日涨幅-10.00%; 状态bottom_area; 底部未确认
6,81.90757689160893,69.81904141848594,688322,奥比中光,bottom_area,2024-04-09,27.03,2024-04-09,26.7,1.2359550561797823,4.868913857677906,31.327160493827165,False,-2.9443,2.2885,3,5,3,60.0,24.285048099870046,28.749462827675128,18.764044943820217,1.2359550561797823,历史3/5次成功; 当前距低点1.24%; 最新日涨幅-2.94%; 状态bottom_area; 底部未确认
7,78.62428297082282,68.72141484283529,603106,恒银科技,bottom_area,2024-04-09,5.51,2024-04-08,5.37,2.607076350093104,5.586592178770947,27.235772357723576,False,2.037,1.8504,2,4,2,50.0,34.38467161853536,34.60144927536232,17.392923649906898,2.607076350093104,历史2/4次成功; 当前距低点2.61%; 最新日涨幅2.04%; 状态bottom_area; 底部未确认
8,78.08388993188845,66.55353403529587,300474,景嘉微,bottom_area,2024-04-09,68.26,2024-04-09,67.43,1.230906124870233,3.010529437935617,27.720012863115016,False,-1.187,2.4212,2,5,2,40.0,56.74256339264612,59.857142857142854,18.76909387512977,1.230906124870233,历史2/5次成功; 当前距低点1.23%; 最新日涨幅-1.19%; 状态bottom_area; 底部未确认
9,77.65642315262512,67.1411388013248,688327,云从科技,bottom_area,2024-04-09,12.17,2024-04-08,11.93,2.011735121542332,3.9396479463537353,28.175797712221552,False,1.9263,1.6928,3,7,3,42.857142857142854,34.06702315598246,53.56783919597991,17.98826487845767,2.011735121542332,历史3/7次成功; 当前距低点2.01%; 最新日涨幅1.93%; 状态bottom_area; 底部未确认
10,76.9468472038558,66.61658519051043,002657,中科金财,bottom_area,2024-04-09,14.2,2024-04-08,13.91,2.0848310567936674,3.5226455787203466,27.096436058700203,False,2.0848,2.5306,1,2,1,50.0,56.540447504302946,56.540447504302946,17.915168943206332,2.0848310567936674,历史1/2次成功; 当前距低点2.08%; 最新日涨幅2.08%; 状态bottom_area; 底部未确认
11,64.8568729807821,58.029119295279095,300426,华智数媒,bottom_area,2024-04-09,8.55,2024-04-08,8.23,3.88821385176185,4.617253948967181,27.168141592920353,False,1.6647,1.3703,1,2,1,50.0,25.936811168258643,25.936811168258643,16.11178614823815,3.88821385176185,历史1/2次成功; 当前距低点3.89%; 最新日涨幅1.66%; 状态bottom_area; 底部未确认
12,62.3094213709093,55.217224193820954,300364,中文在线,bottom_area,2024-04-09,26.44,2024-04-03,25.58,3.362001563721669,7.857701329163416,28.70680044593089,True,-2.6151,8.8125,2,6,2,33.33333333333333,20.42609906329583,20.7773851590106,16.63799843627833,3.362001563721669,历史2/6次成功; 当前距低点3.36%; 最新日涨幅-2.62%; 状态bottom_area; 底部已确认
