rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,92.20156982630891,88.61358826235283,603185,弘元绿能,bottom_area,2024-07-05,16.32,2024-07-05,16.01,1.9362898188632023,2.6858213616489675,30.117852466171968,False,1.1152,0.7843,6,6,6,100.0,24.77596263097275,43.51028702057404,6.0637101811367975,1.9362898188632023,历史6/6次成功; 当前距低点1.94%; 最新日涨幅1.12%; 状态bottom_area; 底部未确认
2,90.49303721508265,86.74680357401034,002761,浙江建投,confirmed_rebound,2024-07-05,7.91,2024-07-01,7.77,1.8018018018018092,8.622908622908621,32.434782608695656,False,0.8929,0.9439,6,6,6,100.0,23.305976785583134,43.73730534867976,6.198198198198191,1.8018018018018092,历史6/6次成功; 当前距低点1.80%; 最新日涨幅0.89%; 状态confirmed_rebound; 底部未确认
3,89.2995696715742,85.2410345986423,603060,国检集团,bottom_area,2024-07-05,5.78,2024-07-05,5.69,1.5817223198593997,1.7574692442882185,28.96379525593008,False,0.5217,0.1503,3,3,3,100.0,18.964309074848,36.2098138747885,6.4182776801406005,1.5817223198593997,历史3/3次成功; 当前距低点1.58%; 最新日涨幅0.52%; 状态bottom_area; 底部未确认
4,89.27945770936618,84.71928986412615,601012,隆基绿能,bottom_area,2024-07-05,13.51,2024-07-05,13.34,1.274362818590704,2.4737631184407802,32.82980866062437,False,0.3715,1.0365,3,3,3,100.0,12.391597260822351,14.403553299492398,6.7256371814092955,1.274362818590704,历史3/3次成功; 当前距低点1.27%; 最新日涨幅0.37%; 状态bottom_area; 底部未确认
5,89.0679496861397,85.25933725341801,000723,美锦能源,bottom_area,2024-07-05,4.71,2024-07-05,4.63,1.7278617710583168,2.3758099352051905,27.656250000000004,False,0.2128,0.447,3,3,3,100.0,20.85409726575785,30.434782608695667,6.272138228941683,1.7278617710583168,历史3/3次成功; 当前距低点1.73%; 最新日涨幅0.21%; 状态bottom_area; 底部未确认
6,88.81031165900956,85.46939613314261,605337,李子园,bottom_area,2024-07-05,9.66,2024-07-05,9.47,2.006335797254483,2.6399155227032733,28.20318423047763,False,0.4158,0.3326,3,3,3,100.0,25.39699866066034,37.98882681564246,5.993664202745517,2.006335797254483,历史3/3次成功; 当前距低点2.01%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
7,88.68733734748271,86.7117682583602,603215,比依股份,bottom_area,2024-07-05,12.36,2024-07-05,12.02,2.828618968386022,3.494176372712146,29.666471620830897,False,2.3179,1.653,4,4,4,100.0,25.48935218430281,36.01562499999999,5.171381031613978,2.828618968386022,历史4/4次成功; 当前距低点2.83%; 最新日涨幅2.32%; 状态bottom_area; 底部未确认
8,88.37025656848145,86.46153607586986,002481,双塔食品,bottom_area,2024-07-05,3.95,2024-06-28,3.84,2.864583333333342,7.552083333333334,27.819548872180455,True,1.2821,0.6587,3,3,3,100.0,32.057989655214385,54.6583850931677,5.135416666666658,2.864583333333342,历史3/3次成功; 当前距低点2.86%; 最新日涨幅1.28%; 状态bottom_area; 底部已确认
9,88.07230293923973,84.71654092960115,001201,东瑞股份,bottom_area,2024-07-05,16.48,2024-07-03,16.16,1.980198019801982,6.311881188118809,31.380042462845015,False,0.1215,1.8315,3,3,3,100.0,21.028991477148743,33.37921541637991,6.019801980198018,1.980198019801982,历史3/3次成功; 当前距低点1.98%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
10,88.04161154300013,84.59177920663996,600955,维远股份,bottom_area,2024-07-05,14.32,2024-07-05,14.05,1.9217081850533775,1.9928825622775754,27.2020725388601,False,0.6325,0.2048,3,3,3,100.0,19.641257357858347,25.969084423305596,6.078291814946622,1.9217081850533775,历史3/3次成功; 当前距低点1.92%; 最新日涨幅0.63%; 状态bottom_area; 底部未确认
11,87.7719965322916,85.36908649431008,603368,柳药集团,bottom_area,2024-07-05,17.65,2024-07-04,17.21,2.5566531086577435,2.9633933759442064,28.58921161825726,False,1.612,1.21,3,3,3,100.0,31.603524634675978,42.85714285714285,5.443346891342257,2.5566531086577435,历史3/3次成功; 当前距低点2.56%; 最新日涨幅1.61%; 状态bottom_area; 底部未确认
12,87.58408506703654,82.75661581137311,688303,大全能源,bottom_area,2024-07-05,19.2,2024-07-05,19.0,1.0526315789473648,2.2105263157894828,27.42551566080978,False,0.2611,0.7981,1,1,1,100.0,32.45492371705965,32.45492371705965,6.947368421052635,1.0526315789473648,历史1/1次成功; 当前距低点1.05%; 最新日涨幅0.26%; 状态bottom_area; 底部未确认
13,87.27323451541233,84.66363728899157,300446,航天智造,bottom_area,2024-07-05,11.42,2024-07-05,11.15,2.421524663677126,3.0493273542600883,28.479794740218082,False,0.5282,2.4217,3,3,3,100.0,26.154373775136584,51.92697768762679,5.5784753363228745,2.421524663677126,历史3/3次成功; 当前距低点2.42%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
14,86.65502872697607,84.96765968831393,603233,大参林,bottom_area,2024-07-05,14.18,2024-07-05,13.77,2.9774872912127828,3.4858387799564303,32.334152334152336,False,0.5674,1.1969,5,5,5,100.0,17.93726189397345,27.64192139737992,5.022512708787217,2.9774872912127828,历史5/5次成功; 当前距低点2.98%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
15,86.3699535825825,83.7588786791571,002129,TCL中环,bottom_area,2024-07-05,8.52,2024-07-05,8.32,2.4038461538461453,3.3653846153846074,30.20134228187919,False,1.4286,1.1554,3,3,3,100.0,21.073375859818903,31.12759643916912,5.596153846153855,2.4038461538461453,历史3/3次成功; 当前距低点2.40%; 最新日涨幅1.43%; 状态bottom_area; 底部未确认
16,86.33994362255943,83.40288508557458,002687,乔治白,bottom_area,2024-07-05,4.18,2024-07-05,4.09,2.200488997555009,2.4449877750611377,30.085470085470085,False,1.4563,0.7484,1,1,1,100.0,64.00000000000001,64.00000000000001,5.799511002444992,2.200488997555009,历史1/1次成功; 当前距低点2.20%; 最新日涨幅1.46%; 状态bottom_area; 底部未确认
17,86.26849123287242,83.98033147669578,605300,佳禾食品,bottom_area,2024-07-05,11.04,2024-07-05,10.76,2.6022304832713696,2.8810408921933135,27.05084745762712,False,1.2844,0.1824,3,3,3,100.0,24.69579020728222,36.09523809523809,5.39776951672863,2.6022304832713696,历史3/3次成功; 当前距低点2.60%; 最新日涨幅1.28%; 状态bottom_area; 底部未确认
