rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,87.28325798223038,80.78963036963034,688232,新点软件,bottom_area,2024-04-17,20.69,2024-04-16,20.02,3.3466533466533557,5.794205794205795,29.803646563814866,False,2.8841,2.4632,1,1,1,100.0,51.87398153177622,51.87398153177622,11.653346653346643,3.3466533466533557,历史1/1次成功; 当前距低点3.35%; 最新日涨幅2.88%; 状态bottom_area; 底部未确认
2,86.62575413973215,78.25835355465804,688114,华大智造,bottom_area,2024-04-17,53.9,2024-04-15,52.82,2.0446800454373313,4.770920106020453,29.033991670025532,False,0.5597,0.6322,1,1,1,100.0,20.431312141156706,20.431312141156706,12.955319954562668,2.0446800454373313,历史1/1次成功; 当前距低点2.04%; 最新日涨幅0.56%; 状态bottom_area; 底部未确认
3,83.91653650451853,77.92114726135146,603030,全筑股份,bottom_area,2024-04-17,2.06,2024-04-16,1.99,3.5175879396984957,7.035175879396981,30.175438596491233,False,3.5176,1.4093,4,5,4,80.0,30.006708407871198,50.5813953488372,11.482412060301503,3.5175879396984957,历史4/5次成功; 当前距低点3.52%; 最新日涨幅3.52%; 状态bottom_area; 底部未确认
4,81.64733242578906,76.97750589112002,000042,中洲控股,bottom_area,2024-04-17,3.61,2024-04-17,3.46,4.335260115606934,6.06936416184971,32.81553398058253,False,2.849,2.2522,2,2,2,100.0,24.956445993031362,28.57142857142858,10.664739884393065,4.335260115606934,历史2/2次成功; 当前距低点4.34%; 最新日涨幅2.85%; 状态bottom_area; 底部未确认
5,80.94281995525552,75.16200662802468,301367,瑞迈特,bottom_area,2024-04-17,75.6,2024-04-16,73.03,3.5191017390113557,8.024099685060932,28.387919199843108,False,3.4766,2.5071,3,4,3,75.0,26.024508564357845,32.411969715178486,11.480898260988644,3.5191017390113557,历史3/4次成功; 当前距低点3.52%; 最新日涨幅3.48%; 状态bottom_area; 底部未确认
6,79.43794501543155,74.83658890024347,301520,万邦医药,bottom_area,2024-04-17,42.75,2024-04-16,40.99,4.293730178092212,10.026835813613074,27.80908770693906,False,3.6112,6.9853,1,1,1,100.0,29.60372960372961,29.60372960372961,10.706269821907789,4.293730178092212,历史1/1次成功; 当前距低点4.29%; 最新日涨幅3.61%; 状态bottom_area; 底部未确认
7,76.35196045889028,69.61507972550926,688017,绿的谐波,bottom_area,2024-04-17,107.85,2024-04-16,105.18,2.53850541928122,6.4746149458071764,29.171717171717166,False,2.3925,1.3356,2,3,2,66.66666666666666,18.90433018711707,22.08643815201191,12.46149458071878,2.53850541928122,历史2/3次成功; 当前距低点2.54%; 最新日涨幅2.39%; 状态bottom_area; 底部未确认
8,76.28492537581101,69.82826921527212,000002,万科A,bottom_area,2024-04-17,7.1,2024-04-16,6.91,2.749638205499269,4.920405209840808,32.25490196078431,False,0.4243,2.5021,2,3,2,66.66666666666666,22.638589554536463,28.255902513328245,12.25036179450073,2.749638205499269,历史2/3次成功; 当前距低点2.75%; 最新日涨幅0.42%; 状态bottom_area; 底部未确认
9,75.54207662467334,68.983599383971,688276,百克生物,bottom_area,2024-04-17,41.1,2024-04-15,40.05,2.6217228464419584,5.86766541822722,27.445652173913054,False,1.7831,1.2436,2,3,2,66.66666666666666,16.529359178451564,16.844155844155843,12.378277153558042,2.6217228464419584,历史2/3次成功; 当前距低点2.62%; 最新日涨幅1.78%; 状态bottom_area; 底部未确认
10,70.27919042539833,64.59658610271903,002432,九安医疗,bottom_area,2024-04-17,40.9,2024-04-17,39.72,2.9707955689828798,3.57502517623364,27.75554747180793,False,0.8383,2.9503,1,2,1,50.0,65.03496503496503,65.03496503496503,12.029204431017119,2.9707955689828798,历史1/2次成功; 当前距低点2.97%; 最新日涨幅0.84%; 状态bottom_area; 底部未确认
11,59.02604854099132,55.75727811169329,688277,天智航,bottom_area,2024-04-17,8.0,2024-04-16,7.66,4.438642297650128,6.788511749347252,29.981718464351005,False,4.4386,0.9014,1,2,1,50.0,20.469798657718112,20.469798657718112,10.561357702349872,4.438642297650128,历史1/2次成功; 当前距低点4.44%; 最新日涨幅4.44%; 状态bottom_area; 底部未确认
12,58.5086175876509,55.32815445282746,002558,巨人网络,bottom_area,2024-04-17,10.69,2024-04-16,10.23,4.496578690127068,7.038123167155414,28.109627547434997,False,4.191,2.3803,1,2,1,50.0,18.872870249017044,18.872870249017044,10.503421309872932,4.496578690127068,历史1/2次成功; 当前距低点4.50%; 最新日涨幅4.19%; 状态bottom_area; 底部未确认
