rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,90.39798980097953,86.48966998572502,002795,永和智控,bottom_area,2025-09-19,4.78,2025-08-28,4.7,1.7021276595744694,7.234042553191486,31.884057971014496,True,-2.6477,3.551,6,6,6,100.0,23.766242201907538,32.328767123287676,6.297872340425531,1.7021276595744694,历史6/6次成功; 当前距低点1.70%; 最新日涨幅-2.65%; 状态bottom_area; 底部已确认
2,87.49342294953868,83.37565991604004,601900,南方传媒,bottom_area,2025-09-19,12.91,2025-09-18,12.72,1.4937106918238954,2.8301886792452784,29.254727474972192,False,0.8594,0.7902,2,2,2,100.0,24.523227383863077,39.999999999999986,6.506289308176106,1.4937106918238954,历史2/2次成功; 当前距低点1.49%; 最新日涨幅0.86%; 状态bottom_area; 底部未确认
3,86.34185356611773,81.68776119402985,301009,可靠股份,bottom_area,2025-09-19,13.55,2025-09-05,13.4,1.1194029850746294,5.597014925373134,27.762803234501348,False,-0.514,2.1667,1,1,1,100.0,53.96648044692738,53.96648044692738,6.880597014925371,1.1194029850746294,历史1/1次成功; 当前距低点1.12%; 最新日涨幅-0.51%; 状态bottom_area; 底部未确认
4,86.23821129463774,82.33689266510189,603839,安正时尚,bottom_area,2025-09-19,8.29,2025-09-19,8.16,1.5931372549019485,1.960784313725492,29.533678756476682,False,0.4848,2.5611,2,2,2,100.0,20.15723444235658,31.88073394495412,6.406862745098052,1.5931372549019485,历史2/2次成功; 当前距低点1.59%; 最新日涨幅0.48%; 状态bottom_area; 底部未确认
5,85.55683050528575,80.26138286291459,300510,金冠股份,bottom_area,2025-09-19,4.45,2025-09-19,4.42,0.6787330316742138,2.488687782805437,30.173775671406005,False,-1.5487,3.3088,4,4,4,100.0,26.76824825339677,40.000000000000014,7.321266968325786,0.6787330316742138,历史4/4次成功; 当前距低点0.68%; 最新日涨幅-1.55%; 状态bottom_area; 底部未确认
6,81.11944596688345,78.81951186838538,601669,中国电建,bottom_area,2025-09-19,5.73,2025-09-18,5.59,2.5044722719141426,3.220035778175308,28.69897959183674,False,2.139,2.0749,2,2,2,100.0,12.417788431987212,16.457680250783696,5.495527728085857,2.5044722719141426,历史2/2次成功; 当前距低点2.50%; 最新日涨幅2.14%; 状态bottom_area; 底部未确认
7,79.48337846246226,76.7244132365924,300902,国安达,bottom_area,2025-09-19,22.67,2025-09-04,22.19,2.163136547994594,5.8134294727354625,32.798304058146584,False,-0.9611,4.4716,2,2,2,100.0,19.4428202474198,26.906779661016937,5.836863452005406,2.163136547994594,历史2/2次成功; 当前距低点2.16%; 最新日涨幅-0.96%; 状态bottom_area; 底部未确认
8,78.21095507219961,75.77230613899071,688682,霍莱沃,confirmed_rebound,2025-09-19,28.71,2025-09-04,28.05,2.3529411764705888,8.698752228163984,27.687548337200308,True,-1.0,1.526,2,2,2,100.0,17.672107641632564,26.22699386503069,5.647058823529411,2.3529411764705888,历史2/2次成功; 当前距低点2.35%; 最新日涨幅-1.00%; 状态confirmed_rebound; 底部已确认
9,76.28329885058929,77.39738586216873,603109,神驰机电,confirmed_rebound,2025-09-19,31.29,2025-09-04,29.87,4.753933712755266,10.813525276196854,27.79792119893642,True,-1.1374,2.362,5,5,5,100.0,22.507283479842627,33.71428571428571,3.2460662872447337,4.753933712755266,历史5/5次成功; 当前距低点4.75%; 最新日涨幅-1.14%; 状态confirmed_rebound; 底部已确认
10,75.27834480857045,70.31077037993002,300645,正元智慧,bottom_area,2025-09-19,17.8,2025-09-19,17.72,0.45146726862303527,4.288939051918745,28.92097874047333,False,-3.1556,5.1756,1,1,1,100.0,30.699547055863096,30.699547055863096,7.548532731376965,0.45146726862303527,历史1/1次成功; 当前距低点0.45%; 最新日涨幅-3.16%; 状态bottom_area; 底部未确认
11,73.97614410065178,75.32874031961727,002212,天融信,confirmed_rebound,2025-09-19,9.98,2025-09-04,9.51,4.942166140904318,10.83070452155625,30.17621145374449,True,0.8081,4.4654,2,2,2,100.0,24.553113553113555,30.95238095238096,3.057833859095682,4.942166140904318,历史2/2次成功; 当前距低点4.94%; 最新日涨幅0.81%; 状态confirmed_rebound; 底部已确认
12,72.75291675705077,68.00133527679205,603709,中源家居,bottom_area,2025-09-19,14.38,2025-09-19,14.31,0.4891684136967176,1.6771488469601692,29.715127701375245,False,-0.6906,2.4284,1,1,1,100.0,8.53031860226105,8.53031860226105,7.510831586303282,0.4891684136967176,历史1/1次成功; 当前距低点0.49%; 最新日涨幅-0.69%; 状态bottom_area; 底部未确认
13,71.91491183794844,71.41109349907921,300192,科德教育,confirmed_rebound,2025-09-19,19.39,2025-09-09,18.71,3.634420096205236,8.177445216461772,32.649388048956084,True,-0.5131,8.4698,1,1,1,100.0,26.599845797995382,26.599845797995382,4.365579903794764,3.634420096205236,历史1/1次成功; 当前距低点3.63%; 最新日涨幅-0.51%; 状态confirmed_rebound; 底部已确认
