rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,78.78714090252517,75.00465906665343,000921,海信家电,bottom_area,2024-10-24,28.84,2024-10-21,28.43,1.4421385860007039,7.49208582483292,27.19590268886043,True,-1.5364,0.9825,1,1,1,100.0,8.831908831908846,8.831908831908846,6.557861413999297,1.4421385860007039,历史1/1次成功; 当前距低点1.44%; 最新日涨幅-1.54%; 状态bottom_area; 底部已确认
2,77.28754519518415,74.74214406372366,688036,传音控股,confirmed_rebound,2024-10-24,91.45,2024-10-18,89.43,2.2587498602258704,10.701107011070102,30.94741718786193,True,-1.1031,0.686,2,2,2,100.0,10.978998629240042,13.001154924929873,5.74125013977413,2.2587498602258704,历史2/2次成功; 当前距低点2.26%; 最新日涨幅-1.10%; 状态confirmed_rebound; 底部已确认
3,75.80574130903679,74.80344879318717,000850,华茂股份,bottom_area,2024-10-24,4.06,2024-10-21,3.93,3.307888040712454,5.852417302798981,27.356746765249536,False,0.995,2.5042,1,1,1,100.0,17.341040462427735,17.341040462427735,4.692111959287546,3.307888040712454,历史1/1次成功; 当前距低点3.31%; 最新日涨幅0.99%; 状态bottom_area; 底部未确认
4,75.18117110756887,73.90780751040738,300674,宇信科技,bottom_area,2024-10-24,21.87,2024-10-24,21.21,3.111739745403112,4.148986327204144,27.709611451942738,False,-5.4475,11.4357,2,2,2,100.0,26.142871666271304,43.478260869565204,4.888260254596888,3.111739745403112,历史2/2次成功; 当前距低点3.11%; 最新日涨幅-5.45%; 状态bottom_area; 底部未确认
5,68.63473734663201,69.96745069316854,300595,欧普康视,confirmed_rebound,2024-10-24,18.9,2024-10-16,18.0,4.999999999999992,11.444444444444438,27.594529364440866,True,-1.971,1.7692,2,2,2,100.0,18.911025232088786,19.855715871254166,3.000000000000008,4.999999999999992,历史2/2次成功; 当前距低点5.00%; 最新日涨幅-1.97%; 状态confirmed_rebound; 底部已确认
6,68.43000993606657,69.69320815308708,603338,浙江鼎力,bottom_area,2024-10-24,49.39,2024-10-22,47.06,4.95112622184445,6.62983425414364,27.799938631482053,False,0.7754,1.487,1,1,1,100.0,10.009548058561412,10.009548058561412,3.04887377815555,4.95112622184445,历史1/1次成功; 当前距低点4.95%; 最新日涨幅0.78%; 状态bottom_area; 底部未确认
7,60.46808453519431,59.661698113207564,300468,四方精创,bottom_area,2024-10-24,21.9,2024-10-24,21.2,3.3018867924528266,4.339622641509442,28.475033738191634,False,-2.7963,12.8358,1,2,1,50.0,105.06912442396315,105.06912442396315,4.698113207547173,3.3018867924528266,历史1/2次成功; 当前距低点3.30%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
