rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,94.22483502249882,80.75162790697674,603013,亚普股份,bottom_area,2024-01-16,16.59,2024-01-10,16.34,1.5299877600979193,3.671970624235015,28.175824175824175,False,-0.1805,0.4763,1,1,1,100.0,53.30739299610896,53.30739299610896,18.470012239902083,1.5299877600979193,历史1/1次成功; 当前距低点1.53%; 最新日涨幅-0.18%; 状态bottom_area; 底部未确认
2,93.22201262602788,80.22826979472141,600172,黄河旋风,bottom_area,2024-01-16,3.47,2024-01-16,3.41,1.7595307917888579,3.5190615835777024,30.122950819672127,False,-0.5731,1.6908,1,1,1,100.0,51.074589127686465,51.074589127686465,18.240469208211145,1.7595307917888579,历史1/1次成功; 当前距低点1.76%; 最新日涨幅-0.57%; 状态bottom_area; 底部未确认
3,92.48562352766945,79.99348954407428,600996,贵广网络,bottom_area,2024-01-16,8.03,2024-01-16,7.87,2.0330368487928747,4.193138500635314,30.53839364518976,False,-1.8337,1.4277,2,2,2,100.0,35.42372881355932,40.00000000000001,17.96696315120713,2.0330368487928747,历史2/2次成功; 当前距低点2.03%; 最新日涨幅-1.83%; 状态bottom_area; 底部未确认
4,89.75113029027163,76.28574595150133,600981,苏豪汇鸿,bottom_area,2024-01-16,2.81,2024-01-16,2.78,1.079136690647491,3.237410071942457,28.717948717948723,False,-1.0563,0.8376,1,1,1,100.0,20.463320463320475,20.463320463320475,18.92086330935251,1.079136690647491,历史1/1次成功; 当前距低点1.08%; 最新日涨幅-1.06%; 状态bottom_area; 底部未确认
5,89.5122639778775,77.90933762451257,600006,东风股份,bottom_area,2024-01-16,5.6,2024-01-10,5.47,2.3765996343692852,3.2906764168190237,27.645502645502646,False,0.5386,0.7719,1,1,1,100.0,22.6235741444867,22.6235741444867,17.623400365630715,2.3765996343692852,历史1/1次成功; 当前距低点2.38%; 最新日涨幅0.54%; 状态bottom_area; 底部未确认
6,88.36309857157852,76.14364015197943,002413,雷科防务,bottom_area,2024-01-16,5.01,2024-01-16,4.92,1.829268292682924,2.6422764227642253,28.488372093023255,False,-0.7921,1.7528,1,1,1,100.0,28.894472361809044,28.894472361809044,18.170731707317078,1.829268292682924,历史1/1次成功; 当前距低点1.83%; 最新日涨幅-0.79%; 状态bottom_area; 底部未确认
7,83.49037792041075,72.59793920014653,000021,深科技,bottom_area,2024-01-16,13.21,2024-01-16,12.91,2.3237800154918724,5.03485670023238,27.471910112359556,False,-4.6898,3.3475,1,1,1,100.0,26.108374384236456,26.108374384236456,17.67621998450813,2.3237800154918724,历史1/1次成功; 当前距低点2.32%; 最新日涨幅-4.69%; 状态bottom_area; 底部未确认
8,82.278073370846,69.74684690320852,002385,大北农,bottom_area,2024-01-16,5.41,2024-01-16,5.36,0.932835820895519,2.425373134328356,28.05369127516778,False,-1.0969,0.9641,1,1,1,100.0,23.353293413173663,23.353293413173663,19.06716417910448,0.932835820895519,历史1/1次成功; 当前距低点0.93%; 最新日涨幅-1.10%; 状态bottom_area; 底部未确认
9,78.02420403370157,68.06366734854817,688079,美迪凯,bottom_area,2024-01-16,10.25,2024-01-16,10.0,2.5,2.599999999999998,28.97727272727273,False,1.5857,2.2393,2,4,2,50.0,29.53584595993638,30.064655172413808,17.5,2.5,历史2/4次成功; 当前距低点2.50%; 最新日涨幅1.59%; 状态bottom_area; 底部未确认
10,75.4604938271605,64.34,000070,特发信息,bottom_area,2024-01-16,7.29,2024-01-16,7.2,1.249999999999998,3.055555555555552,30.568948891031816,False,-1.6194,1.1706,1,2,1,50.0,50.60532687651331,50.60532687651331,18.750000000000004,1.249999999999998,历史1/2次成功; 当前距低点1.25%; 最新日涨幅-1.62%; 状态bottom_area; 底部未确认
11,75.35462054016132,65.07796156592485,300745,欣锐科技,bottom_area,2024-01-16,23.0,2024-01-16,22.56,1.950354609929084,4.565602836879438,32.25225225225225,False,-2.4597,4.4098,2,4,2,50.0,29.21919396001701,36.150000000000006,18.049645390070918,1.950354609929084,历史2/4次成功; 当前距低点1.95%; 最新日涨幅-2.46%; 状态bottom_area; 底部未确认
