rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
24,74.73557132467495,67.98982473212519,002729,好利科技,bottom_area,2022-12-28,26.82,2022-12-28,26.81,0.03729951510630945,4.998135024244685,29.447368421052634,False,-3.871,0.7991,1,1,1,100.0,13.144449605202036,13.144449605202036,9.962700484893691,0.03729951510630945,历史1/1次成功; 当前距低点0.04%; 最新日涨幅-3.87%; 状态bottom_area; 底部未确认
25,73.34410301953817,67.01223801065719,002420,毅昌科技,bottom_area,2022-12-28,7.62,2022-12-28,7.6,0.2631578947368482,4.736842105263162,28.90551917680075,False,-3.0534,8.52,1,1,1,100.0,10.657193605683846,10.657193605683846,9.736842105263152,0.2631578947368482,历史1/1次成功; 当前距低点0.26%; 最新日涨幅-3.05%; 状态bottom_area; 底部未确认
26,72.85063957488654,67.40848653363865,603318,水发燃气,bottom_area,2022-12-28,8.72,2022-12-23,8.64,0.9259259259259267,4.629629629629613,29.92700729927007,False,-2.1324,2.3623,1,1,1,100.0,10.696761530912658,10.696761530912658,9.074074074074073,0.9259259259259267,历史1/1次成功; 当前距低点0.93%; 最新日涨幅-2.13%; 状态bottom_area; 底部未确认
27,70.68014953594451,66.19226927597764,605289,罗曼股份,bottom_area,2022-12-28,20.87,2022-12-28,20.55,1.5571776155717774,3.0656934306569292,28.57142857142857,False,-1.3239,3.3483,2,3,2,66.66666666666666,10.946062219433427,11.881750994883456,8.442822384428222,1.5571776155717774,历史2/3次成功; 当前距低点1.56%; 最新日涨幅-1.32%; 状态bottom_area; 底部未确认
28,69.24508541365255,69.06005846483295,000810,创维数字,confirmed_rebound,2022-12-28,13.81,2022-12-23,13.17,4.8595292331055475,11.69324221716022,28.849270664505678,True,-1.7082,1.5473,2,2,2,100.0,12.310672668352654,12.689901697944595,5.140470766894453,4.8595292331055475,历史2/2次成功; 当前距低点4.86%; 最新日涨幅-1.71%; 状态confirmed_rebound; 底部已确认
29,66.51966210138409,61.777412587412584,002693,双成药业,bottom_area,2022-12-28,7.23,2022-12-27,7.15,1.1188811188811199,8.25174825174825,27.77777777777778,False,-1.0944,3.1667,1,2,1,50.0,34.61538461538462,34.61538461538462,8.881118881118882,1.1188811188811199,历史1/2次成功; 当前距低点1.12%; 最新日涨幅-1.09%; 状态bottom_area; 底部未确认
30,66.35362367029536,66.28505292588929,600158,中体产业,bottom_area,2022-12-28,8.7,2022-12-23,8.29,4.945717732207481,5.790108564535591,29.626485568760614,False,-0.3436,2.197,1,1,1,100.0,14.092953523238386,14.092953523238386,5.05428226779252,4.945717732207481,历史1/1次成功; 当前距低点4.95%; 最新日涨幅-0.34%; 状态bottom_area; 底部未确认
31,63.10191118034429,58.503391337242284,002786,银宝山新,bottom_area,2022-12-28,6.87,2022-12-28,6.8,1.0294117647058865,3.0882352941176463,31.65829145728643,False,-1.9971,3.1129,1,2,1,50.0,15.916398713826371,15.916398713826371,8.970588235294114,1.0294117647058865,历史1/2次成功; 当前距低点1.03%; 最新日涨幅-2.00%; 状态bottom_area; 底部未确认
32,60.129122915270386,56.69180035158055,688115,思林杰,bottom_area,2022-12-28,38.94,2022-12-23,38.21,1.9104946349123182,5.312745354619213,31.375718390804597,False,-2.6013,3.9076,1,2,1,50.0,16.977032898820603,16.977032898820603,8.089505365087682,1.9104946349123182,历史1/2次成功; 当前距低点1.91%; 最新日涨幅-2.60%; 状态bottom_area; 底部未确认
33,48.402111417521596,46.91002039327539,002800,天顺股份,bottom_area,2022-12-28,25.56,2022-12-28,24.73,3.3562474727052094,9.179134654266072,30.141242937853104,False,-5.4034,20.7522,1,3,1,33.33333333333333,11.768447837150124,11.768447837150124,6.643752527294791,3.3562474727052094,历史1/3次成功; 当前距低点3.36%; 最新日涨幅-5.40%; 状态bottom_area; 底部未确认
